task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,6489,False,2,42872,5254,1.62905,1.39692,1.62905,1.39692,1,0.61328
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,140.75000,0.75000,2019,False,2,47743,801,-1.75863,1.19149,-1.75863,1.19149,1,5.88195
2,3,3,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,3911,False,2,54265,801,-2.01780,0.57520,-2.01780,0.57520,1,4.08911
2,4,4,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2993,False,2,61720,2251,1.29583,1.66398,1.29583,1.66398,1,-7.90979
2,5,5,100.00000,-1.38919,7.87846,0,True,90.00000,97.75000,-2.25000,1602,False,2,66491,634,-0.66643,2.05430,-0.66643,2.05430,1,7.97344
2,6,6,80.00000,1.38919,7.87846,0,True,70.00000,78.50000,-1.50000,1923,False,2,72996,1869,0.07405,2.17755,0.07405,2.17755,1,8.05234
2,7,7,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,1490,False,2,77599,950,-1.24030,1.64344,-1.24030,1.64344,1,7.04176
2,8,8,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,2292,False,2,83637,1601,1.77714,0.92443,1.77714,0.92443,1,7.48248
2,9,9,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,1624,False,2,91793,4820,0.92560,1.82832,0.92560,1.82832,1,3.14886
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,117.75000,-2.25000,1414,False,2,98198,2852,-1.20327,1.78724,-1.20327,1.78724,1,3.95065
2,11,11,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,1485,False,2,104537,2452,1.59202,1.52018,1.59202,1.52018,1,3.67766
2,12,12,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,1353,False,2,109957,2301,-2.05482,0.32869,-2.05482,0.32869,1,10.91193
2,13,13,140.00000,-6.12836,5.14230,0,True,130.00000,138.25000,-1.75000,1403,False,2,115195,1468,-1.74012,1.19149,-1.74012,1.19149,1,5.59989
2,14,14,20.00000,7.51754,2.73616,0,True,10.00000,17.75000,-2.25000,1373,False,2,120599,1751,1.99929,0.61629,1.99929,0.61629,1,-2.86785
2,15,15,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1388,False,2,125002,817,-0.42577,2.03375,-0.42577,2.03375,1,1.82422
2,16,16,80.00000,1.38919,7.87846,0,True,70.00000,77.25000,-2.75000,1109,False,2,128972,951,0.74048,2.19810,0.74048,2.19810,1,-8.61727
2,17,17,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1210,False,2,132825,700,-1.98077,0.53412,-1.98077,0.53412,1,4.90897
2,18,18,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,1203,False,2,140414,2802,1.70310,1.45855,1.70310,1.45855,1,0.57704
2,19,19,100.00000,-1.38919,7.87846,0,True,90.00000,97.00000,-3.00000,1353,False,2,146402,2401,-0.44429,2.05430,-0.44429,2.05430,1,2.20359
2,20,20,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,1854,False,2,153574,2868,1.88821,0.92443,1.88821,0.92443,1,6.08545
2,21,21,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,1886,False,2,158712,1018,0.22214,2.05430,0.22214,2.05430,1,3.82835
2,22,22,120.00000,-4.00000,6.92820,0,True,110.00000,118.50000,-1.50000,1141,False,2,164983,3102,-0.75899,1.93104,-0.75899,1.93104,1,-8.54283
2,23,23,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,1185,False,2,171205,3153,-1.57351,1.39692,-1.57351,1.39692,1,-1.59781
2,24,24,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,1418,False,2,176259,1885,1.16625,1.84887,1.16625,1.84887,1,-2.24335
3,1,25,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,2506,False,2,183814,2868,0.24065,2.13647,0.37261,2.11320,1,3.57334
3,2,26,20.00000,7.51754,2.73616,0,True,10.00000,17.25000,-2.75000,1820,False,2,188168,968,1.94375,0.63683,1.92105,0.69920,1,-1.85967
3,3,27,40.00000,6.12836,5.14230,0,True,30.00000,38.00000,-2.00000,1241,False,2,192388,784,1.72161,1.21203,1.60709,1.34851,1,-4.85409
3,4,28,140.00000,-6.12836,5.14230,0,True,130.00000,137.25000,-2.75000,1344,False,2,196174,750,-1.55500,1.43801,-1.62059,1.35984,1,-2.76158
3,5,29,120.00000,-4.00000,6.92820,0,True,110.00000,118.50000,-1.50000,1545,False,2,200511,1201,-1.25881,1.82832,-1.10639,1.91632,1,4.54766
3,6,30,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,1559,False,2,204464,751,1.07369,1.91050,1.09569,1.89779,1,0.66426
3,7,31,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1328,False,2,208216,733,-0.64792,1.95158,-0.35328,2.00353,1,8.36605
3,8,32,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,1279,False,2,213320,2435,-1.98077,0.71900,-1.98015,0.72072,1,0.04960
3,9,33,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,1322,False,2,217123,783,-0.87006,2.05430,-0.37754,2.14114,1,12.95417
3,10,34,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1562,False,2,220876,650,-2.11036,0.63683,-2.06817,0.75275,1,3.20809
3,11,35,140.00000,-6.12836,5.14230,0,True,130.00000,132.25000,-7.75000,1047,False,2,225163,2102,-1.64756,1.39692,-1.65468,1.38844,1,-0.29368
3,12,36,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,2173,False,2,229766,683,2.07333,0.43140,1.96945,0.71682,1,-8.24611
3,13,37,120.00000,-4.00000,6.92820,0,True,110.00000,122.75000,2.75000,2196,False,2,235521,1818,-1.31435,1.72561,-1.07580,1.86333,1,7.29553
3,14,38,80.00000,1.38919,7.87846,0,True,70.00000,78.75000,-1.25000,1556,False,2,239591,968,0.37024,2.17755,0.38355,2.17521,1,0.35051
3,15,39,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,1618,False,2,243744,967,0.87006,1.86941,1.02699,1.77880,1,5.04181
