task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,10108,False,2,70075,7789,1.51798,1.37638,1.51798,1.37638,1,2.19917
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,3930,False,2,77732,884,-1.70310,1.27366,-1.70310,1.27366,1,3.20909
2,3,3,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2737,False,2,85154,917,0.99964,1.82832,0.99964,1.82832,1,1.33222
2,4,4,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2291,False,2,91042,1101,-0.51833,2.01321,-0.51833,2.01321,1,4.43805
2,5,5,160.00000,-7.51754,2.73616,0,True,150.00000,158.25000,-1.75000,2639,False,2,97814,1018,-1.94375,0.55466,-1.94375,0.55466,1,4.07360
2,6,6,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2420,False,2,112725,800,-1.48095,1.54072,-1.48095,1.54072,1,13.86681
2,7,7,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,1990,False,2,119297,1901,0.38875,1.99267,0.38875,1.99267,1,-1.03918
2,8,8,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,2672,False,2,125435,750,1.92524,0.90389,1.92524,0.90389,1,5.14981
2,9,9,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,2874,False,2,132124,784,1.16625,1.78724,1.16625,1.78724,1,-3.12615
2,10,10,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,2426,False,2,137461,700,-1.81417,1.04769,-1.81417,1.04769,1,9.99340
2,11,11,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,1941,False,2,144500,2419,1.70310,1.35584,1.70310,1.35584,1,-1.47666
2,12,12,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2268,False,2,150955,1568,-0.07405,2.19810,-0.07405,2.19810,1,-8.07054
2,13,13,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,3340,False,2,157477,918,-1.86970,0.78063,-1.86970,0.78063,1,-2.66133
2,14,14,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,2421,False,2,167033,1684,-1.16625,1.66398,-1.16625,1.66398,1,5.02584
2,15,15,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2101,False,2,173372,1351,0.59238,1.93104,0.59238,1.93104,1,-7.05430
