task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,5821,False,2,45310,6988,-0.37024,2.09538,-0.37024,2.09538,1,0.02036
2,2,2,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,2198,False,2,51899,1251,-1.99929,0.71900,-1.99929,0.71900,1,0.22001
2,3,3,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,1864,False,2,61139,1101,-1.49946,1.47909,-1.49946,1.47909,1,-4.60817
2,4,4,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,2884,False,2,69662,1301,-1.24030,1.62289,-1.24030,1.62289,1,7.38901
2,5,5,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,2815,False,2,79153,1134,1.07369,1.70507,1.07369,1.70507,1,-2.19880
2,6,6,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,2302,False,2,86358,1000,1.77714,1.08878,1.77714,1.08878,1,11.49407
2,7,7,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2338,False,2,93247,1084,1.49946,1.37638,1.49946,1.37638,1,2.54935
2,8,8,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,1936,False,2,100103,951,0.62940,2.01321,0.62940,2.01321,1,-7.36107
2,9,9,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,2036,False,2,106991,1151,0.16661,2.09538,0.16661,2.09538,1,5.45380
2,10,10,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,2685,False,2,115097,1134,1.05518,1.72561,1.05518,1.72561,1,-1.44505
2,11,11,140.00000,-6.12836,5.14230,0,True,130.00000,141.25000,1.25000,2085,False,2,123220,1451,-1.20327,1.68452,-1.20327,1.68452,1,-14.46139
2,12,12,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,2133,False,2,131226,1234,-0.46280,1.95158,-0.46280,1.95158,1,3.34076
2,13,13,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,2331,False,2,140934,1551,-1.83268,0.92443,-1.83268,0.92443,1,-6.76703
2,14,14,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,1763,False,2,149591,1101,1.88821,0.71900,1.88821,0.71900,1,0.84603
2,15,15,40.00000,6.12836,5.14230,0,True,30.00000,40.50000,0.50000,2285,False,2,159398,2235,1.44393,1.39692,1.44393,1.39692,1,4.05196
2,16,16,120.00000,-4.00000,6.92820,0,True,110.00000,121.00000,1.00000,1860,False,2,168705,1201,-0.87006,1.93104,-0.87006,1.93104,1,-5.74532
2,17,17,160.00000,-7.51754,2.73616,0,True,150.00000,160.50000,0.50000,1719,False,2,175493,1283,-1.90673,0.86280,-1.90673,0.86280,1,-4.34687
2,18,18,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2100,False,2,183066,1117,0.77750,1.91050,0.77750,1.91050,1,7.85557
2,19,19,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,1770,False,2,189855,1017,1.55500,1.41746,1.55500,1.41746,1,2.35073
2,20,20,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,1789,False,2,195876,1334,-1.51798,1.33529,-1.51798,1.33529,1,-1.33645
2,21,21,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,1669,False,2,202531,1034,0.31470,2.07484,0.31470,2.07484,1,1.37544
2,22,22,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,2281,False,2,214273,2451,-0.42577,2.03375,-0.42577,2.03375,1,1.82422
2,23,23,120.00000,-4.00000,6.92820,0,True,110.00000,121.50000,1.50000,1841,False,2,223914,967,-1.18476,1.66398,-1.18476,1.66398,1,5.45101
2,24,24,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,1856,False,2,230553,1118,1.92524,0.84226,1.92524,0.84226,1,3.62857
3,1,25,20.00000,7.51754,2.73616,0,True,10.00000,21.00000,1.00000,1948,False,2,239076,1218,1.86970,0.92443,1.94810,0.70905,1,6.30903
3,2,26,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,2369,False,2,247699,2368,-1.46244,1.41746,-1.55616,1.30577,1,-4.10519
3,3,27,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,4153,False,2,257123,1684,-0.38875,2.03375,-0.35951,2.03891,1,0.82151
3,4,28,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,1915,False,2,264529,1134,-1.86970,0.82172,-1.91508,0.69703,1,-3.72515
3,5,29,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,1805,False,2,270634,968,-0.92560,1.88995,-1.04977,1.81826,1,-3.90677
3,6,30,60.00000,4.00000,6.92820,0,True,50.00000,61.00000,1.00000,2154,False,2,277105,950,1.20327,1.74615,1.05692,1.83065,1,-4.57068
3,7,31,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,1724,False,2,282159,784,0.33321,2.21864,0.38946,2.20872,1,1.45878
3,8,32,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1623,False,2,287564,784,1.44393,1.60235,1.63634,1.37305,1,7.97695
3,9,33,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,1538,False,2,294752,2502,-1.68458,1.27366,-1.89687,0.69041,1,-17.09182
3,10,34,100.00000,-1.38919,7.87846,0,True,90.00000,101.00000,1.00000,2183,False,2,300907,984,-0.62940,1.93104,-0.34921,1.98045,1,8.05278
3,11,35,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,2071,False,2,308913,2518,1.85119,1.06823,1.97797,0.71992,1,9.98711
3,12,36,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1783,False,2,315318,834,1.48095,1.43801,1.57714,1.32338,1,4.15720
3,13,37,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,1885,False,2,322474,1101,-0.77750,1.91050,-1.02164,1.76954,1,-7.85557
3,14,38,140.00000,-6.12836,5.14230,0,True,130.00000,141.75000,1.75000,2619,False,2,330130,1151,-1.61054,1.27366,-1.57226,1.31928,1,1.66207
3,15,39,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,2087,False,2,338036,2102,1.24030,1.72561,1.05728,1.83127,1,-5.70708
3,16,40,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2951,False,2,345508,917,0.55536,2.05430,0.36805,2.08732,1,-5.12774
4,1,41,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,2187,False,2,352530,1000,-1.53649,1.31475,-1.53649,1.31475,1,-0.55308
4,2,42,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2888,False,2,360453,1034,-0.72196,1.86941,-0.72196,1.86941,1,11.11640
4,3,43,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,2284,False,2,368977,2085,1.42542,1.54072,1.42542,1.54072,1,7.22608
4,4,44,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,2038,False,2,374681,751,1.24030,1.70507,1.24030,1.70507,1,-6.03285
4,5,45,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2271,False,2,381770,984,0.44429,2.07484,0.44429,2.07484,1,-2.08635
4,6,46,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,1868,False,2,388558,917,-1.25881,1.66398,-1.25881,1.66398,1,7.10771
4,7,47,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,1720,False,2,394629,917,1.85119,0.98606,1.85119,0.98606,1,8.04257
4,8,48,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,1949,False,2,403903,1217,-1.74012,1.12986,-1.74012,1.12986,1,-12.99567
5,1,49,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2902,False,2,445369,18998,0.24065,2.01321,0.24065,2.01321,1,3.18347
