task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.50000,-1.50000,6905.00000,2,92117,3386,-1.57351,1.52018,-1.57351,1.52018,1,-4.01242
2,2,2,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.75000,-1.25000,1835.00000,2,97387,1918,1.90673,1.25312,1.90673,1.25312,1,-6.68672
2,3,3,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.00000,-1.00000,2068.00000,2,103159,1769,0.74048,1.93104,0.74048,1.93104,1,-10.97991
2,4,4,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.50000,-0.50000,2109.00000,2,108463,1651,1.53649,1.82832,1.53649,1.82832,1,-10.04314
2,5,5,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.25000,-0.75000,2293.00000,2,113751,1435,-2.07333,0.57520,-2.07333,0.57520,1,4.49449
2,6,6,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.75000,-0.25000,2441.00000,2,119421,1384,-1.27732,1.97212,-1.27732,1.97212,1,2.93068
2,7,7,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.00000,0.00000,2327.00000,2,124793,1418,-0.87006,2.15701,-0.87006,2.15701,1,11.96737
2,8,8,20.00000,7.51754,2.73616,regular,0,True,10.00000,18.50000,-1.50000,1758.00000,2,129946,1667,1.88821,0.67792,1.88821,0.67792,1,-0.25045
2,9,9,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.50000,-1.50000,1658.00000,2,135084,1801,1.75863,1.31475,1.75863,1.31475,1,-3.21825
2,10,10,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.25000,-0.75000,2292.00000,2,140305,1752,1.51798,2.13647,1.51798,2.13647,1,-5.39412
2,11,11,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.50000,0.50000,2375.00000,2,145425,1384,-0.49982,2.07484,-0.49982,2.07484,1,3.54425
2,12,12,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.50000,-0.50000,4571.00000,2,154683,1585,-2.05482,0.67792,-2.05482,0.67792,1,21.74140
2,13,13,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.75000,-0.25000,3075.00000,2,161538,2002,-1.98077,0.39032,-1.98077,0.39032,1,8.85242
2,14,14,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.25000,-0.75000,2273.00000,2,167342,1667,2.12887,0.84226,2.12887,0.84226,1,1.58559
2,15,15,80.00000,1.38919,7.87846,regular,0,True,70.00000,78.50000,-1.50000,3927.00000,2,174198,1551,0.59238,2.34190,0.59238,2.34190,1,-4.19513
2,16,16,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.00000,0.00000,2407.00000,2,180119,1534,-1.75863,1.60235,-1.75863,1.60235,1,17.66224
2,17,17,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.25000,-0.75000,3560.00000,2,186891,1584,-1.75863,1.31475,-1.75863,1.31475,1,3.21825
2,18,18,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.50000,-0.50000,2859.00000,2,192896,1351,1.42542,1.88995,1.42542,1.88995,1,-7.02398
2,19,19,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.00000,0.00000,2774.00000,2,198850,1167,-1.94375,1.43801,-1.94375,1.43801,1,23.50551
2,20,20,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.25000,-0.75000,4093.00000,2,205806,1101,0.79601,2.11593,0.79601,2.11593,1,-10.61623
2,21,21,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.25000,0.25000,2709.00000,2,212061,1235,-1.03667,1.91050,-1.03667,1.91050,1,18.48502
2,22,22,20.00000,7.51754,2.73616,regular,0,True,10.00000,18.75000,-1.25000,2608.00000,2,218549,1768,2.14738,0.94498,2.14738,0.94498,1,3.75246
2,23,23,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.75000,-1.25000,2741.00000,2,225888,2552,-2.31399,0.51357,-2.31399,0.51357,1,7.48653
2,24,24,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.25000,-0.75000,2437.00000,2,231025,1000,1.85119,1.27366,1.85119,1.27366,1,-5.47116
3,1,25,80.00000,1.38919,7.87846,nocursor,0,False,,,,,2,271857,3669,1.11071,2.01321,0.00000,0.00000,1,-18.88600
3,2,26,60.00000,4.00000,6.92820,nocursor,0,False,,,,,2,275510,1273,1.66607,1.62289,0.00000,0.00000,1,-15.75218
3,3,27,160.00000,-7.51754,2.73616,nocursor,0,False,,,,,2,278429,1004,-1.90673,0.65737,0.00000,0.00000,1,0.97770
3,4,28,40.00000,6.12836,5.14230,nocursor,0,False,,,,,2,281348,1675,1.88821,1.12986,0.00000,0.00000,1,-9.10470
3,5,29,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,283399,967,-1.35137,1.64344,0.00000,0.00000,1,-10.57018
3,6,30,20.00000,7.51754,2.73616,nocursor,0,False,,,,,2,287302,1030,1.92524,0.71900,0.00000,0.00000,1,0.47865
3,7,31,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,290755,1902,-1.14774,1.88995,0.00000,0.00000,1,1.26972
3,8,32,100.00000,-1.38919,7.87846,nocursor,0,False,,,,,2,294458,1012,-0.53685,1.93104,0.00000,0.00000,1,5.53651
3,9,33,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,297677,1000,-1.81417,1.35584,0.00000,0.00000,1,3.22699
3,10,34,160.00000,-7.51754,2.73616,nocursor,0,False,,,,,2,301647,1030,-2.09185,0.67792,0.00000,0.00000,1,2.04369
3,11,35,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,304783,930,-1.05518,1.86941,0.00000,0.00000,1,-0.55764
3,12,36,40.00000,6.12836,5.14230,nocursor,0,False,,,,,2,308435,947,2.07333,1.06823,0.00000,0.00000,1,-12.74138
3,13,37,60.00000,4.00000,6.92820,nocursor,0,False,,,,,2,311588,982,1.46244,1.47909,0.00000,0.00000,1,-14.67569
3,14,38,20.00000,7.51754,2.73616,nocursor,0,False,,,,,2,314340,1000,1.98077,0.47249,0.00000,0.00000,1,-6.58347
3,15,39,100.00000,-1.38919,7.87846,nocursor,0,False,,,,,2,317059,933,-0.07405,2.28027,0.00000,0.00000,1,-8.14002
3,16,40,80.00000,1.38919,7.87846,nocursor,0,False,,,,,2,320245,1066,0.51833,1.97212,0.00000,0.00000,1,-4.72593
4,1,41,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,5037.00000,2,335990,650,3.57280,-2.97873,3.57280,-2.97873,1,-159.81879
4,2,42,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.50000,0.50000,3378.00000,2,343663,1902,0.57387,2.25973,0.57387,2.25973,1,-4.24933
4,3,43,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.00000,-1.00000,2709.00000,2,349083,1434,-1.96226,1.39692,-1.96226,1.39692,1,4.55319
4,4,44,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.75000,-0.25000,1791.00000,2,354655,1602,-0.62940,2.23918,-0.62940,2.23918,1,5.69988
4,5,45,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.50000,-0.50000,2642.00000,2,359842,950,1.90673,0.90389,1.90673,0.90389,1,5.36340
4,6,46,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.25000,-1.75000,1995.00000,2,364662,1401,-2.14738,0.41086,-2.14738,0.41086,1,9.16846
4,7,47,60.00000,4.00000,6.92820,regular,0,True,50.00000,58.75000,-1.25000,2741.00000,2,370267,1001,1.42542,2.07484,1.42542,2.07484,1,-4.48916
4,8,48,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.50000,-1.50000,5397.00000,2,378673,1434,1.72161,1.39692,1.72161,1.39692,1,-0.94401
4,9,49,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.75000,-0.25000,2142.00000,2,383560,867,-0.83304,1.95158,-0.83304,1.95158,1,-6.88459
4,10,50,60.00000,4.00000,6.92820,regular,0,True,50.00000,58.25000,-1.75000,2161.00000,2,388664,1417,1.40690,1.84887,1.40690,1.84887,1,-7.26937
4,11,51,80.00000,1.38919,7.87846,regular,0,True,70.00000,78.50000,-1.50000,3293.00000,2,395670,2152,0.46280,2.03375,0.46280,2.03375,1,-2.81991
4,12,52,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.25000,0.25000,2708.00000,2,400540,1034,2.14738,0.73955,2.14738,0.73955,1,-0.99648
4,13,53,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.25000,-0.75000,2577.00000,2,406144,1400,-2.18440,0.43140,-2.18440,0.43140,1,8.82834
4,14,54,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.50000,-1.50000,1891.00000,2,410715,951,-1.79565,1.06823,-1.79565,1.06823,1,9.25164
