task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.75000,-0.25000,7655.00000,2,96366,3803,1.86970,0.90389,1.86970,0.90389,1,5.80104
2,2,2,140.00000,-6.12836,5.14230,regular,0,True,130.00000,140.00000,0.00000,2105.00000,2,102504,1718,-1.98077,1.12986,-1.98077,1.12986,1,10.29894
2,3,3,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.75000,-0.25000,1874.00000,2,107508,1234,1.59202,1.52018,1.59202,1.52018,1,3.67766
2,4,4,80.00000,1.38919,7.87846,regular,0,True,70.00000,82.00000,2.00000,1390.00000,2,113379,1868,0.51833,2.13647,0.51833,2.13647,1,-3.63707
2,5,5,60.00000,4.00000,6.92820,regular,0,True,50.00000,60.75000,0.75000,1488.00000,2,118983,2101,1.27732,1.64344,1.27732,1.64344,1,-7.85519
2,6,6,120.00000,-4.00000,6.92820,regular,0,True,110.00000,121.25000,1.25000,1388.00000,2,124004,1435,-0.33321,2.03375,-0.33321,2.03375,1,-20.69532
2,7,7,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.00000,0.00000,1307.00000,2,128474,884,-0.33321,2.03375,-0.33321,2.03375,1,-0.69532
2,8,8,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.50000,-0.50000,1826.00000,2,133428,1251,-1.46244,1.58181,-1.46244,1.58181,1,-27.24551
2,9,9,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.75000,-1.25000,1822.00000,2,139266,1635,1.46244,1.70507,1.46244,1.70507,1,9.38028
2,10,10,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,2674.00000,2,145771,1734,1.74012,1.23258,1.74012,1.23258,1,15.31110
2,11,11,140.00000,-6.12836,5.14230,regular,0,True,130.00000,136.75000,-3.25000,1355.00000,2,151409,2002,0.46280,1.95158,0.46280,1.95158,1,-63.34076
2,12,12,100.00000,-1.38919,7.87846,regular,0,True,90.00000,102.00000,2.00000,1687.00000,2,156496,1218,-0.66643,1.93104,-0.66643,1.93104,1,9.04030
2,13,13,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.50000,-0.50000,2425.00000,2,165219,4320,-0.25917,2.03375,-0.25917,2.03375,1,-22.73768
2,14,14,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.25000,-0.75000,1148.00000,2,170123,1351,0.92560,1.99267,0.92560,1.99267,1,5.08502
2,15,15,160.00000,-7.51754,2.73616,regular,0,True,150.00000,160.25000,0.25000,1291.00000,2,174560,1334,-2.11036,0.86280,-2.11036,0.86280,1,-2.23672
2,16,16,80.00000,1.38919,7.87846,regular,0,True,70.00000,78.75000,-1.25000,1374.00000,2,178864,1101,1.11071,1.97212,1.11071,1.97212,1,-19.38848
2,17,17,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.00000,-1.00000,1225.00000,2,183467,1468,0.94411,1.84887,0.94411,1.84887,1,2.94925
2,18,18,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.75000,-0.25000,1241.00000,2,188488,2119,0.51833,2.05430,0.51833,2.05430,1,-4.16099
2,19,19,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.75000,-1.25000,1472.00000,2,193141,1467,-2.18440,0.82172,-2.18440,0.82172,1,-0.61512
2,20,20,120.00000,-4.00000,6.92820,regular,0,True,110.00000,118.25000,-1.75000,1338.00000,2,198462,1584,-0.81452,1.91050,-0.81452,1.91050,1,-6.90957
2,21,21,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.00000,-1.00000,1285.00000,2,204834,1618,0.99964,2.01321,0.99964,2.01321,1,43.59375
2,22,22,40.00000,6.12836,5.14230,regular,0,True,30.00000,37.75000,-2.25000,1290.00000,2,209687,1751,1.09220,1.91050,1.09220,1.91050,1,20.24414
2,23,23,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.25000,-0.75000,1321.00000,2,215192,1618,-1.44393,1.45855,-1.44393,1.45855,1,-5.28860
2,24,24,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.75000,-0.25000,1290.00000,2,220162,1734,-0.11107,2.28027,-0.11107,2.28027,1,-7.21138
3,1,25,20.00000,7.51754,2.73616,nocursor,0,False,,,,,2,296738,5070,1.98077,0.90389,0.00000,0.00000,1,4.52876
3,2,26,40.00000,6.12836,5.14230,nocursor,0,False,,,,,2,300341,854,1.68458,1.45855,0.00000,0.00000,1,0.88680
3,3,27,60.00000,4.00000,6.92820,nocursor,0,False,,,,,2,303577,848,0.98113,1.76669,0.00000,0.00000,1,0.95443
3,4,28,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,306679,833,-1.46244,1.68452,0.00000,0.00000,1,10.96335
3,5,29,100.00000,-1.38919,7.87846,nocursor,0,False,,,,,2,309799,833,-0.72196,1.86941,0.00000,0.00000,1,11.11640
3,6,30,80.00000,1.38919,7.87846,nocursor,0,False,,,,,2,313184,1382,0.37024,2.03375,0.00000,0.00000,1,-0.31759
3,7,31,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,316570,863,-1.79565,1.10932,0.00000,0.00000,1,8.29298
3,8,32,160.00000,-7.51754,2.73616,nocursor,0,False,,,,,2,319473,817,-1.98077,0.76009,0.00000,0.00000,1,-0.99354
3,9,33,60.00000,4.00000,6.92820,nocursor,0,False,,,,,2,323309,1915,1.27732,1.60235,0.00000,0.00000,1,-8.56025
3,10,34,20.00000,7.51754,2.73616,nocursor,0,False,,,,,2,326361,795,1.86970,1.37638,0.00000,0.00000,1,16.35865
3,11,35,100.00000,-1.38919,7.87846,nocursor,0,False,,,,,2,329547,877,-0.85155,1.97212,0.00000,0.00000,1,13.35441
3,12,36,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,332666,983,-1.64756,1.29421,0.00000,0.00000,1,1.84926
3,13,37,80.00000,1.38919,7.87846,nocursor,0,False,,,,,2,337470,2200,0.44429,1.99267,0.00000,0.00000,1,-2.56920
3,14,38,160.00000,-7.51754,2.73616,nocursor,0,False,,,,,2,340806,829,-1.85119,0.78063,0.00000,0.00000,1,-2.86471
3,15,39,40.00000,6.12836,5.14230,nocursor,0,False,,,,,2,343758,717,1.44393,1.64344,0.00000,0.00000,1,8.69739
3,16,40,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,346777,818,-1.27732,1.60235,0.00000,0.00000,1,8.56025
4,1,41,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.25000,0.25000,1618.00000,2,379636,2385,-1.24030,1.78724,-1.24030,1.78724,1,4.75968
4,2,42,60.00000,4.00000,6.92820,regular,0,True,50.00000,60.00000,0.00000,1352.00000,2,384440,1401,0.94411,1.84887,0.94411,1.84887,1,2.94925
4,3,43,40.00000,6.12836,5.14230,regular,0,True,30.00000,40.00000,0.00000,1608.00000,2,389727,1834,1.09220,1.84887,1.09220,1.84887,1,19.42799
4,4,44,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.25000,-1.75000,1255.00000,2,395148,2152,-1.99929,-0.16434,-1.99929,-0.16434,1,44.69910
4,5,45,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.00000,-1.00000,1336.00000,2,400185,1534,0.61089,2.07484,0.61089,2.07484,1,-6.40588
4,6,46,100.00000,-1.38919,7.87846,regular,0,True,90.00000,101.25000,1.25000,1306.00000,2,404839,1351,-0.14810,2.07484,-0.14810,2.07484,1,-5.91721
4,7,47,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.75000,-0.25000,1509.00000,2,409559,1801,-2.11036,0.57520,-2.11036,0.57520,1,4.75380
4,8,48,20.00000,7.51754,2.73616,regular,0,True,10.00000,17.75000,-2.25000,1622.00000,2,414797,1518,1.24030,1.58181,1.24030,1.58181,1,31.89994
4,9,49,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.00000,-2.00000,1124.00000,2,419250,1518,0.92560,1.82832,0.92560,1.82832,1,-96.85114
4,10,50,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.25000,-0.75000,1406.00000,2,424237,1618,-0.42577,2.15701,-0.42577,2.15701,1,1.16601
4,11,51,40.00000,6.12836,5.14230,regular,0,True,30.00000,37.75000,-2.25000,1039.00000,2,429541,2351,1.46244,1.62289,1.46244,1.62289,1,7.97694
4,12,52,60.00000,4.00000,6.92820,regular,0,True,50.00000,57.50000,-2.50000,1036.00000,2,434778,1584,1.33286,1.58181,1.33286,1.58181,1,-10.11806
4,13,53,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.50000,-0.50000,1207.00000,2,439065,1568,1.05518,1.97212,1.05518,1.97212,1,-18.14895
