task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,5955,False,2,55742,12359,1.75863,1.06823,1.75863,1.06823,1,-8.72460
2,2,2,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,2498,False,2,62748,1218,-1.96226,0.73955,-1.96226,0.73955,1,-0.65077
2,3,3,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2728,False,2,74157,1051,-1.25881,1.60235,-1.25881,1.60235,1,8.15326
2,4,4,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,4608,False,2,82797,1152,1.12923,1.70507,1.12923,1.70507,1,-3.51562
2,5,5,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2770,False,2,90452,1067,0.74048,1.97212,0.74048,1.97212,1,-10.57986
2,6,6,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,2486,False,2,97475,901,1.74012,1.12986,1.74012,1.12986,1,12.99567
2,7,7,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,4023,False,2,106014,1401,-0.64792,1.95158,-0.64792,1.95158,1,8.36605
2,8,8,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,3804,False,2,114021,851,-1.44393,1.39692,-1.44393,1.39692,1,-4.05196
2,9,9,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2505,False,2,120993,1185,-1.70310,1.12986,-1.70310,1.12986,1,-13.56084
2,10,10,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,2854,False,2,128315,1118,2.01780,0.51357,2.01780,0.51357,1,-5.72029
2,11,11,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2306,False,2,135204,951,-1.18476,1.72561,-1.18476,1.72561,1,4.47250
2,12,12,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2155,False,2,141592,884,1.61054,1.25312,1.61054,1.25312,1,-2.11443
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,3368,False,2,150565,1051,-0.18512,2.01321,-0.18512,2.01321,1,-4.74628
2,14,14,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,2370,False,2,158922,2385,0.48131,2.01321,0.48131,2.01321,1,-3.44566
2,15,15,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,1935,False,2,165343,1317,-1.36988,1.54072,-1.36988,1.54072,1,-8.35917
2,16,16,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,2051,False,2,172199,1084,0.88857,1.84887,0.88857,1.84887,1,4.33098
2,17,17,40.00000,6.12836,5.14230,0,True,30.00000,38.00000,-2.00000,4489,False,2,180972,767,1.72161,1.17095,1.72161,1.17095,1,-5.77849
2,18,18,120.00000,-4.00000,6.92820,0,True,110.00000,118.25000,-1.75000,2139,False,2,187377,951,-1.12923,1.78724,-1.12923,1.78724,1,2.28588
2,19,19,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3238,False,2,194916,717,0.44429,2.01321,0.44429,2.01321,1,-2.44498
2,20,20,140.00000,-6.12836,5.14230,0,True,130.00000,137.50000,-2.50000,3123,False,2,202439,901,-1.29583,1.54072,-1.29583,1.54072,1,-9.93432
2,21,21,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,4124,False,2,210528,800,1.01815,1.76669,1.01815,1.76669,1,0.04499
2,22,22,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,2837,False,2,217701,868,-1.74012,1.04769,-1.74012,1.04769,1,-11.05127
2,23,23,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,3005,False,2,226557,2535,1.88821,0.80118,1.88821,0.80118,1,2.99183
2,24,24,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,2200,False,2,233663,1084,-0.48131,2.03375,-0.48131,2.03375,1,3.31472
3,1,25,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2110,False,2,243203,1301,-1.92524,0.86280,-1.97733,0.71969,1,-4.13963
3,2,26,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,4607,False,2,251743,967,1.05518,1.72561,1.01101,1.75111,1,-1.44505
3,3,27,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,3023,False,2,260050,2385,1.81417,1.23258,1.67152,1.40257,1,-5.80710
3,4,28,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,2251,False,2,266788,1084,0.38875,2.07484,0.36654,2.07876,1,-0.61212
3,5,29,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,2522,False,2,273293,800,-0.75899,1.95158,-0.35663,2.02253,1,11.25158
3,6,30,140.00000,-6.12836,5.14230,0,True,130.00000,137.50000,-2.50000,1790,False,2,279114,850,-1.75863,1.02715,-1.53778,1.29035,1,9.71240
3,7,31,120.00000,-4.00000,6.92820,0,True,110.00000,118.00000,-2.00000,2356,False,2,285119,850,-1.86970,1.25312,-1.01004,1.74945,1,26.16901
3,8,32,20.00000,7.51754,2.73616,0,True,10.00000,18.75000,-1.25000,2255,False,2,291357,900,1.99929,0.63683,1.97009,0.71705,1,-2.33186
3,9,33,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,3307,False,2,298546,851,1.55500,1.33529,1.57001,1.31740,1,0.65293
3,10,34,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,4309,False,2,307420,1818,-0.29619,2.01321,-0.35321,2.00316,1,-1.63050
3,11,35,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2254,False,2,313608,1034,0.11107,2.01321,0.34763,1.97150,1,6.84216
3,12,36,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,2821,False,2,321197,1084,-1.92524,0.78063,-1.95092,0.71008,1,-2.07115
3,13,37,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,4174,False,2,330137,1918,1.49946,1.60235,1.06870,1.85105,1,-13.10014
3,14,38,120.00000,-4.00000,6.92820,0,True,110.00000,117.25000,-2.75000,2481,False,2,339228,1135,-0.92560,1.91050,-1.05867,1.83367,1,-4.15072
3,15,39,20.00000,7.51754,2.73616,0,True,10.00000,21.00000,1.00000,5007,False,2,348418,951,2.03631,0.51357,1.96317,0.71453,1,-5.84485
3,16,40,140.00000,-6.12836,5.14230,0,True,130.00000,137.25000,-2.75000,3004,False,2,357275,1918,-1.81417,1.04769,-1.58048,1.32618,1,9.99340
4,1,41,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,5590,False,2,368066,1684,1.99929,0.39032,1.99929,0.39032,1,-8.95313
4,2,42,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,3838,False,2,376273,1118,0.57387,1.95158,0.57387,1.95158,1,-6.38619
4,3,43,140.00000,-6.12836,5.14230,0,True,130.00000,137.75000,-2.25000,2822,False,2,383378,1101,-1.31435,1.52018,-1.31435,1.52018,1,-9.15326
