task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,5754,False,2,35270,4554,1.24030,1.58181,1.24030,1.58181,1,-8.10006
2,2,2,40.00000,6.12836,5.14230,0,True,30.00000,41.00000,1.00000,3964,False,2,47012,2985,1.72161,1.10932,1.72161,1.10932,1,-7.20428
2,3,3,140.00000,-6.12836,5.14230,0,True,130.00000,138.25000,-1.75000,3132,False,2,57070,2735,-1.64756,1.21203,-1.64756,1.21203,1,3.65989
2,4,4,100.00000,-1.38919,7.87846,0,True,90.00000,101.00000,1.00000,3919,False,2,74366,2936,-0.46280,2.01321,-0.46280,2.01321,1,2.94632
2,5,5,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,3499,False,2,83957,2319,0.49982,2.01321,0.49982,2.01321,1,-3.94292
2,6,6,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,3579,False,2,110277,16513,-1.83268,0.94498,-1.83268,0.94498,1,-7.27687
2,7,7,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,3401,False,2,127740,3903,2.01780,0.32869,2.01780,0.32869,1,-10.74805
2,8,8,120.00000,-4.00000,6.92820,0,True,110.00000,118.00000,-2.00000,2694,False,2,138531,3119,-0.96262,1.82832,-0.96262,1.82832,1,-2.23296
2,9,9,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,2627,False,2,150024,3820,-1.74012,1.12986,-1.74012,1.12986,1,7.00433
2,10,10,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,2760,False,2,169205,11542,-1.96226,0.57520,-1.96226,0.57520,1,3.66248
2,11,11,100.00000,-1.38919,7.87846,0,True,90.00000,98.00000,-2.00000,3470,False,2,189503,3886,-0.55536,1.99267,-0.55536,1.99267,1,5.57323
2,12,12,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,2793,False,2,200795,3419,0.90708,1.84887,0.90708,1.84887,1,3.86682
