task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,9324,False,2,44951,2001,1.74012,1.10932,1.74012,1.10932,1,-7.48264
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,4511,False,2,53441,1851,-1.70310,1.25312,-1.70310,1.25312,1,3.65482
2,3,3,20.00000,7.51754,2.73616,0,True,10.00000,21.00000,1.00000,2121,False,2,59462,1484,1.99929,0.80118,1.99929,0.80118,1,1.83757
2,4,4,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1555,False,2,64616,950,-1.27732,1.56127,-1.27732,1.56127,1,9.28759
2,5,5,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1608,False,2,69103,784,-1.94375,0.67792,-1.94375,0.67792,1,0.77281
2,6,6,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,3187,False,2,79494,2902,-0.72196,2.11593,-0.72196,2.11593,1,8.83975
2,7,7,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,4505,False,2,87367,1334,1.42542,1.54072,1.42542,1.54072,1,-12.77392
2,8,8,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2020,False,2,93872,1034,0.49982,2.15701,0.49982,2.15701,1,-3.04627
2,9,9,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2257,False,2,99593,1067,0.49982,2.21864,0.49982,2.21864,1,-2.69577
2,10,10,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,2338,False,2,106549,1234,-1.99929,0.65737,-1.99929,0.65737,1,1.79905
2,11,11,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,2089,False,2,112420,1218,-1.27732,1.76669,-1.27732,1.76669,1,5.86700
