task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.00000,-1.00000,2419.00000,2,59852,2518,-1.75863,1.33529,-1.75863,1.33529,1,2.79138
2,2,2,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.00000,0.00000,1891.00000,2,65857,900,1.96226,0.94498,1.96226,0.94498,1,5.71441
2,3,3,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.25000,-0.75000,3141.00000,2,72545,917,-0.57387,1.99267,-0.57387,1.99267,1,6.06590
2,4,4,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.25000,-0.75000,2563.00000,2,78817,701,1.36988,1.60235,1.36988,1.60235,1,-10.52777
2,5,5,120.00000,-4.00000,6.92820,regular,0,True,110.00000,118.50000,-1.50000,2541.00000,2,84955,867,-1.24030,1.68452,-1.24030,1.68452,1,6.36395
2,6,6,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.25000,-0.75000,2088.00000,2,91176,900,-2.01780,0.53412,-2.01780,0.53412,1,5.17361
2,7,7,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.25000,-0.75000,1873.00000,2,97197,1000,0.40726,1.99267,0.40726,1.99267,1,-1.55098
2,8,8,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.00000,-1.00000,2604.00000,2,104220,751,1.44393,1.60235,1.44393,1.60235,1,7.97695
2,9,9,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.00000,-1.00000,2903.00000,2,111959,801,-2.05482,0.55466,-2.05482,0.55466,1,4.89410
2,10,10,60.00000,4.00000,6.92820,regular,0,True,50.00000,61.00000,1.00000,3007.00000,2,128822,1684,0.96262,1.80778,0.96262,1.80778,1,1.96526
2,11,11,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.00000,-1.00000,1753.00000,2,135260,983,0.31470,2.01321,0.31470,2.01321,1,1.11556
2,12,12,120.00000,-4.00000,6.92820,regular,0,True,110.00000,118.50000,-1.50000,2687.00000,2,142766,750,-1.40690,1.49964,-1.40690,1.49964,1,13.17246
2,13,13,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.75000,-0.25000,1988.00000,2,149505,1051,-0.96262,1.91050,-0.96262,1.91050,1,16.74160
2,14,14,20.00000,7.51754,2.73616,regular,0,True,10.00000,21.25000,1.25000,2670.00000,2,156294,784,1.86970,0.92443,1.86970,0.92443,1,6.30903
2,15,15,140.00000,-6.12836,5.14230,regular,0,True,130.00000,137.25000,-2.75000,2587.00000,2,166135,3453,-1.85119,1.06823,-1.85119,1.06823,1,10.01289
2,16,16,40.00000,6.12836,5.14230,regular,0,True,30.00000,40.25000,0.25000,2615.00000,2,172757,801,1.36988,1.49964,1.36988,1.49964,1,7.58916
2,17,17,40.00000,6.12836,5.14230,regular,0,True,30.00000,38.50000,-1.50000,3457.00000,2,181146,1834,1.46244,1.58181,1.46244,1.58181,1,7.24551
2,18,18,120.00000,-4.00000,6.92820,regular,0,True,110.00000,119.25000,-0.75000,1970.00000,2,187218,984,-0.90708,1.82832,-0.90708,1.82832,1,-3.61272
2,19,19,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.25000,0.25000,2037.00000,2,193489,733,-0.42577,2.13647,-0.42577,2.13647,1,1.27063
2,20,20,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.00000,-1.00000,2691.00000,2,201429,2168,-2.03631,0.43140,-2.03631,0.43140,1,8.03853
2,21,21,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.00000,-1.00000,2015.00000,2,207900,950,-1.77714,1.00661,-1.77714,1.00661,1,10.47186
2,22,22,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.75000,0.75000,2120.00000,2,214489,867,0.24065,2.11593,0.24065,2.11593,1,3.51149
2,23,23,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.75000,-0.25000,2023.00000,2,220561,901,0.94411,1.84887,0.94411,1.84887,1,2.94925
2,24,24,20.00000,7.51754,2.73616,regular,0,True,10.00000,19.25000,-0.75000,2070.00000,2,227483,867,1.74012,1.10932,1.74012,1.10932,1,12.51736
3,1,25,80.00000,1.38919,7.87846,nocursor,0,False,,,,,2,282042,23418,-0.20363,2.03375,0.00000,0.00000,1,15.71771
3,2,26,100.00000,-1.38919,7.87846,nocursor,0,False,,,,,2,287963,2649,-1.14774,1.76669,0.00000,0.00000,1,23.00999
3,3,27,40.00000,6.12836,5.14230,nocursor,0,False,,,,,2,291800,1545,1.51798,1.33529,0.00000,0.00000,1,1.33645
3,4,28,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,295185,1314,0.37024,-1.99267,0.00000,0.00000,1,140.52558
3,5,29,160.00000,-7.51754,2.73616,nocursor,0,False,,,,,2,299038,1180,1.92524,-0.98606,0.00000,0.00000,1,172.87961
3,6,30,60.00000,4.00000,6.92820,nocursor,0,False,,,,,2,304343,2381,0.96262,1.88995,0.00000,0.00000,1,3.00861
3,7,31,20.00000,7.51754,2.73616,nocursor,0,False,,,,,2,309747,1160,-1.36988,-1.76669,0.00000,0.00000,1,-147.78977
3,8,32,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,314467,1129,1.70310,-1.54072,0.00000,0.00000,1,-162.13426
3,9,33,40.00000,6.12836,5.14230,nocursor,0,False,,,,,2,317736,865,1.59202,1.33529,0.00000,0.00000,1,-0.01211
3,10,34,60.00000,4.00000,6.92820,nocursor,0,False,,,,,2,323191,1680,0.24065,-2.01321,0.00000,0.00000,1,-143.18347
3,11,35,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,329862,1055,-1.70310,-1.15041,0.00000,0.00000,1,94.03824
3,12,36,20.00000,7.51754,2.73616,nocursor,0,False,,,,,2,333482,2170,2.01780,0.06163,0.00000,0.00000,1,-18.25055
3,13,37,80.00000,1.38919,7.87846,nocursor,0,False,,,,,2,337418,1194,-2.09185,-0.78063,0.00000,0.00000,1,120.46441
3,14,38,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,346008,1152,1.94375,-1.25312,0.00000,0.00000,1,-172.80955
3,15,39,100.00000,-1.38919,7.87846,nocursor,0,False,,,,,2,350228,1113,1.35137,-1.78724,0.00000,0.00000,1,-152.90630
3,16,40,160.00000,-7.51754,2.73616,nocursor,0,False,,,,,2,353381,1082,1.38839,-1.66398,0.00000,0.00000,1,149.84091
4,1,41,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.00000,-1.00000,2202.00000,2,374931,6905,-1.01815,1.93104,-1.01815,1.93104,1,17.80065
4,2,42,160.00000,-7.51754,2.73616,regular,0,True,150.00000,159.75000,-0.25000,2125.00000,2,381519,1818,-1.99929,0.34923,-1.99929,0.34923,1,10.09171
4,3,43,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.75000,-0.25000,1984.00000,2,388158,801,1.68458,1.37638,1.68458,1.37638,1,-0.74958
4,4,44,60.00000,4.00000,6.92820,regular,0,True,50.00000,59.50000,-0.50000,2407.00000,2,393979,901,1.09220,1.88995,1.09220,1.88995,1,-0.02357
4,5,45,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.25000,0.25000,2257.00000,2,399700,801,1.81417,0.96552,1.81417,0.96552,1,8.02237
4,6,46,140.00000,-6.12836,5.14230,regular,0,True,130.00000,140.00000,0.00000,1908.00000,2,404854,767,-1.90673,0.76009,-1.90673,0.76009,1,18.26603
4,7,47,80.00000,1.38919,7.87846,regular,0,True,70.00000,80.00000,0.00000,2141.00000,2,412076,2452,0.20363,2.01321,0.20363,2.01321,1,4.22435
