task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,0,True,30.00000,40.75000,0.75000,8923,False,2,59351,8089,1.86970,0.88335,1.86970,0.88335,1,-14.71135
2,2,2,120.00000,-4.00000,6.92820,0,True,110.00000,206.50000,86.50000,11234,False,2,77532,2952,-1.24030,1.62289,-1.24030,1.62289,1,7.38901
2,3,3,140.00000,-6.12836,5.14230,0,True,130.00000,325.00000,-175.00000,12906,False,2,96597,2369,-1.61054,1.33529,-1.61054,1.33529,1,0.33806
2,4,4,20.00000,7.51754,2.73616,0,True,10.00000,322.25000,-57.75000,5668,False,2,108539,1934,1.98077,0.73955,1.98077,0.73955,1,0.47387
2,5,5,60.00000,4.00000,6.92820,0,True,50.00000,231.50000,171.50000,14409,False,2,132508,5638,1.09220,1.76669,1.09220,1.76669,1,-1.72511
2,6,6,80.00000,1.38919,7.87846,0,True,70.00000,235.75000,155.75000,15736,False,2,156059,4053,0.37024,2.09538,0.37024,2.09538,1,-0.02036
2,7,7,160.00000,-7.51754,2.73616,0,True,150.00000,248.75000,88.75000,9102,False,2,171154,2885,-2.01780,0.51357,-2.01780,0.51357,1,5.72029
2,8,8,100.00000,-1.38919,7.87846,0,True,90.00000,335.00000,-125.00000,10423,False,2,189084,4169,-0.44429,2.05430,-0.44429,2.05430,1,2.20359
2,9,9,140.00000,-6.12836,5.14230,0,True,130.00000,328.50000,-171.50000,13256,False,2,209266,3586,-1.35137,1.60235,-1.35137,1.60235,1,-9.85680
2,10,10,80.00000,1.38919,7.87846,0,True,70.00000,336.75000,-103.25000,8603,False,2,224528,3552,0.44429,1.97212,0.44429,1.97212,1,-2.69595
2,11,11,20.00000,7.51754,2.73616,0,True,10.00000,272.00000,-108.00000,8001,False,2,239757,3753,1.90673,0.88335,1.90673,0.88335,1,4.85735
2,12,12,100.00000,-1.38919,7.87846,0,True,90.00000,200.50000,100.50000,9022,False,2,254251,2685,-0.42577,2.01321,-0.42577,2.01321,1,1.94142
2,13,13,120.00000,-4.00000,6.92820,0,True,110.00000,273.75000,153.75000,12825,False,2,272748,2568,-0.87006,1.82832,-0.87006,1.82832,1,-4.55118
2,14,14,60.00000,4.00000,6.92820,0,True,50.00000,307.50000,-112.50000,10240,False,2,290862,4853,1.05518,1.78724,1.05518,1.78724,1,-0.55745
2,15,15,40.00000,6.12836,5.14230,0,True,30.00000,258.75000,-141.25000,11037,False,2,306358,1168,1.55500,1.52018,1.55500,1.52018,1,4.35127
2,16,16,160.00000,-7.51754,2.73616,0,True,150.00000,215.75000,55.75000,7194,False,2,317166,1234,-2.05482,0.65737,-2.05482,0.65737,1,2.25969
2,17,17,60.00000,4.00000,6.92820,0,True,50.00000,332.00000,-88.00000,6942,False,2,327758,918,0.83304,2.03375,0.83304,2.03375,1,7.72561
2,18,18,120.00000,-4.00000,6.92820,0,True,110.00000,204.75000,84.75000,8526,False,2,340951,1218,-0.98113,1.78724,-0.98113,1.78724,1,-1.23481
2,19,19,160.00000,-7.51754,2.73616,0,True,150.00000,300.00000,140.00000,12229,False,2,357413,967,-1.88821,0.80118,-1.88821,0.80118,1,-2.99183
2,20,20,100.00000,-1.38919,7.87846,0,True,90.00000,327.25000,-132.75000,11648,False,2,373809,1801,-0.57387,2.11593,-0.57387,2.11593,1,5.17439
2,21,21,80.00000,1.38919,7.87846,0,True,70.00000,296.75000,-143.25000,10777,False,2,389638,2368,-0.25917,2.07484,-0.25917,2.07484,1,17.11999
2,22,22,40.00000,6.12836,5.14230,0,True,30.00000,268.00000,-132.00000,10510,False,2,404233,1051,1.33286,1.49964,1.33286,1.49964,1,8.36973
2,23,23,140.00000,-6.12836,5.14230,0,True,130.00000,213.50000,73.50000,8674,False,2,417343,1801,-1.49946,1.43801,-1.49946,1.43801,1,-3.80158
2,24,24,20.00000,7.51754,2.73616,0,True,10.00000,310.75000,-69.25000,5707,False,2,427050,1050,1.94375,0.86280,1.94375,0.86280,1,3.93568
3,1,25,140.00000,-6.12836,5.14230,0,True,130.00000,222.00000,82.00000,8245,False,2,440144,2452,-1.62905,1.23258,-1.56289,1.31142,1,2.88794
3,2,26,120.00000,-4.00000,6.92820,0,True,110.00000,38.50000,-81.50000,25754,False,2,476221,7055,-0.09256,2.25973,-1.00163,1.73487,1,-27.65444
