task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,16846,False,2,105299,2668,1.66607,1.58181,1.66607,1.58181,1,3.51390
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,3641,False,2,113806,2268,-1.48095,1.60235,-1.48095,1.60235,1,-7.25476
2,3,3,100.00000,-1.38919,7.87846,0,True,90.00000,98.75000,-1.25000,2589,False,2,119127,901,-0.94411,1.84887,-0.94411,1.84887,1,17.05075
2,4,4,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,2808,False,2,126566,2435,1.70310,1.12986,1.70310,1.12986,1,13.56084
2,5,5,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,3354,False,2,135289,2685,1.31435,2.21864,1.31435,2.21864,1,-0.64303
2,6,6,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2502,False,2,141261,1001,-1.96226,0.47249,-1.96226,0.47249,1,6.46155
2,7,7,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,2709,False,2,147532,1668,0.27768,2.03375,0.27768,2.03375,1,2.22514
2,8,8,120.00000,-4.00000,6.92820,0,True,110.00000,118.25000,-1.75000,5389,False,2,159341,3752,-1.68458,1.15041,-1.68458,1.15041,1,25.67059
2,9,9,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2516,False,2,165379,783,1.40690,2.09538,1.40690,2.09538,1,16.12142
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,2859,False,2,172752,1935,-1.03667,1.80778,-1.03667,1.80778,1,-0.16792
2,11,11,140.00000,-6.12836,5.14230,0,True,130.00000,138.25000,-1.75000,2121,False,2,179407,2418,-1.75863,1.21203,-1.75863,1.21203,1,5.42578
2,12,12,80.00000,1.38919,7.87846,0,True,70.00000,81.25000,1.25000,4571,False,2,188614,2118,0.25917,2.03375,0.25917,2.03375,1,2.73768
2,13,13,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,2721,False,2,195019,817,0.75899,2.30081,0.75899,2.30081,1,11.74334
