task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,2134,False,2,57746,2135,-1.74012,1.27366,-1.74012,1.27366,1,3.79818
2,2,2,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,1894,False,2,61799,517,1.85119,0.76009,1.85119,0.76009,1,2.32283
2,3,3,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,1793,False,2,66686,934,-2.18440,0.82172,-2.18440,0.82172,1,-0.61512
2,4,4,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,1690,False,2,72391,1518,1.29583,1.82832,1.29583,1.82832,1,-5.32728
2,5,5,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,2610,False,2,77611,1200,-0.68494,2.21864,-0.68494,2.21864,1,7.15654
2,6,6,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,1511,False,2,81214,750,0.25917,2.25973,0.25917,2.25973,1,3.45729
2,7,7,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,1613,False,2,85334,1184,1.75863,1.41746,1.75863,1.41746,1,-1.13110
2,8,8,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,1409,False,2,89871,1384,-0.94411,2.11593,-0.94411,2.11593,1,-5.95398
2,9,9,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,1710,False,2,93957,850,0.11107,2.21864,0.11107,2.21864,1,7.13404
2,10,10,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,1760,False,2,98261,851,1.81417,1.56127,1.81417,1.56127,1,0.71520
2,11,11,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,1763,False,2,102097,817,-1.25881,1.84887,-1.25881,1.84887,1,-15.75086
2,12,12,120.00000,-4.00000,6.92820,0,True,110.00000,121.00000,1.00000,1692,False,2,107317,1384,-1.16625,2.23918,-1.16625,2.23918,1,-2.48779
2,13,13,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,1408,False,2,111087,784,-1.88821,0.67792,-1.88821,0.67792,1,0.25045
2,14,14,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1609,False,2,115507,767,-0.57387,1.97212,-0.57387,1.97212,1,6.22454
2,15,15,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,1797,False,2,119394,868,2.03631,0.98606,2.03631,0.98606,1,5.83806
2,16,16,60.00000,4.00000,6.92820,0,True,50.00000,58.00000,-2.00000,1226,False,2,123814,1418,1.42542,1.80778,1.42542,1.80778,1,-8.25550
2,17,17,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,1792,False,2,127750,767,-1.01815,1.84887,-1.01815,1.84887,1,-1.15896
