task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,cursortype,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,20.00000,7.51754,2.73616,regular,0,True,10.00000,21.00000,1.00000,3186.00000,2,58043,3970,1.88821,0.76009,1.88821,0.76009,1,1.92702
2,2,2,60.00000,4.00000,6.92820,regular,0,True,50.00000,54.00000,-6.00000,5273.00000,2,67167,718,1.07369,1.86941,1.07369,1.86941,1,0.12922
2,3,3,160.00000,-7.51754,2.73616,regular,0,True,150.00000,158.50000,-1.50000,5646.00000,2,79326,4403,-2.03631,0.41086,-2.03631,0.41086,1,8.59276
2,4,4,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.00000,-1.00000,4432.00000,2,87849,884,-0.62940,1.91050,-0.62940,1.91050,1,8.23408
2,5,5,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.00000,0.00000,5691.00000,2,97090,668,-1.42542,1.41746,-1.42542,1.41746,1,15.16043
2,6,6,140.00000,-6.12836,5.14230,regular,0,True,130.00000,139.50000,-0.50000,2457.00000,2,105813,3619,-1.68458,1.08878,-1.68458,1.08878,1,7.12455
2,7,7,80.00000,1.38919,7.87846,regular,0,True,70.00000,78.25000,-1.75000,1949.00000,2,114386,3552,0.57387,2.05430,0.57387,2.05430,1,-5.60774
2,8,8,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.25000,-0.75000,2048.00000,2,120057,734,1.46244,1.41746,1.46244,1.41746,1,4.10519
2,9,9,160.00000,-7.51754,2.73616,regular,0,True,150.00000,160.50000,0.50000,2142.00000,2,125762,868,-1.83268,0.82172,-1.83268,0.82172,1,-4.15007
2,10,10,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.50000,0.50000,1972.00000,2,131800,734,1.86970,0.71900,1.86970,0.71900,1,1.03443
2,11,11,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.50000,0.50000,1756.00000,2,139773,3220,-1.31435,1.66398,-1.31435,1.66398,1,8.30462
2,12,12,40.00000,6.12836,5.14230,regular,0,True,30.00000,39.75000,-0.25000,2132.00000,2,146227,750,1.59202,1.29421,1.59202,1.29421,1,-0.89111
2,13,13,100.00000,-1.38919,7.87846,regular,0,True,90.00000,99.50000,-0.50000,1870.00000,2,158120,6171,-0.53685,2.01321,-0.53685,2.01321,1,4.93126
2,14,14,60.00000,4.00000,6.92820,regular,0,True,50.00000,57.50000,-2.50000,1991.00000,2,166460,3086,1.31435,1.82832,1.31435,1.82832,1,-5.71175
2,15,15,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.75000,-1.25000,1649.00000,2,171463,750,-1.74012,1.12986,-1.74012,1.12986,1,7.00433
2,16,16,80.00000,1.38919,7.87846,regular,0,True,70.00000,78.25000,-1.75000,1527.00000,2,182072,751,0.53685,1.95158,0.53685,1.95158,1,-5.38077
2,17,17,100.00000,-1.38919,7.87846,regular,0,True,90.00000,100.25000,0.25000,1839.00000,2,192313,4854,-0.48131,2.05430,-0.48131,2.05430,1,3.18621
2,18,18,20.00000,7.51754,2.73616,regular,0,True,10.00000,20.50000,0.50000,1496.00000,2,197500,734,1.92524,0.78063,1.92524,0.78063,1,2.07115
2,19,19,40.00000,6.12836,5.14230,regular,0,True,30.00000,37.25000,-2.75000,1424.00000,2,204672,2802,1.62905,1.39692,1.62905,1.39692,1,0.61328
2,20,20,80.00000,1.38919,7.87846,regular,0,True,70.00000,79.75000,-0.25000,1451.00000,2,209526,750,0.49982,1.99267,0.49982,1.99267,1,-4.08095
2,21,21,60.00000,4.00000,6.92820,regular,0,True,50.00000,57.75000,-2.25000,1522.00000,2,215314,750,0.92560,1.82832,0.92560,1.82832,1,3.14886
2,22,22,160.00000,-7.51754,2.73616,regular,0,True,150.00000,160.00000,0.00000,1452.00000,2,224037,3269,-1.90673,0.86280,-1.90673,0.86280,1,-4.34687
2,23,23,120.00000,-4.00000,6.92820,regular,0,True,110.00000,120.50000,0.50000,1464.00000,2,232394,2819,-1.20327,1.60235,-1.20327,1.60235,1,6.90438
2,24,24,140.00000,-6.12836,5.14230,regular,0,True,130.00000,138.75000,-1.25000,1347.00000,2,238365,750,-1.46244,1.49964,-1.46244,1.49964,1,-5.71953
3,1,25,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,274626,6171,-1.61054,1.21203,0.00000,0.00000,1,3.03630
3,2,26,20.00000,7.51754,2.73616,nocursor,0,False,,,,,2,280264,1752,1.98077,0.76009,0.00000,0.00000,1,0.99354
3,3,27,80.00000,1.38919,7.87846,nocursor,0,False,,,,,2,286619,1459,0.66643,1.93104,0.00000,0.00000,1,-9.04030
3,4,28,40.00000,6.12836,5.14230,nocursor,0,False,,,,,2,292957,1407,1.64756,1.21203,0.00000,0.00000,1,-3.65989
3,5,29,100.00000,-1.38919,7.87846,nocursor,0,False,,,,,2,298294,1560,-0.38875,1.97212,0.00000,0.00000,1,1.15134
3,6,30,120.00000,-4.00000,6.92820,nocursor,0,False,,,,,2,303899,1274,-1.44393,1.52018,0.00000,0.00000,1,13.52642
3,7,31,60.00000,4.00000,6.92820,nocursor,0,False,,,,,2,310270,1326,1.11071,1.78724,0.00000,0.00000,1,-1.85957
3,8,32,160.00000,-7.51754,2.73616,nocursor,0,False,,,,,2,315174,1144,-1.86970,0.78063,0.00000,0.00000,1,-2.66133
3,9,33,160.00000,-7.51754,2.73616,nocursor,0,False,,,,,2,321012,1210,-1.98077,0.65737,0.00000,0.00000,1,1.64023
3,10,34,40.00000,6.12836,5.14230,nocursor,0,False,,,,,2,326616,1176,1.70310,1.17095,0.00000,0.00000,1,-5.48991
3,11,35,140.00000,-6.12836,5.14230,nocursor,0,False,,,,,2,331220,1196,-1.59202,1.21203,0.00000,0.00000,1,2.71741
3,12,36,80.00000,1.38919,7.87846,nocursor,0,False,,,,,2,336691,1041,0.70345,1.91050,0.00000,0.00000,1,-10.21381
3,13,37,20.00000,7.51754,2.73616,nocursor,0,False,,,,,2,341912,1145,1.85119,0.78063,0.00000,0.00000,1,2.86471
