task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2952,False,2,52654,8606,-1.96226,0.49303,-1.96226,0.49303,1,5.89604
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,140.50000,0.50000,2958,False,2,61561,1367,-1.92524,0.96552,-1.92524,0.96552,1,13.36595
2,3,3,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2587,False,2,69067,1584,0.00000,2.19810,0.00000,2.19810,1,10.00000
2,4,4,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,2840,False,2,75539,1334,-1.48095,1.58181,-1.48095,1.58181,1,13.11387
2,5,5,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,2420,False,2,82427,1434,1.59202,1.33529,1.59202,1.33529,1,-0.01211
2,6,6,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,3065,False,2,92719,1935,0.96262,1.93104,0.96262,1.93104,1,3.50383
2,7,7,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,3384,False,2,101692,1484,1.96226,1.02715,1.96226,1.02715,1,7.62992
2,8,8,100.00000,-1.38919,7.87846,0,True,90.00000,98.75000,-1.25000,4408,False,2,109765,1401,-0.77750,1.99267,-0.77750,1.99267,1,11.31474
2,9,9,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,2324,False,2,115603,1301,2.18440,0.88335,2.18440,0.88335,1,2.01793
2,10,10,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,2024,False,2,121507,1284,1.64756,1.23258,1.64756,1.23258,1,-3.19894
2,11,11,80.00000,1.38919,7.87846,0,True,70.00000,78.25000,-1.75000,3593,False,2,128430,1251,0.20363,2.34190,0.20363,2.34190,1,5.03059
2,12,12,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2694,False,2,133884,1251,-0.90708,2.07484,-0.90708,2.07484,1,13.61402
2,13,13,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,2743,False,2,138988,817,-2.14738,0.88335,-2.14738,0.88335,1,17.63961
2,14,14,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2342,False,2,145359,1634,1.22179,1.72561,1.22179,1.72561,1,-5.29978
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,2707,False,2,151447,1534,-2.42506,0.28760,-2.42506,0.28760,1,13.23660
2,16,16,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1986,False,2,158186,1284,-1.86970,1.43801,-1.86970,1.43801,1,22.43566
2,17,17,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2073,False,2,164791,1551,1.20327,1.93104,1.20327,1.93104,1,-1.92787
2,18,18,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,2502,False,2,171646,817,-1.66607,1.37638,-1.66607,1.37638,1,20.43908
2,19,19,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,2208,False,2,177901,1451,2.07333,0.67792,2.07333,0.67792,1,-1.89373
2,20,20,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2071,False,2,184606,1584,-1.99929,0.30814,-1.99929,0.30814,1,11.23825
2,21,21,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,1972,False,2,190027,1151,-1.81417,1.02715,-1.81417,1.02715,1,50.48225
2,22,22,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,1792,False,2,194464,851,1.57351,1.54072,1.57351,1.54072,1,4.39675
2,23,23,140.00000,-6.12836,5.14230,0,True,130.00000,140.50000,0.50000,2500,False,2,202787,901,-1.99929,0.92443,-1.99929,0.92443,1,15.18516
2,24,24,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2381,False,2,212895,1652,-0.01851,2.19810,-0.01851,2.19810,1,10.48247
3,1,25,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2353,False,2,218649,884,-1.88821,1.88995,-0.38014,2.15587,1,34.97361
3,2,26,40.00000,6.12836,5.14230,0,True,30.00000,38.00000,-2.00000,2246,False,2,224987,2852,1.57351,1.74615,1.78319,1.49627,1,7.97700
3,3,27,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,2038,False,2,229824,1100,1.03667,2.05430,1.14870,1.98961,1,3.22293
3,4,28,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,1724,False,2,234995,967,0.46280,2.28027,0.40390,2.29065,1,-1.47283
3,5,29,160.00000,-7.51754,2.73616,0,True,150.00000,160.50000,0.50000,1942,False,2,239565,750,-2.16589,0.36977,-2.03137,0.73936,1,10.31163
3,6,30,140.00000,-6.12836,5.14230,0,True,130.00000,141.25000,1.25000,2762,False,2,244836,834,-2.85083,0.08217,-1.71340,1.43771,1,38.34901
3,7,31,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,2308,False,2,250274,901,-2.85083,0.67792,-1.00626,1.74289,1,46.62365
3,8,32,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,1991,False,2,256929,2569,2.09185,0.96552,2.15746,0.78525,1,4.77629
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,2020,False,2,261749,884,1.09220,2.05430,1.16259,2.01366,1,2.00197
3,10,34,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,2258,False,2,267320,867,1.46244,1.39692,1.54604,1.29729,1,3.68734
3,11,35,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2509,False,2,272958,967,0.25917,2.30081,0.40128,2.27575,1,3.57313
3,12,36,120.00000,-4.00000,6.92820,0,True,110.00000,121.00000,1.00000,2278,False,2,277595,834,-2.33250,1.00661,-1.01900,1.76496,1,36.65698
3,13,37,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,2227,False,2,284533,2852,1.86970,0.73955,1.88867,0.68742,1,1.58101
3,14,38,100.00000,-1.38919,7.87846,0,True,90.00000,101.00000,1.00000,3002,False,2,292239,2235,-1.11071,2.17755,-0.40588,2.30184,1,17.02491
3,15,39,140.00000,-6.12836,5.14230,0,True,130.00000,141.00000,1.00000,2420,False,2,297843,883,-2.46208,0.55466,-1.71793,1.44151,1,27.30429
3,16,40,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,2428,False,2,303548,1835,-2.35101,0.14380,-2.12221,0.77242,1,16.49985
4,1,41,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,2348,False,2,308985,1350,0.01851,2.13647,0.01851,2.13647,1,9.50361
4,2,42,20.00000,7.51754,2.73616,0,True,10.00000,17.50000,-2.50000,3226,False,2,314873,850,2.12887,0.92443,2.12887,0.92443,1,3.47218
4,3,43,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,3061,False,2,321945,2068,0.83304,1.99267,0.83304,1.99267,1,7.31253
4,4,44,140.00000,-6.12836,5.14230,0,True,130.00000,140.75000,0.75000,2704,False,2,327650,784,-2.01780,-0.02054,-2.01780,-0.02054,1,40.58322
