task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555305,0,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555321,16,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555338,33,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555354,49,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555371,66,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555388,83,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555405,100,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555421,116,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555438,133,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555454,149,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555471,166,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555488,183,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555505,200,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555521,216,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555538,233,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555554,249,-1.53649,-1.88995,-1.53649,-1.88995,0
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2535,False,0,555571,266,-1.53649,-1.88995,-1.53649,-1.88995,0
