task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,3403,False,2,53571,6071,1.79565,0.88335,1.79565,0.88335,1,6.19437
2,2,2,100.00000,-1.38919,7.87846,0,True,90.00000,101.00000,1.00000,2200,False,2,66932,4237,-0.24065,2.01321,-0.24065,2.01321,1,-3.18347
2,3,3,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,2050,False,2,81076,3570,-1.92524,0.67792,-1.92524,0.67792,1,0.60170
2,4,4,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2075,False,2,93535,3586,0.46280,1.95158,0.46280,1.95158,1,-3.34076
2,5,5,140.00000,-6.12836,5.14230,0,True,130.00000,140.50000,0.50000,2056,False,2,104494,2252,-1.49946,1.33529,-1.49946,1.33529,1,-1.68551
2,6,6,60.00000,4.00000,6.92820,0,True,50.00000,58.00000,-2.00000,4364,False,2,117354,2836,1.11071,1.70507,1.11071,1.70507,1,-3.08087
2,7,7,40.00000,6.12836,5.14230,0,True,30.00000,40.75000,0.75000,2128,False,2,127745,2852,1.59202,1.25312,1.59202,1.25312,1,-1.79280
2,8,8,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,1851,False,2,134016,1434,-1.01815,1.76669,-1.01815,1.76669,1,-0.04499
2,9,9,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,3335,False,2,143591,2519,1.85119,0.84226,1.85119,0.84226,1,4.46473
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,2,151930,1784,-1.03667,1.74615,-1.03667,1.74615,1,0.69714
2,11,11,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,3232,False,2,161988,1584,-0.38875,1.99267,-0.38875,1.99267,1,1.03918
2,12,12,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,1900,False,2,168910,800,1.59202,1.25312,1.59202,1.25312,1,-1.79280
2,13,13,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,2138,False,2,177116,3052,-2.11036,1.86941,-2.11036,1.86941,1,-1.53533
