task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,0,150146,0,0.11107,-0.16434,0.11107,-0.16434,0
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,1,150162,16,0.11107,-0.16434,0.11107,-0.16434,0
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,1,150179,33,0.11107,-0.16434,0.11107,-0.16434,0
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,1,150195,49,0.11107,-0.14380,0.11107,-0.14380,0
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,1,150212,66,0.11107,-0.16434,0.11107,-0.16434,0
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,1,150229,83,0.11107,-0.16434,0.11107,-0.16434,0
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,1,150246,100,0.11107,-0.16434,0.11107,-0.16434,0
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,1,150262,116,0.11107,-0.16434,0.11107,-0.16434,0
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,1,150279,133,0.11107,-0.16434,0.11107,-0.16434,0
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,1,150296,150,0.11107,-0.16434,0.11107,-0.16434,0
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,1,150312,166,0.11107,-0.16434,0.11107,-0.16434,0
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,1,150329,183,0.09256,-0.16434,0.09256,-0.16434,0
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,1,150345,199,0.09256,-0.14380,0.09256,-0.14380,0
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,1,150362,216,0.09256,-0.14380,0.09256,-0.14380,0
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1932,False,1,150379,233,0.09256,-0.14380,0.09256,-0.14380,0
