task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,2719,False,2,50681,7639,1.66607,1.12986,1.66607,1.12986,1,-5.85650
2,2,2,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,2188,False,2,55935,867,1.74012,1.02715,1.74012,1.02715,1,10.55231
2,3,3,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,2176,False,2,61039,850,1.64756,1.49964,1.64756,1.49964,1,-17.69095
2,4,4,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,2222,False,2,67261,834,-1.94375,0.59575,-1.94375,0.59575,1,2.95995
2,5,5,140.00000,-6.12836,5.14230,0,True,130.00000,140.25000,0.25000,2303,False,2,74750,1518,-1.72161,1.27366,-1.72161,1.27366,1,3.50569
2,6,6,120.00000,-4.00000,6.92820,0,True,110.00000,121.50000,1.50000,2406,False,2,81588,2184,-1.25881,1.62289,-1.25881,1.62289,1,7.79928
2,7,7,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,3789,False,2,88944,1718,-0.42577,2.11593,-0.42577,2.11593,1,1.37720
2,8,8,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2374,False,2,95049,1851,0.59238,1.91050,0.59238,1.91050,1,-7.22686
2,9,9,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,2406,False,2,101571,1651,-0.44429,2.17755,-0.44429,2.17755,1,1.53189
2,10,10,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,2340,False,2,107292,1401,1.81417,0.86280,1.81417,0.86280,1,5.43526
2,11,11,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,3107,False,2,114965,2135,-1.49946,1.58181,-1.49946,1.58181,1,-6.53092
2,12,12,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,1820,False,2,121436,2135,0.88857,1.80778,0.88857,1.80778,1,3.82471
2,13,13,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,1903,False,2,126590,784,1.59202,1.52018,1.59202,1.52018,1,3.67766
2,14,14,120.00000,-4.00000,6.92820,0,True,110.00000,121.75000,1.75000,1960,False,2,132428,1935,-0.87006,1.82832,-0.87006,1.82832,1,-4.55118
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,2289,False,2,138049,1251,-1.86970,0.84226,-1.86970,0.84226,1,-4.25055
2,16,16,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,1640,False,2,144054,1985,0.77750,1.91050,0.77750,1.91050,1,-12.14443
2,17,17,60.00000,4.00000,6.92820,0,True,50.00000,57.75000,-2.25000,3190,False,2,151026,1818,1.18476,1.88995,1.18476,1.88995,1,-2.08252
2,18,18,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,1892,False,2,155963,1534,0.51833,2.15701,0.51833,2.15701,1,-3.51200
2,19,19,160.00000,-7.51754,2.73616,0,True,150.00000,158.25000,-1.75000,1608,False,2,161500,2268,-1.90673,0.67792,-1.90673,0.67792,1,0.42763
2,20,20,20.00000,7.51754,2.73616,0,True,10.00000,18.50000,-1.50000,1952,False,2,167221,867,2.03631,0.69846,2.03631,0.69846,1,-1.06789
2,21,21,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2709,False,2,173410,1451,-0.94411,1.91050,-0.94411,1.91050,1,-3.70284
2,22,22,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,1857,False,2,179231,1885,-1.68458,1.19149,-1.68458,1.19149,1,4.72854
2,23,23,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,1703,False,2,185285,1918,1.72161,1.19149,1.72161,1.19149,1,-5.31371
2,24,24,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1872,False,2,190589,1167,-0.33321,2.13647,-0.33321,2.13647,1,-1.13540
3,1,25,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1743,False,2,195610,1517,-0.59238,2.23918,-0.40079,2.27297,1,4.81825
3,2,26,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2208,False,2,200764,1401,0.42577,2.25973,0.39927,2.26440,1,-0.67036
3,3,27,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,1661,False,2,205985,2218,1.62905,1.41746,1.65393,1.38781,1,1.02700
3,4,28,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,3439,False,2,213374,1885,-1.64756,1.31475,-1.61422,1.35449,1,1.41019
3,5,29,120.00000,-4.00000,6.92820,0,True,110.00000,122.00000,2.00000,2338,False,2,218895,1068,-1.20327,1.62289,-1.00355,1.73820,1,6.55459
3,6,30,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,1695,False,2,222748,867,-1.96226,0.63683,-1.93739,0.70515,1,2.01973
3,7,31,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,2027,False,2,228269,1651,1.86970,0.80118,1.90848,0.69463,1,3.19548
