task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,0,1316309,0,0.00000,0.12326,0.07923,0.09442,0
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,1,1316325,16,0.00000,0.12326,0.07923,0.09442,0
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,1,1316342,33,-0.01851,0.12326,0.06505,0.10632,0
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,1,1316359,50,-0.03702,0.12326,0.05087,0.11822,0
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,1,1316375,66,-0.03702,0.14380,0.06407,0.13396,0
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,1,1316392,83,-0.05554,0.14380,0.04989,0.14586,0
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,1,1316409,100,-0.05554,0.14380,0.04989,0.14586,0
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,1,1316425,116,-0.05554,0.14380,0.04989,0.14586,0
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,1,1316442,133,-0.05554,0.14380,0.04989,0.14586,0
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,1,1316459,150,-0.05554,0.14380,0.04989,0.14586,0
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,1,1316475,166,-0.05554,0.14380,0.04989,0.14586,0
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,1,1316492,183,-0.05554,0.14380,0.04989,0.14586,0
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,1,1316509,200,-0.05554,0.14380,0.04989,0.14586,0
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,1,1316525,216,-0.05554,0.14380,0.04989,0.14586,0
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,1,1316542,233,-0.05554,0.14380,0.04989,0.14586,0
8,110,198,140.00000,-6.12836,5.14230,-40,True,130.00000,140.00000,0.00000,1176,False,1,1316559,250,-0.07405,0.14380,0.03571,0.15775,0
