task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,0,1552587,0,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552603,16,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552620,33,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552637,50,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552653,66,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552670,83,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552687,100,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552704,117,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552720,133,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552737,150,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552753,166,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552770,183,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552787,200,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552804,217,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552820,233,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552837,250,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552854,267,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552870,283,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552887,300,0.03702,-0.14380,-0.06407,-0.13396,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552904,317,0.03702,-0.16434,-0.07728,-0.14969,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552920,333,0.03702,-0.16434,-0.07728,-0.14969,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,1,1552937,350,0.03702,-0.16434,-0.07728,-0.14969,0
8,65,153,100.00000,-1.38919,7.87846,-40,True,90.00000,99.25000,-0.75000,2199,False,2,1552954,367,0.03702,-0.16434,-0.07728,-0.14969,0
