task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208630,0,-0.40726,0.06163,-0.27237,0.30899,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208646,16,-0.40726,0.06163,-0.27237,0.30899,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208663,33,-0.40726,0.06163,-0.27237,0.30899,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208680,50,-0.40726,0.06163,-0.27237,0.30899,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208696,66,-0.40726,0.06163,-0.27237,0.30899,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208713,83,-0.40726,0.06163,-0.27237,0.30899,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208730,100,-0.40726,0.06163,-0.27237,0.30899,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208746,116,-0.40726,0.06163,-0.27237,0.30899,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208763,133,-0.40726,0.06163,-0.27237,0.30899,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208780,150,-0.40726,0.06163,-0.27237,0.30899,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208797,167,-0.40726,0.06163,-0.27237,0.30899,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208813,183,-0.40726,0.06163,-0.27237,0.30899,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208830,200,-0.40726,0.06163,-0.27237,0.30899,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208846,216,-0.40726,0.06163,-0.27237,0.30899,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208863,233,-0.40726,0.06163,-0.27237,0.30899,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208880,250,-0.40726,0.04109,-0.28557,0.29326,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208897,267,-0.40726,0.04109,-0.28557,0.29326,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208913,283,-0.38875,0.04109,-0.27139,0.28136,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208930,300,-0.38875,0.02054,-0.28460,0.26562,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208947,317,-0.38875,0.02054,-0.28460,0.26562,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208963,333,-0.37024,0.00000,-0.28362,0.23798,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208980,350,-0.37024,0.00000,-0.28362,0.23798,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1208997,367,-0.37024,-0.02054,-0.29682,0.22225,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209013,383,-0.35173,-0.02054,-0.28264,0.21035,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209030,400,-0.35173,-0.04109,-0.29585,0.19461,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209047,417,-0.35173,-0.04109,-0.29585,0.19461,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209063,433,-0.35173,-0.04109,-0.29585,0.19461,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209080,450,-0.35173,-0.04109,-0.29585,0.19461,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209096,466,-0.37024,-0.06163,-0.32323,0.19077,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209113,483,-0.38875,-0.06163,-0.33741,0.20267,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209130,500,-0.42577,-0.06163,-0.36578,0.22647,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209147,517,-0.44429,-0.08217,-0.39316,0.22263,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209163,533,-0.46280,-0.08217,-0.40734,0.23453,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209180,550,-0.48131,-0.08217,-0.42152,0.24643,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209197,567,-0.48131,-0.08217,-0.42152,0.24643,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209213,583,-0.48131,-0.08217,-0.42152,0.24643,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209230,600,-0.46280,-0.08217,-0.40734,0.23453,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209247,617,-0.46280,-0.08217,-0.40734,0.23453,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209264,634,-0.44429,-0.06163,-0.37996,0.23837,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209280,650,-0.42577,-0.06163,-0.36578,0.22647,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209297,667,-0.38875,-0.04109,-0.32421,0.21841,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209313,683,-0.37024,-0.04109,-0.31003,0.20651,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209330,700,-0.35173,-0.04109,-0.29585,0.19461,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209347,717,-0.33321,-0.02054,-0.26846,0.19845,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209364,734,-0.29619,0.00000,-0.22690,0.19039,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,0,1209380,750,-0.24065,0.02054,-0.17115,0.17043,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,1,1209397,767,-0.20363,0.06163,-0.11638,0.17810,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,1,1209413,783,-0.18512,0.08217,-0.08899,0.18194,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,1,1209430,800,-0.14810,0.10271,-0.04742,0.17388,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,1,1209447,817,-0.11107,0.12326,-0.00586,0.16582,0
8,28,116,20.00000,7.51754,2.73616,-40,True,10.00000,20.25000,0.25000,4887,False,1,1209464,834,-0.09256,0.14380,0.02153,0.16965,0
