task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,120.00000,-4.00000,6.92820,0,True,110.00000,116.75000,-3.25000,1601,False,2,8026,2603,-1.24030,1.64344,-1.24030,1.64344,1,7.04176
2,2,2,20.00000,7.51754,2.73616,0,True,10.00000,18.75000,-1.25000,1493,False,2,11461,583,2.25845,0.92443,2.25845,0.92443,1,2.26029
2,3,3,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,1397,False,2,16048,1734,-1.94375,0.47249,-1.94375,0.47249,1,6.33743
2,4,4,140.00000,-6.12836,5.14230,0,True,130.00000,137.50000,-2.50000,1343,False,2,20301,1718,-1.85119,1.23258,-1.85119,1.23258,1,6.34309
2,5,5,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,1424,False,2,24071,801,1.51798,1.64344,1.51798,1.64344,1,7.27257
2,6,6,80.00000,1.38919,7.87846,0,True,70.00000,77.50000,-2.50000,1327,False,2,27923,766,0.31470,2.01321,0.31470,2.01321,1,1.11556
2,7,7,100.00000,-1.38919,7.87846,0,True,90.00000,98.75000,-1.25000,1212,False,2,31126,584,-0.74048,2.17755,-0.74048,2.17755,1,8.78070
2,8,8,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,1282,False,2,34262,717,0.83304,2.01321,0.83304,2.01321,1,7.52087
2,9,9,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,1363,False,2,37731,700,-0.74048,2.01321,-0.74048,2.01321,1,10.19406
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,1310,False,2,42601,1801,-1.48095,1.47909,-1.48095,1.47909,1,15.03600
2,11,11,140.00000,-6.12836,5.14230,0,True,130.00000,137.25000,-2.75000,1143,False,2,46137,1250,-2.14738,1.39692,-2.14738,1.39692,1,6.95507
2,12,12,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,1377,False,2,49957,1151,0.09256,2.07484,0.09256,2.07484,1,7.44569
2,13,13,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,1445,False,2,53226,717,1.38839,2.03375,1.38839,2.03375,1,15.67963
2,14,14,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,1881,False,2,56795,617,1.79565,1.25312,1.79565,1.25312,1,14.90981
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,1463,False,2,60064,466,-2.01780,0.32869,-2.01780,0.32869,1,10.74805
2,16,16,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,1031,False,2,64301,2085,0.85155,2.13647,0.85155,2.13647,1,8.26886
2,17,17,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,1272,False,2,69588,2635,-1.51798,1.31475,-1.51798,1.31475,1,-0.89643
2,18,18,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1605,False,2,73675,1218,-2.20292,0.76009,-2.20292,0.76009,1,0.96365
