task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,2902,False,2,55264,1685,-0.66643,2.38298,-0.66643,2.38298,1,5.62431
2,2,2,20.00000,7.51754,2.73616,0,True,10.00000,21.00000,1.00000,3299,False,2,63520,1868,2.01780,0.69846,2.01780,0.69846,1,-0.90674
2,3,3,140.00000,-6.12836,5.14230,0,True,130.00000,140.50000,0.50000,2288,False,2,69324,717,-1.68458,1.37638,-1.68458,1.37638,1,0.74958
2,4,4,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,1459,False,2,75613,2619,-2.01780,0.76009,-2.01780,0.76009,1,-0.64101
2,5,5,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,2489,False,2,80616,850,-0.92560,2.05430,-0.92560,2.05430,1,-5.74524
2,6,6,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,2305,False,2,87221,833,1.36988,1.70507,1.36988,1.70507,1,-8.77894
2,7,7,40.00000,6.12836,5.14230,0,True,30.00000,41.50000,1.50000,2805,False,2,96095,2869,1.59202,1.31475,1.59202,1.31475,1,-0.44882
2,8,8,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,4368,False,2,104968,1751,0.74048,1.88995,0.74048,1.88995,1,-11.39518
2,9,9,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,1768,False,2,112841,2085,1.70310,1.37638,1.70310,1.37638,1,-1.05619
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2187,False,2,119763,2068,-1.12923,1.78724,-1.12923,1.78724,1,2.28588
2,11,11,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,1901,False,2,125601,850,-1.83268,0.96552,-1.83268,0.96552,1,-7.78183
2,12,12,140.00000,-6.12836,5.14230,0,True,130.00000,140.25000,0.25000,2177,False,2,130622,768,-1.48095,1.45855,-1.48095,1.45855,1,-4.56339
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,1675,False,2,135041,833,-0.35173,2.13647,-0.35173,2.13647,1,-0.65118
2,14,14,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,4176,False,2,142981,1051,1.11071,1.72561,1.11071,1.72561,1,-2.76785
2,15,15,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2275,False,2,150670,3052,0.57387,2.05430,0.57387,2.05430,1,-5.60774
2,16,16,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,2401,False,2,157776,1918,1.96226,0.69846,1.96226,0.69846,1,-0.40698
2,17,17,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,1836,False,2,165031,2485,-1.33286,1.66398,-1.33286,1.66398,1,-11.30502
2,18,18,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1632,False,2,170719,884,-0.75899,1.97212,-0.75899,1.97212,1,-8.95028
2,19,19,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,1875,False,2,175656,750,1.86970,0.76009,1.86970,0.76009,1,2.12324
2,20,20,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,3527,False,2,183145,1617,1.05518,1.80778,1.05518,1.80778,1,-0.27161
2,21,21,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,1485,False,2,188433,684,-1.75863,1.04769,-1.75863,1.04769,1,-10.78404
2,22,22,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1775,False,2,193153,734,-0.42577,1.97212,-0.42577,1.97212,1,2.18286
2,23,23,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,1692,False,2,197757,584,0.37024,2.15701,0.37024,2.15701,1,0.26037
2,24,24,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,2386,False,2,202961,634,1.55500,1.39692,1.55500,1.39692,1,1.93465
3,1,25,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,1676,False,2,207514,700,1.49946,1.33529,1.53743,1.29005,1,1.68551
3,2,26,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2377,False,2,214419,2485,-2.09185,0.86280,-2.12445,0.77324,1,-2.41408
3,3,27,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,1853,False,2,219757,1401,0.35173,2.03375,0.35840,2.03258,1,0.18795
3,4,28,140.00000,-6.12836,5.14230,0,True,130.00000,140.50000,0.50000,2090,False,2,224911,767,-1.70310,1.29421,-1.63669,1.37335,1,2.76828
3,5,29,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,1792,False,2,231233,2402,2.03631,0.63683,2.00278,0.72895,1,-2.63359
3,6,30,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1972,False,2,236036,734,-0.11107,2.07484,-0.35817,2.03127,1,-6.93578
3,7,31,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,1691,False,2,241407,784,-0.83304,1.93104,-1.04442,1.80899,1,-6.66490
3,8,32,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,1658,False,2,247812,2352,1.24030,1.76669,1.07508,1.86209,1,-5.07067
3,9,33,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2003,False,2,252682,633,1.64756,1.19149,1.55352,1.30356,1,-4.12613
3,10,34,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,1925,False,2,259538,2119,1.31435,1.72561,1.07580,1.86333,1,-7.29553
3,11,35,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,1536,False,2,264275,801,-1.98077,0.80118,-2.00656,0.73033,1,-2.02230
3,12,36,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1876,False,2,270696,2435,0.81452,2.09538,0.38289,2.17149,1,-11.24219
3,13,37,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,1770,False,2,277718,2301,-1.51798,1.31475,-1.53817,1.29068,1,-0.89643
3,14,38,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,1820,False,2,282672,767,-0.27768,2.03375,-0.35617,2.01991,1,-2.22514
3,15,39,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,1578,False,2,288327,2051,-0.99964,1.84887,-1.05049,1.81951,1,-1.60097
3,16,40,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,2106,False,2,293080,634,2.09185,0.59575,2.03861,0.74200,1,-4.10327
4,1,41,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,1678,False,2,297367,584,-1.59202,1.52018,-1.59202,1.52018,1,-3.67766
4,2,42,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,1706,False,2,302888,801,-2.03631,0.55466,-2.03631,0.55466,1,4.76314
4,3,43,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,2225,False,2,308542,917,-1.12923,1.95158,-1.12923,1.95158,1,0.05468
4,4,44,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,1624,False,2,315748,3019,-0.29619,1.99267,-0.29619,1.99267,1,-1.54547
4,5,45,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1767,False,2,322686,1684,1.72161,1.25312,1.72161,1.25312,1,-3.95000
4,6,46,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,1607,False,2,327407,851,0.44429,2.17755,0.44429,2.17755,1,-1.53189
4,7,47,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,1592,False,2,331860,684,1.96226,0.88335,1.96226,0.88335,1,4.23583
4,8,48,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,1578,False,2,336130,750,1.29583,1.88995,1.29583,1.88995,1,-4.43619
5,1,49,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,7072,False,2,375594,1585,-0.98113,1.84887,-0.98113,1.84887,1,-2.04669
5,2,50,60.00000,4.00000,6.92820,0,True,50.00000,58.50000,-1.50000,1385,False,2,382416,2018,1.42542,1.43801,1.42542,1.43801,1,-14.74808
5,3,51,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,4472,False,2,391373,1585,1.12923,1.70507,1.12923,1.70507,1,-23.51562
5,4,52,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1870,False,2,397794,1434,-0.16661,2.01321,-0.16661,2.01321,1,-5.26908
5,5,53,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,3989,False,2,405800,1367,-1.44393,1.41746,-1.44393,1.41746,1,-4.46999
5,6,54,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,1937,False,2,411555,901,1.48095,1.54072,1.48095,1.54072,1,6.13319
5,7,55,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,1737,False,2,418861,1668,-1.94375,0.55466,-1.94375,0.55466,1,4.07360
5,8,56,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,2177,False,2,429652,1584,1.98077,0.57520,1.98077,0.57520,1,-3.80712
5,9,57,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,1951,False,2,437141,1417,1.94375,0.71900,1.94375,0.71900,1,0.29961
5,10,58,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2052,False,2,444680,2184,1.68458,1.10932,1.68458,1.10932,1,-6.63453
5,11,59,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1417,False,2,451419,2285,-0.40726,2.21864,-0.40726,2.21864,1,0.40158
5,12,60,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,1453,False,2,456473,1001,-1.03667,1.76669,-1.03667,1.76669,1,0.40384
5,13,61,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,1238,False,2,462077,1034,-1.51798,1.45855,-1.51798,1.45855,1,-3.85617
5,14,62,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,1172,False,2,466797,817,-1.88821,0.80118,-1.88821,0.80118,1,-2.99183
5,15,63,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,1608,False,2,472452,1618,0.22214,2.05430,0.22214,2.05430,1,3.82835
5,16,64,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,4174,False,2,480558,1317,1.03667,1.84887,1.03667,1.84887,1,0.72045
6,1,65,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2118,False,2,504843,3602,1.64756,1.41746,1.64756,1.41746,1,0.70669
6,2,66,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1883,False,2,510181,767,-0.18512,2.05430,-0.18512,2.05430,1,-4.85079
6,3,67,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,1708,False,2,515168,834,-0.75899,1.88995,-0.75899,1.88995,1,-8.11997
6,4,68,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2424,False,2,521323,751,0.55536,1.95158,0.55536,1.95158,1,-5.88473
6,5,69,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,3226,False,2,527945,918,1.90673,0.65737,1.90673,0.65737,1,-0.97770
6,6,70,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,1855,False,2,534466,1868,1.31435,1.64344,1.31435,1.64344,1,-8.65126
6,7,71,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,1555,False,2,539503,983,-1.81417,0.84226,-1.81417,0.84226,1,-4.90391
6,8,72,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,1674,False,2,544341,717,-1.64756,1.33529,-1.64756,1.33529,1,0.97644
6,9,73,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2875,False,2,551012,867,-0.33321,2.13647,-0.33321,2.13647,1,-1.13540
