task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,5654,False,2,56599,3737,1.27732,1.62289,1.27732,1.62289,1,11.79495
2,2,2,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,2599,False,2,63670,2118,0.77750,1.86941,0.77750,1.86941,1,47.41725
2,3,3,160.00000,-7.51754,2.73616,0,True,150.00000,161.25000,1.25000,5924,False,2,73662,1685,-1.35137,1.72561,-1.35137,1.72561,1,-31.93458
2,4,4,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,3756,False,2,81968,1935,-0.44429,2.05430,-0.44429,2.05430,1,2.20359
2,5,5,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,4473,False,2,90441,1734,-1.07369,2.38298,-1.07369,2.38298,1,-5.74529
2,6,6,80.00000,1.38919,7.87846,0,True,70.00000,81.00000,1.00000,3237,False,2,98297,1918,0.57387,1.97212,0.57387,1.97212,1,-6.22454
2,7,7,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,2721,False,2,105503,2018,-1.86970,1.37638,-1.86970,1.37638,1,3.64135
2,8,8,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,2692,False,2,114827,1901,1.05518,2.13647,1.05518,2.13647,1,3.71572
2,9,9,140.00000,-6.12836,5.14230,0,True,130.00000,137.00000,-3.00000,4426,False,2,122816,1618,-2.01780,-0.34923,-2.01780,-0.34923,1,49.81917
2,10,10,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,3006,False,2,129922,2052,-1.14774,2.15701,-1.14774,2.15701,1,18.01734
2,11,11,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,3806,False,2,137961,2001,-0.94411,2.15701,-0.94411,2.15701,1,-6.36130
2,12,12,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2395,False,2,145067,2302,0.64792,1.95158,0.64792,1.95158,1,-8.36605
2,13,13,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,2202,False,2,151889,1418,0.77750,2.44461,0.77750,2.44461,1,12.35691
2,14,14,40.00000,6.12836,5.14230,0,True,30.00000,38.00000,-2.00000,1840,False,2,157910,1918,1.40690,1.88995,1.40690,1.88995,1,13.33559
2,15,15,20.00000,7.51754,2.73616,0,True,10.00000,18.75000,-1.25000,1839,False,2,163531,1935,1.99929,1.12986,1.99929,1.12986,1,9.47212
2,16,16,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,1974,False,2,168618,1467,1.92524,1.12986,1.92524,1.12986,1,-129.59273
2,17,17,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,3289,False,2,176825,2002,1.12923,2.23918,1.12923,2.23918,1,3.23796
2,18,18,160.00000,-7.51754,2.73616,0,True,150.00000,161.25000,1.25000,1875,False,2,182029,1868,-1.94375,1.00661,-1.94375,1.00661,1,-7.37829
2,19,19,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,1956,False,2,187850,1851,0.46280,2.11593,0.46280,2.11593,1,-2.33754
2,20,20,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,1804,False,2,193704,1784,1.83268,1.35584,1.83268,1.35584,1,-3.50549
2,21,21,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,2055,False,2,199309,1501,1.96226,0.98606,1.96226,0.98606,1,6.68010
2,22,22,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,1872,False,2,204179,867,-1.03667,1.93104,-1.03667,1.93104,1,-1.77108
