task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,0,1633419,0,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633435,16,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633452,33,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633469,50,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633486,67,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633502,83,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633519,100,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633536,117,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633552,133,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633569,150,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633586,167,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633602,183,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633619,200,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633636,217,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633653,234,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633669,250,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633686,267,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633703,284,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633719,300,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633736,317,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633752,333,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,1,1633769,350,-0.07405,-0.16434,-0.01257,0.00457,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1633786,367,-0.05554,-0.16434,0.00378,-0.00138,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1633803,384,-0.03702,-0.20543,0.03333,-0.01213,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1633819,400,0.01851,-0.24652,0.09557,-0.03479,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1633836,417,0.05554,-0.30814,0.14807,-0.05389,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1633852,433,0.12958,-0.34923,0.22667,-0.08250,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1633869,450,0.20363,-0.39032,0.30526,-0.11110,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1633886,467,0.29619,-0.45195,0.40680,-0.14806,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1633902,483,0.37024,-0.47249,0.47878,-0.17426,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1633919,500,0.42577,-0.49303,0.53442,-0.19451,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1633936,517,0.48131,-0.47249,0.57686,-0.20996,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1633953,534,0.51833,-0.45195,0.60295,-0.21946,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1633969,550,0.57387,-0.39032,0.63218,-0.23010,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1633986,567,0.61089,-0.30814,0.63847,-0.23238,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634002,583,0.64792,-0.20543,0.63815,-0.23227,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634019,600,0.68494,-0.10271,0.63783,-0.23215,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634036,617,0.74048,0.04109,0.64065,-0.23318,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634053,634,0.75899,0.20543,0.60418,-0.21990,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634069,650,0.77750,0.41086,0.55450,-0.20182,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634086,667,0.77750,0.69846,0.46207,-0.16818,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634103,684,0.72196,0.94498,0.33380,-0.12149,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634119,700,0.61089,1.31475,0.11688,-0.04254,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634136,717,0.46280,1.56127,-0.09312,0.03389,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634153,734,0.22214,1.78724,-0.37825,0.13767,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634169,750,-0.01851,1.91050,-0.63037,0.22944,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634186,767,-0.27768,1.95158,-0.87242,0.31754,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634203,784,-0.68494,1.93104,-1.22544,0.44602,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634219,800,-0.99964,1.88995,-1.49013,0.54236,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634236,817,-1.46244,1.68452,-1.83276,0.66707,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634253,834,-1.79565,1.43801,-2.04777,0.74533,1
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634269,850,-2.12887,1.12986,-2.24297,0.81637,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634286,867,-2.48060,0.80118,-2.44791,0.89097,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634303,884,-3.07298,0.39032,-2.83895,1.03329,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634319,900,-3.51726,0.12326,-3.14543,1.14484,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634336,917,-3.99857,-0.10271,-3.49782,1.27310,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634353,934,-4.57244,-0.24652,-3.95834,1.44072,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634370,951,-4.97970,-0.32869,-4.29155,1.56200,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634386,967,-5.42399,-0.39032,-4.66406,1.69758,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634403,984,-5.66464,-0.41086,-4.86996,1.77252,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634419,1000,-5.86827,-0.43140,-5.04317,1.83556,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634436,1017,-5.97934,-0.47249,-5.12804,1.86645,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634453,1034,-6.09042,-0.47249,-5.22612,1.90215,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634469,1050,-6.14595,-0.45195,-5.28176,1.92240,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634486,1067,-6.18298,-0.43140,-5.32106,1.93671,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634503,1084,-6.22000,-0.36977,-5.37356,1.95581,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634520,1101,-6.23851,-0.30814,-5.40971,1.96897,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634536,1117,-6.31256,-0.22597,-5.50150,2.00238,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634553,1134,-6.36810,-0.18489,-5.56375,2.02504,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634570,1151,-6.44214,-0.16434,-5.63574,2.05124,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634586,1167,-6.49768,-0.16434,-5.68478,2.06909,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634603,1184,-6.55321,-0.16434,-5.73382,2.08694,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634620,1201,-6.62726,-0.20543,-5.78600,2.10593,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634637,1218,-6.66429,-0.22597,-5.81209,2.11543,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634653,1234,-6.70131,-0.26706,-5.83157,2.12252,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634670,1251,-6.73833,-0.30814,-5.85106,2.12961,0
9,2,210,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1250,False,2,1634687,1268,-6.75685,-0.36977,-5.84760,2.12835,0
