task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,2335,False,2,151110,2735,-0.98113,1.80778,-0.98113,1.80778,1,-1.51015
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,138.25000,-1.75000,1695,False,2,160050,3286,-1.68458,1.15041,-1.68458,1.15041,1,5.67059
2,3,3,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2096,False,2,168540,2468,1.03667,1.78724,1.03667,1.78724,1,-0.11543
2,4,4,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,2251,False,2,175779,1901,1.35137,1.47909,1.35137,1.47909,1,7.58363
2,5,5,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2055,False,2,183168,2485,-0.33321,2.03375,-0.33321,2.03375,1,-0.69532
2,6,6,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1515,False,2,191207,2468,-1.79565,0.90389,-1.79565,0.90389,1,-6.71966
2,7,7,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1750,False,2,199030,2135,0.24065,1.99267,0.24065,1.99267,1,3.11387
2,8,8,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,1617,False,2,205785,1451,1.88821,0.88335,1.88821,0.88335,1,5.07132
2,9,9,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,1870,False,2,212591,1535,1.94375,0.78063,1.94375,0.78063,1,1.88090
2,10,10,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2204,False,2,219463,1568,1.12923,1.70507,1.12923,1.70507,1,-3.51562
2,11,11,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,2687,False,2,226602,1485,-1.09220,1.72561,-1.09220,1.72561,1,-17.66882
2,12,12,160.00000,-7.51754,2.73616,0,True,150.00000,157.75000,-2.25000,1302,False,2,232740,1501,-1.83268,0.82172,-1.83268,0.82172,1,-4.15007
2,13,13,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,3871,False,2,240929,1334,-1.09220,1.72561,-1.09220,1.72561,1,2.33118
2,14,14,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,1769,False,2,247451,1317,1.36988,1.56127,1.36988,1.56127,1,8.73584
2,15,15,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1455,False,2,252888,1450,-0.40726,1.99267,-0.40726,1.99267,1,1.55098
2,16,16,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,2117,False,2,260561,1418,0.18512,1.99267,0.18512,1.99267,1,4.69243
2,17,17,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,3452,False,2,271336,3419,0.51833,2.03375,0.51833,2.03375,1,-4.29824
2,18,18,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,1763,False,2,278141,1301,1.86970,0.84226,1.86970,0.84226,1,4.25055
2,19,19,160.00000,-7.51754,2.73616,0,True,150.00000,157.25000,-2.75000,1789,False,2,286281,3503,-1.99929,0.98606,-1.99929,0.98606,1,-6.25275
2,20,20,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2133,False,2,292686,1518,-0.64792,1.95158,-0.64792,1.95158,1,8.36605
2,21,21,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,1951,False,2,300075,867,1.42542,1.54072,1.42542,1.54072,1,7.22608
2,22,22,140.00000,-6.12836,5.14230,0,True,130.00000,137.50000,-2.50000,1572,False,2,306930,2118,-1.35137,1.52018,-1.35137,1.52018,1,-8.36438
2,23,23,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,1568,False,2,313152,1718,-1.09220,1.78724,-1.09220,1.78724,1,1.42951
2,24,24,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,3405,False,2,321291,1351,0.90708,1.80778,0.90708,1.80778,1,3.35412
3,1,25,140.00000,-6.12836,5.14230,0,True,130.00000,138.25000,-1.75000,2240,False,2,327330,1002,-1.79565,1.15041,-1.62020,1.35951,1,7.35374
3,2,26,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2556,False,2,334235,1268,0.14810,2.07484,0.35928,2.03760,1,5.91721
3,3,27,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,1721,False,2,340807,1952,1.99929,0.53412,1.93708,0.70504,1,-5.04247
3,4,28,60.00000,4.00000,6.92820,0,True,50.00000,61.25000,1.25000,1835,False,2,346811,1151,0.77750,1.93104,1.03054,1.78495,1,8.06867
3,5,29,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1674,False,2,351915,967,-1.99929,0.67792,-1.98329,0.72186,1,1.26921
3,6,30,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,1457,False,2,356719,767,-1.24030,1.66398,-1.03060,1.78505,1,6.70017
3,7,31,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2773,False,2,363407,1000,-0.92560,1.91050,-0.35462,2.01117,1,15.84928
3,8,32,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,1843,False,2,368344,800,1.59202,1.39692,1.62209,1.36109,1,1.26537
3,9,33,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2309,False,2,373732,734,-0.14810,2.17755,-0.37685,2.13722,1,-6.10918
3,10,34,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1393,False,2,378619,734,-0.81452,1.88995,-1.02200,1.77016,1,-6.68520
3,11,35,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,2908,False,2,386258,2185,1.33286,1.60235,1.57116,1.31836,1,10.24578
3,12,36,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,2287,False,2,391762,833,1.92524,1.00661,2.02354,0.73651,1,7.60278
3,13,37,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,2025,False,2,396850,617,-0.01851,2.15701,0.36831,2.08880,1,10.49166
