task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765456,0,-0.40726,-0.10271,-0.34047,0.24596,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765473,17,-0.40726,-0.10271,-0.34047,0.24596,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765489,33,-0.40726,-0.10271,-0.34047,0.24596,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765506,50,-0.40726,-0.10271,-0.34047,0.24596,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765523,67,-0.40726,-0.10271,-0.34047,0.24596,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765539,83,-0.40726,-0.10271,-0.34047,0.24596,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765556,100,-0.40726,-0.10271,-0.34047,0.24596,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765573,117,-0.40726,-0.10271,-0.34047,0.24596,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765589,133,-0.40726,-0.10271,-0.34047,0.24596,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765606,150,-0.40726,-0.10271,-0.34047,0.24596,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765623,167,-0.40726,-0.10271,-0.34047,0.24596,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765640,184,-0.42577,-0.10271,-0.35237,0.26014,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765656,200,-0.42577,-0.10271,-0.35237,0.26014,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765673,217,-0.42577,-0.10271,-0.35237,0.26014,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765689,233,-0.42577,-0.10271,-0.35237,0.26014,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765706,250,-0.42577,-0.08217,-0.33663,0.27334,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765723,267,-0.42577,-0.08217,-0.33663,0.27334,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765740,284,-0.42577,-0.06163,-0.32089,0.28655,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765756,300,-0.42577,-0.06163,-0.32089,0.28655,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765773,317,-0.40726,-0.02054,-0.27752,0.29878,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765790,334,-0.38875,0.00000,-0.24988,0.29780,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765806,350,-0.38875,0.02054,-0.23415,0.31100,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765823,367,-0.37024,0.02054,-0.22225,0.29682,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765839,383,-0.37024,0.04109,-0.20651,0.31003,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765856,400,-0.35173,0.04109,-0.19461,0.29585,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765873,417,-0.31470,0.06163,-0.15508,0.28069,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765890,434,-0.27768,0.08217,-0.11554,0.26553,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765906,450,-0.24065,0.08217,-0.09174,0.23717,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,0,1765923,467,-0.20363,0.08217,-0.06794,0.20881,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1765940,484,-0.16661,0.10271,-0.02841,0.19365,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1765956,500,-0.14810,0.10271,-0.01651,0.17947,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1765973,517,-0.11107,0.12326,0.02303,0.16431,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1765990,534,-0.11107,0.12326,0.02303,0.16431,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766006,550,-0.09256,0.12326,0.03492,0.15013,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766023,567,-0.09256,0.12326,0.03492,0.15013,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766040,584,-0.07405,0.12326,0.04682,0.13595,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766056,600,-0.07405,0.12326,0.04682,0.13595,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766073,617,-0.07405,0.12326,0.04682,0.13595,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766090,634,-0.07405,0.12326,0.04682,0.13595,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766106,650,-0.07405,0.12326,0.04682,0.13595,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766123,667,-0.05554,0.12326,0.05872,0.12177,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766140,684,-0.05554,0.12326,0.05872,0.12177,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766156,700,-0.03702,0.10271,0.05489,0.09439,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766173,717,-0.03702,0.10271,0.05489,0.09439,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766190,734,-0.03702,0.10271,0.05489,0.09439,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766207,751,-0.03702,0.10271,0.05489,0.09439,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766223,767,-0.03702,0.10271,0.05489,0.09439,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766240,784,-0.01851,0.10271,0.06678,0.08020,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766257,801,-0.01851,0.12326,0.08252,0.09341,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,1,1766273,817,-0.01851,0.12326,0.08252,0.09341,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,2,1766290,834,0.00000,0.16434,0.12589,0.10564,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,2,1766307,851,0.00000,0.20543,0.15737,0.13205,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,2,1766323,867,0.00000,0.26706,0.20458,0.17166,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,2,1766340,884,0.00000,0.32869,0.25179,0.21128,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,2,1766357,901,0.01851,0.45195,0.35811,0.27632,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,2,1766373,917,0.01851,0.57520,0.45253,0.35555,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,2,1766390,934,0.03702,0.65737,0.52738,0.39419,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,2,1766406,950,0.03702,0.78063,0.62180,0.47342,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,2,1766423,967,0.03702,0.92443,0.73196,0.56585,0
8,102,190,40.00000,6.12836,5.14230,-50,True,30.00000,83.25000,43.25000,3933,False,2,1766440,984,0.03702,1.12986,0.88932,0.69790,0
