task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,7539,False,2,43797,2952,1.25881,1.91050,1.25881,1.91050,1,-3.38050
2,2,2,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2511,False,2,51803,918,-0.68494,1.95158,-0.68494,1.95158,1,9.33939
2,3,3,140.00000,-6.12836,5.14230,0,True,130.00000,140.25000,0.25000,3075,False,2,58508,851,-1.70310,1.27366,-1.70310,1.27366,1,3.20909
2,4,4,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,3209,False,2,65163,950,1.40690,1.47909,1.40690,1.47909,1,6.43289
2,5,5,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,6059,False,2,75688,1585,0.62940,2.01321,0.62940,2.01321,1,-7.36107
2,6,6,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,2621,False,2,81709,733,-1.11071,1.78724,-1.11071,1.78724,1,1.85957
2,7,7,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,4060,False,2,89982,1901,-1.86970,0.92443,-1.86970,0.92443,1,-6.30903
2,8,8,20.00000,7.51754,2.73616,0,True,10.00000,18.50000,-1.50000,2455,False,2,95954,901,1.92524,0.90389,1.92524,0.90389,1,5.14981
2,9,9,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2157,False,2,101975,917,-1.83268,0.82172,-1.83268,0.82172,1,-4.15007
2,10,10,20.00000,7.51754,2.73616,0,True,10.00000,18.50000,-1.50000,2509,False,2,107979,1417,2.01780,0.92443,2.01780,0.92443,1,4.61430
2,11,11,140.00000,-6.12836,5.14230,0,True,130.00000,140.50000,0.50000,2856,False,2,114318,917,-1.59202,1.41746,-1.59202,1.41746,1,-1.68037
2,12,12,40.00000,6.12836,5.14230,0,True,30.00000,37.75000,-2.25000,3124,False,2,121106,1168,1.36988,1.58181,1.36988,1.58181,1,9.10676
2,13,13,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2893,False,2,127411,1401,-1.27732,2.01321,-1.27732,2.01321,1,2.39387
2,14,14,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,2727,False,2,134417,1785,0.53685,4.31402,0.53685,4.31402,1,2.90640
2,15,15,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,2538,False,2,141572,2268,1.11071,1.70507,1.11071,1.70507,1,-3.08087
2,16,16,100.00000,-1.38919,7.87846,0,True,90.00000,98.75000,-1.25000,3705,False,2,148845,1418,-0.35173,2.28027,-0.35173,2.28027,1,-1.23128
2,17,17,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,2139,False,2,155049,1467,-1.98077,0.84226,-1.98077,0.84226,1,-3.03609
2,18,18,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,3074,False,2,162355,1918,1.57351,1.43801,1.57351,1.43801,1,2.42378
