task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,0,1771479,0,-0.18512,0.10271,-0.04031,0.20783,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771496,17,-0.18512,0.10271,-0.04031,0.20783,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771513,34,-0.18512,0.10271,-0.04031,0.20783,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771529,50,-0.18512,0.10271,-0.04031,0.20783,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771546,67,-0.18512,0.10271,-0.04031,0.20783,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771563,84,-0.16661,0.10271,-0.02841,0.19365,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771579,100,-0.16661,0.10271,-0.02841,0.19365,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771596,117,-0.16661,0.10271,-0.02841,0.19365,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771613,134,-0.14810,0.10271,-0.01651,0.17947,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771629,150,-0.14810,0.10271,-0.01651,0.17947,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771646,167,-0.12958,0.10271,-0.00461,0.16529,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771663,184,-0.12958,0.10271,-0.00461,0.16529,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771679,200,-0.11107,0.10271,0.00729,0.15111,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771696,217,-0.11107,0.10271,0.00729,0.15111,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771713,234,-0.07405,0.10271,0.03109,0.12275,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771729,250,-0.07405,0.10271,0.03109,0.12275,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771746,267,-0.03702,0.10271,0.05489,0.09439,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771763,284,-0.01851,0.10271,0.06678,0.08020,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771779,300,0.00000,0.10271,0.07868,0.06602,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771796,317,0.03702,0.10271,0.10248,0.03766,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771813,334,0.05554,0.08217,0.09864,0.01028,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,1,1771829,350,0.07405,0.08217,0.11054,-0.00390,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1771846,367,0.09256,0.08217,0.12244,-0.01809,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1771863,384,0.12958,0.08217,0.14624,-0.04645,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1771879,400,0.14810,0.08217,0.15814,-0.06063,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1771896,417,0.16661,0.06163,0.15430,-0.08801,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1771913,434,0.18512,0.06163,0.16620,-0.10220,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1771930,451,0.18512,0.06163,0.16620,-0.10220,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1771946,467,0.20363,0.06163,0.17810,-0.11638,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1771963,484,0.20363,0.06163,0.17810,-0.11638,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1771980,501,0.20363,0.06163,0.17810,-0.11638,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1771996,517,0.18512,0.04109,0.15047,-0.11540,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1772013,534,0.18512,0.04109,0.15047,-0.11540,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1772030,551,0.16661,0.04109,0.13857,-0.10122,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1772046,567,0.16661,0.06163,0.15430,-0.08801,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1772063,584,0.14810,0.04109,0.12667,-0.08704,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1772080,601,0.12958,0.04109,0.11477,-0.07286,0
8,100,188,160.00000,-7.51754,2.73616,-50,True,150.00000,212.50000,52.50000,4675,False,2,1772097,618,0.11107,0.04109,0.10287,-0.05868,0
