task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,62,150,100.00000,-1.38919,7.87846,-50,True,90.00000,99.50000,-0.50000,1135,False,0,1345274,0,-0.33321,0.24652,-0.02534,0.41371,0
8,62,150,100.00000,-1.38919,7.87846,-50,True,90.00000,99.50000,-0.50000,1135,False,0,1345291,17,-0.33321,0.24652,-0.02534,0.41371,0
8,62,150,100.00000,-1.38919,7.87846,-50,True,90.00000,99.50000,-0.50000,1135,False,0,1345307,33,-0.33321,0.24652,-0.02534,0.41371,0
8,62,150,100.00000,-1.38919,7.87846,-50,True,90.00000,99.50000,-0.50000,1135,False,0,1345324,50,-0.33321,0.24652,-0.02534,0.41371,0
8,62,150,100.00000,-1.38919,7.87846,-50,True,90.00000,99.50000,-0.50000,1135,False,0,1345340,66,-0.33321,0.24652,-0.02534,0.41371,0
8,62,150,100.00000,-1.38919,7.87846,-50,True,90.00000,99.50000,-0.50000,1135,False,0,1345357,83,-0.33321,0.24652,-0.02534,0.41371,0
8,62,150,100.00000,-1.38919,7.87846,-50,True,90.00000,99.50000,-0.50000,1135,False,0,1345374,100,-0.33321,0.24652,-0.02534,0.41371,0
8,62,150,100.00000,-1.38919,7.87846,-50,True,90.00000,99.50000,-0.50000,1135,False,0,1345390,116,-0.33321,0.24652,-0.02534,0.41371,0
8,62,150,100.00000,-1.38919,7.87846,-50,True,90.00000,99.50000,-0.50000,1135,False,0,1345407,133,-0.33321,0.24652,-0.02534,0.41371,0
8,62,150,100.00000,-1.38919,7.87846,-50,True,90.00000,99.50000,-0.50000,1135,False,0,1345424,150,-0.33321,0.24652,-0.02534,0.41371,0
8,62,150,100.00000,-1.38919,7.87846,-50,True,90.00000,99.50000,-0.50000,1135,False,0,1345441,167,-0.33321,0.24652,-0.02534,0.41371,0
8,62,150,100.00000,-1.38919,7.87846,-50,True,90.00000,99.50000,-0.50000,1135,False,0,1345457,183,-0.33321,0.24652,-0.02534,0.41371,0
8,62,150,100.00000,-1.38919,7.87846,-50,True,90.00000,99.50000,-0.50000,1135,False,0,1345474,200,-0.33321,0.24652,-0.02534,0.41371,0
8,62,150,100.00000,-1.38919,7.87846,-50,True,90.00000,99.50000,-0.50000,1135,False,0,1345491,217,-0.33321,0.24652,-0.02534,0.41371,0
