task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363138,0,-3.59131,0.57520,-1.86782,3.12084,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363154,16,-3.59131,0.55466,-1.88356,3.10763,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363171,33,-3.59131,0.55466,-1.88356,3.10763,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363188,50,-3.59131,0.55466,-1.88356,3.10763,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363204,66,-3.59131,0.55466,-1.88356,3.10763,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363221,83,-3.57280,0.55466,-1.87166,3.09345,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363238,100,-3.55429,0.55466,-1.85976,3.07927,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363254,116,-3.51726,0.55466,-1.83596,3.05091,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363271,133,-3.46173,0.53412,-1.81600,2.99516,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363288,150,-3.29512,0.47249,-1.75611,2.82792,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363304,166,-3.07298,0.43140,-1.64480,2.63134,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363321,183,-2.85083,0.39032,-1.53348,2.43476,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363338,200,-2.72125,0.39032,-1.45019,2.33549,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363355,217,-2.64720,0.39032,-1.40259,2.27877,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363371,233,-2.51762,0.36977,-1.33503,2.16629,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363388,250,-2.40655,0.34923,-1.27937,2.06800,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363405,267,-2.31399,0.32869,-1.23561,1.98389,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363421,283,-2.22143,0.30814,-1.19185,1.89978,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363438,300,-2.09185,0.24652,-1.15577,1.76090,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363455,317,-1.96226,0.20543,-1.10395,1.63523,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363471,333,-1.79565,0.12326,-1.05980,1.45478,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363488,350,-1.64756,0.06163,-1.01182,1.30172,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363505,367,-1.51798,-0.02054,-0.99147,1.14963,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363521,383,-1.38839,-0.10271,-0.97113,0.99755,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363538,400,-1.27732,-0.14380,-0.93120,0.88605,0
8,99,187,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1874,False,0,1363555,417,-1.14774,-0.20543,-0.89512,0.74717,0
