task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
7,5,85,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1555,False,0,856817,0,-0.35173,0.24652,-0.35173,0.24652,0
7,5,85,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1555,False,0,856834,17,-0.35173,0.22597,-0.35173,0.22597,0
7,5,85,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1555,False,0,856850,33,-0.35173,0.22597,-0.35173,0.22597,0
7,5,85,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1555,False,0,856867,50,-0.37024,0.22597,-0.37024,0.22597,0
7,5,85,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1555,False,0,856884,67,-0.37024,0.22597,-0.37024,0.22597,0
7,5,85,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1555,False,0,856901,84,-0.37024,0.22597,-0.37024,0.22597,0
7,5,85,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1555,False,0,856917,100,-0.37024,0.20543,-0.37024,0.20543,0
7,5,85,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1555,False,0,856934,117,-0.37024,0.20543,-0.37024,0.20543,0
7,5,85,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1555,False,0,856951,134,-0.37024,0.18489,-0.37024,0.18489,0
7,5,85,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1555,False,0,856967,150,-0.38875,0.16434,-0.38875,0.16434,0
7,5,85,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1555,False,0,856984,167,-0.38875,0.16434,-0.38875,0.16434,0
7,5,85,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1555,False,0,857001,184,-0.38875,0.14380,-0.38875,0.14380,0
7,5,85,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1555,False,0,857017,200,-0.38875,0.14380,-0.38875,0.14380,0
