task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,0,True,30.00000,38.00000,-2.00000,4587,False,2,36372,3703,1.85119,1.06823,1.85119,1.06823,1,-10.01289
2,2,2,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,3823,False,2,43994,1033,0.37024,1.99267,0.37024,1.99267,1,-0.52558
2,3,3,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,2153,False,2,51017,1085,-1.85119,0.78063,-1.85119,0.78063,1,-2.86471
2,4,4,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,3442,False,2,58155,967,-1.83268,1.21203,-1.83268,1.21203,1,6.52162
2,5,5,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,3225,False,2,65094,1068,-1.35137,1.58181,-1.35137,1.58181,1,10.50789
2,6,6,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,2486,False,2,73951,1818,0.94411,1.78724,0.94411,1.78724,1,2.15473
2,7,7,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,3183,False,2,82791,1201,1.88821,0.78063,1.88821,0.78063,1,2.46134
2,8,8,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2750,False,2,91113,1117,-0.66643,1.93104,-0.66643,1.93104,1,9.04030
2,9,9,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2268,False,2,99120,1135,1.05518,1.70507,1.05518,1.70507,1,-1.75123
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,3350,False,2,110111,2618,-1.25881,1.58181,-1.25881,1.58181,1,8.51290
2,11,11,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,2865,False,2,118434,1301,-1.88821,0.69846,-1.88821,0.69846,1,-0.29973
2,12,12,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,2735,False,2,127291,2151,0.18512,2.03375,0.18512,2.03375,1,4.79904
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,101.75000,1.75000,3785,False,2,135747,1051,-0.74048,1.91050,-0.74048,1.91050,1,11.18555
2,14,14,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,3437,False,2,144237,1401,1.48095,1.35584,1.48095,1.35584,1,2.47474
2,15,15,20.00000,7.51754,2.73616,0,True,10.00000,21.75000,1.75000,3721,False,2,152994,1384,1.81417,0.86280,1.81417,0.86280,1,5.43526
2,16,16,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,4602,False,2,165103,2819,-1.62905,1.29421,-1.62905,1.29421,1,1.53437
2,17,17,140.00000,-6.12836,5.14230,0,True,130.00000,140.25000,0.25000,3651,False,2,173026,934,-1.61054,1.33529,-1.61054,1.33529,1,0.33806
2,18,18,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,5708,False,2,184234,2285,0.66643,2.03375,0.66643,2.03375,1,-8.14321
2,19,19,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,3434,False,2,193742,2619,-0.40726,1.99267,-0.40726,1.99267,1,1.55098
2,20,20,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,3752,False,2,202031,1251,-1.25881,1.58181,-1.25881,1.58181,1,8.51290
2,21,21,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,7290,False,2,214374,1584,1.68458,1.17095,1.68458,1.17095,1,-5.19687
2,22,22,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,3737,False,2,224882,2452,-1.92524,0.61629,-1.92524,0.61629,1,2.24957
2,23,23,20.00000,7.51754,2.73616,0,True,10.00000,18.50000,-1.50000,2814,False,2,233271,1084,1.85119,0.76009,1.85119,0.76009,1,2.32283
2,24,24,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2521,False,2,240677,1534,1.35137,1.58181,1.35137,1.58181,1,-10.50789
3,1,25,120.00000,-4.00000,6.92820,0,True,110.00000,121.25000,1.25000,5319,False,2,252203,2319,-1.12923,1.72561,-1.02952,1.78318,1,3.20052
3,2,26,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,3101,False,2,259708,950,-0.85155,1.93104,-0.35590,2.01843,1,13.79652
3,3,27,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,5025,False,2,269632,1801,1.62905,1.19149,1.54266,1.29445,1,-3.81820
3,4,28,20.00000,7.51754,2.73616,0,True,10.00000,18.75000,-1.25000,2120,False,2,275587,1134,1.92524,0.65737,1.91130,0.69566,1,-1.14761
3,5,29,60.00000,4.00000,6.92820,0,True,50.00000,58.50000,-1.50000,2120,False,2,282009,851,1.24030,1.68452,1.03949,1.80046,1,-6.36395
3,6,30,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,2539,False,2,289731,2018,-1.96226,0.69846,-1.95720,0.71236,1,0.40698
3,7,31,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2107,False,2,295435,900,0.24065,2.05430,0.35856,2.03351,1,3.31856
3,8,32,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,3239,False,2,303842,1051,-1.88821,0.92443,-1.56324,1.31172,1,13.91455
3,9,33,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,2421,False,2,311131,1251,1.72161,1.19149,1.59698,1.34002,1,-5.31371
3,10,34,100.00000,-1.38919,7.87846,0,True,90.00000,101.00000,1.00000,3102,False,2,319237,1018,-0.66643,1.93104,-0.35032,1.98678,1,9.04030
3,11,35,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,2085,False,2,326509,951,0.70345,1.97212,0.35846,2.03295,1,-9.63118
3,12,36,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,2070,False,2,333147,1167,1.94375,0.69846,1.94086,0.70641,1,-0.23479
3,13,37,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2123,False,2,339052,901,0.85155,1.86941,1.02237,1.77079,1,5.50988
3,14,38,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,2022,False,2,345056,883,-1.55500,1.41746,-1.61048,1.35135,1,-2.35073
3,15,39,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,2226,False,2,351061,1651,-1.20327,1.68452,-1.03024,1.78442,1,5.53861
3,16,40,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1589,False,2,356532,1868,-1.90673,0.78063,-1.93457,0.70413,1,-2.26457
4,1,41,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,2003,False,2,362136,967,-1.70310,1.21203,-1.70310,1.21203,1,4.56202
4,2,42,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,2354,False,2,368624,1000,1.20327,1.62289,1.20327,1.62289,1,-6.55459
4,3,43,120.00000,-4.00000,6.92820,0,True,110.00000,121.25000,1.25000,2271,False,2,375329,1067,-1.38839,1.56127,-1.38839,1.56127,1,11.64572
4,4,44,20.00000,7.51754,2.73616,0,True,10.00000,17.75000,-2.25000,1475,False,2,381418,1085,1.90673,0.78063,1.90673,0.78063,1,2.26457
4,5,45,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2203,False,2,388940,1551,-0.53685,1.93104,-0.53685,1.93104,1,5.53651
4,6,46,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,2084,False,2,396195,1167,0.42577,2.07484,0.42577,2.07484,1,-1.59646
4,7,47,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2921,False,2,404585,2151,1.55500,1.29421,1.55500,1.29421,1,-0.22975
4,8,48,160.00000,-7.51754,2.73616,0,True,150.00000,157.75000,-2.25000,3520,False,2,412091,968,-1.98077,0.36977,-1.98077,0.36977,1,9.42574
5,1,49,60.00000,4.00000,6.92820,0,True,50.00000,58.00000,-2.00000,9224,False,2,452805,11592,0.90708,1.80778,0.90708,1.80778,1,3.35412
5,2,50,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,9425,False,2,468333,2568,1.64756,1.27366,1.64756,1.27366,1,-2.29388
5,3,51,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,3115,False,2,476923,1301,-0.98113,1.74615,-0.98113,1.74615,1,-0.66916
