task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,4103,False,2,54727,4503,-2.09185,0.49303,-2.09185,0.49303,1,6.73794
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,140.25000,0.25000,4136,False,2,63717,2401,-1.99929,0.57520,-1.99929,0.57520,1,23.94936
2,3,3,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,5056,False,2,71957,1001,-1.61054,1.56127,-1.61054,1.56127,1,15.88994
2,4,4,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,4377,False,2,82832,4303,1.46244,1.52018,1.46244,1.52018,1,6.10904
2,5,5,20.00000,7.51754,2.73616,0,True,10.00000,18.75000,-1.25000,3399,False,2,90170,1951,1.16625,2.01321,1.16625,2.01321,1,39.91634
2,6,6,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,4092,False,2,98627,2535,0.31470,2.23918,0.31470,2.23918,1,1.99991
2,7,7,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,5608,False,2,107550,1300,-0.40726,2.13647,-0.40726,2.13647,1,0.79241
2,8,8,60.00000,4.00000,6.92820,0,True,50.00000,58.00000,-2.00000,3374,False,2,114839,1517,0.81452,1.91050,0.81452,1.91050,1,6.90957
2,9,9,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,3625,False,2,122412,1485,1.85119,1.04769,1.85119,1.04769,1,9.50790
2,10,10,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,4777,False,2,130034,834,-1.42542,1.64344,-1.42542,1.64344,1,-9.06362
2,11,11,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,2643,False,2,136839,2318,-1.18476,1.91050,-1.18476,1.91050,1,1.80433
2,12,12,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,5640,False,2,146563,1751,-0.48131,2.30081,-0.48131,2.30081,1,1.81541
2,13,13,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,3140,False,2,153152,1201,0.96262,2.15701,0.96262,2.15701,1,5.94998
2,14,14,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,2559,False,2,158756,1150,-2.03631,0.94498,-2.03631,0.94498,1,-4.89436
2,15,15,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2989,False,2,165645,1101,0.07405,2.48570,0.07405,2.48570,1,8.29364
2,16,16,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,2720,False,2,171633,1117,1.44393,1.62289,1.44393,1.62289,1,8.33963
2,17,17,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,16950,False,2,194402,2619,-1.94375,0.82172,-1.94375,0.82172,1,17.08380
2,18,18,160.00000,-7.51754,2.73616,0,True,150.00000,158.25000,-1.75000,2384,False,2,200774,1318,-2.18440,0.71900,-2.18440,0.71900,1,1.78093
2,19,19,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,2288,False,2,206745,1201,-1.44393,1.66398,-1.44393,1.66398,1,10.95003
2,20,20,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,2824,False,2,213133,1434,1.75863,1.39692,1.75863,1.39692,1,-1.53908
2,21,21,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,3109,False,2,219338,1150,-0.62940,2.19810,-0.62940,2.19810,1,5.97844
2,22,22,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,3026,False,2,225427,1318,0.74048,1.86941,0.74048,1.86941,1,-11.60870
2,23,23,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,3124,False,2,232482,1651,1.90673,1.08878,1.90673,1.08878,1,9.72721
2,24,24,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,2941,False,2,241089,3619,0.96262,1.93104,0.96262,1.93104,1,3.50383
