task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1122822,0,-0.27768,0.18489,-0.03686,0.33156,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1122838,16,-0.27768,0.18489,-0.03686,0.33156,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1122855,33,-0.27768,0.18489,-0.03686,0.33156,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1122871,49,-0.27768,0.18489,-0.03686,0.33156,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1122888,66,-0.25917,0.18489,-0.02496,0.31738,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1122905,83,-0.25917,0.16434,-0.04069,0.30417,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1122922,100,-0.25917,0.16434,-0.04069,0.30417,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1122938,116,-0.25917,0.16434,-0.04069,0.30417,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1122955,133,-0.25917,0.16434,-0.04069,0.30417,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1122971,149,-0.25917,0.16434,-0.04069,0.30417,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1122988,166,-0.25917,0.16434,-0.04069,0.30417,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1123005,183,-0.25917,0.16434,-0.04069,0.30417,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1123021,199,-0.25917,0.16434,-0.04069,0.30417,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1123038,216,-0.25917,0.16434,-0.04069,0.30417,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1123055,233,-0.25917,0.14380,-0.05643,0.29097,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1123071,249,-0.25917,0.14380,-0.05643,0.29097,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1123088,266,-0.25917,0.14380,-0.05643,0.29097,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1123105,283,-0.25917,0.14380,-0.05643,0.29097,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1123121,299,-0.25917,0.12326,-0.07217,0.27776,0
8,44,132,160.00000,-7.51754,2.73616,-50,True,150.00000,158.75000,-1.25000,2303,False,0,1123138,316,-0.25917,0.12326,-0.07217,0.27776,0
