task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,0,1900182,0,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900199,17,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900215,33,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900232,50,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900249,67,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900265,83,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900282,100,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900299,117,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900316,134,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900332,150,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900349,167,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900366,184,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900382,200,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900399,217,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900416,234,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900432,250,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900449,267,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900465,283,0.07405,0.00000,0.04760,-0.05672,0
8,74,162,40.00000,6.12836,5.14230,-50,True,30.00000,39.25000,-0.75000,1904,False,1,1900482,300,0.07405,0.00000,0.04760,-0.05672,0
