task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,0,1732942,0,-0.01851,0.06163,0.03531,0.05380,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1732958,16,-0.01851,0.06163,0.03531,0.05380,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1732975,33,-0.01851,0.06163,0.03531,0.05380,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1732992,50,-0.01851,0.06163,0.03531,0.05380,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733008,66,-0.01851,0.06163,0.03531,0.05380,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733025,83,-0.01851,0.06163,0.03531,0.05380,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733042,100,-0.01851,0.06163,0.03531,0.05380,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733058,116,-0.03702,0.08217,0.03915,0.08118,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733075,133,-0.03702,0.08217,0.03915,0.08118,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733092,150,-0.05554,0.08217,0.02725,0.09536,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733108,166,-0.05554,0.08217,0.02725,0.09536,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733125,183,-0.05554,0.08217,0.02725,0.09536,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733142,200,-0.07405,0.08217,0.01535,0.10954,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733159,217,-0.07405,0.10271,0.03109,0.12275,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733175,233,-0.07405,0.10271,0.03109,0.12275,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733192,250,-0.07405,0.10271,0.03109,0.12275,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733209,267,-0.07405,0.10271,0.03109,0.12275,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733225,283,-0.07405,0.10271,0.03109,0.12275,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733242,300,-0.07405,0.10271,0.03109,0.12275,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733258,316,-0.07405,0.10271,0.03109,0.12275,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733275,333,-0.07405,0.10271,0.03109,0.12275,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,1,1733292,350,-0.07405,0.10271,0.03109,0.12275,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,2,1733309,367,-0.07405,0.10271,0.03109,0.12275,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,2,1733325,383,-0.07405,0.08217,0.01535,0.10954,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,2,1733342,400,-0.07405,0.08217,0.01535,0.10954,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,2,1733359,417,-0.07405,0.08217,0.01535,0.10954,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,2,1733375,433,-0.07405,0.08217,0.01535,0.10954,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,2,1733392,450,-0.07405,0.08217,0.01535,0.10954,0
8,98,186,140.00000,-6.12836,5.14230,-50,True,130.00000,163.75000,23.75000,2971,False,2,1733408,466,-0.07405,0.08217,0.01535,0.10954,0
