task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,5721,False,2,66797,5604,-1.53649,1.47909,-1.53649,1.47909,1,-3.90954
2,2,2,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,3541,False,2,75737,2085,1.31435,1.58181,1.31435,1.58181,1,10.27629
2,3,3,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,2719,False,2,82609,1051,1.83268,1.00661,1.83268,1.00661,1,8.77804
2,4,4,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,6359,False,2,93717,1984,-1.57351,1.64344,-1.57351,1.64344,1,13.75470
2,5,5,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2385,False,2,100940,1585,0.90708,1.84887,0.90708,1.84887,1,3.86682
2,6,6,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,3525,False,2,108562,1701,-0.48131,2.01321,-0.48131,2.01321,1,3.44566
2,7,7,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,3073,False,2,115301,968,0.25917,2.03375,0.25917,2.03375,1,2.73768
2,8,8,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2869,False,2,123590,917,-2.11036,0.69846,-2.11036,0.69846,1,1.68715
2,9,9,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,2938,False,2,131363,967,-1.59202,1.54072,-1.59202,1.54072,1,15.93816
2,10,10,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,2975,False,2,138519,1802,0.85155,2.03375,0.85155,2.03375,1,7.28049
2,11,11,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,3987,False,2,146058,884,1.72161,1.04769,1.72161,1.04769,1,11.32271
2,12,12,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,3209,False,2,152563,934,1.72161,1.64344,1.72161,1.64344,1,3.66926
2,13,13,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,3144,False,2,159535,1768,-2.11036,0.76009,-2.11036,0.76009,1,0.19246
2,14,14,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,3018,False,2,167407,1500,-1.79565,1.15041,-1.79565,1.15041,1,7.35374
2,15,15,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,3857,False,2,174830,1051,0.22214,2.15701,0.22214,2.15701,1,4.12011
2,16,16,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,2460,False,2,180701,1484,-0.48131,1.99267,-0.48131,1.99267,1,3.57915
2,17,17,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2806,False,2,186973,901,1.33286,1.64344,1.33286,1.64344,1,10.95731
2,18,18,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2343,False,2,192377,1117,0.25917,2.07484,0.25917,2.07484,1,2.88001
2,19,19,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,2041,False,2,198048,1401,-1.88821,0.73955,-1.88821,0.73955,1,-1.38865
2,20,20,140.00000,-6.12836,5.14230,0,True,130.00000,140.25000,0.25000,3287,False,2,205654,934,-2.05482,0.98606,-2.05482,0.98606,1,14.36474
2,21,21,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,3411,False,2,211925,884,1.07369,1.80778,1.07369,1.80778,1,-0.70724
2,22,22,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,2745,False,2,218297,1785,-0.48131,2.13647,-0.48131,2.13647,1,2.69581
2,23,23,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,3074,False,2,224535,1351,-1.31435,1.64344,-1.31435,1.64344,1,8.65126
2,24,24,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,2426,False,2,229889,1401,1.75863,1.15041,1.75863,1.15041,1,13.19076
3,1,25,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,7731,False,2,239647,867,1.72161,1.39692,1.69813,1.42490,1,-0.94401
3,2,26,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,3114,False,2,245668,1584,-1.42542,1.66398,-1.07688,1.86521,1,10.58445
3,3,27,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2793,False,2,251356,1635,0.03702,2.15701,0.36999,2.09830,1,9.01675
3,4,28,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2924,False,2,257477,901,-0.79601,2.05430,-0.37531,2.12848,1,11.18059
3,5,29,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,2670,False,2,264666,917,-1.62905,1.25312,-1.57301,1.31991,1,2.43131
3,6,30,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,7311,False,2,275524,1184,1.75863,1.10932,1.90944,0.69498,1,12.24317
3,7,31,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,3190,False,2,283297,1418,1.12923,1.70507,1.02062,1.76777,1,-3.51562
3,8,32,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,2606,False,2,290236,1451,-2.07333,0.67792,-2.04868,0.74566,1,1.89373
3,9,33,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,2307,False,2,295857,851,-0.01851,2.23918,0.38236,2.16850,1,10.47362
3,10,34,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,5128,False,2,303829,750,0.74048,2.13647,1.11024,1.92299,1,10.88417
3,11,35,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,2644,False,2,309934,1517,-0.61089,2.05430,-0.36973,2.09682,1,6.56097
3,12,36,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,2507,False,2,316489,1684,1.48095,1.88995,1.79968,1.51011,1,11.91803
3,13,37,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1974,False,2,321293,984,-1.90673,0.63683,-1.88836,0.68731,1,1.53116
3,14,38,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,2790,False,2,328015,1001,1.68458,1.35584,1.92328,0.70002,1,18.82897
3,15,39,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,3136,False,2,336688,1467,-1.11071,1.82832,-1.55207,1.30234,1,-18.72119
3,16,40,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,3032,False,2,346396,1935,-1.07369,1.76669,-1.03342,1.78994,1,1.28877
