task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
10,12,244,120.00000,-4.00000,6.92820,-50,True,110.00000,120.50000,0.50000,1885,False,0,2007157,0,0.11107,-0.24652,-0.11745,-0.24354,0
10,12,244,120.00000,-4.00000,6.92820,-50,True,110.00000,120.50000,0.50000,1885,False,0,2007174,17,0.11107,-0.24652,-0.11745,-0.24354,0
10,12,244,120.00000,-4.00000,6.92820,-50,True,110.00000,120.50000,0.50000,1885,False,0,2007190,33,0.11107,-0.24652,-0.11745,-0.24354,0
10,12,244,120.00000,-4.00000,6.92820,-50,True,110.00000,120.50000,0.50000,1885,False,0,2007207,50,0.11107,-0.24652,-0.11745,-0.24354,0
10,12,244,120.00000,-4.00000,6.92820,-50,True,110.00000,120.50000,0.50000,1885,False,0,2007224,67,0.11107,-0.24652,-0.11745,-0.24354,0
10,12,244,120.00000,-4.00000,6.92820,-50,True,110.00000,120.50000,0.50000,1885,False,0,2007241,84,0.11107,-0.24652,-0.11745,-0.24354,0
10,12,244,120.00000,-4.00000,6.92820,-50,True,110.00000,120.50000,0.50000,1885,False,0,2007257,100,0.11107,-0.24652,-0.11745,-0.24354,0
10,12,244,120.00000,-4.00000,6.92820,-50,True,110.00000,120.50000,0.50000,1885,False,0,2007274,117,0.11107,-0.24652,-0.11745,-0.24354,0
10,12,244,120.00000,-4.00000,6.92820,-50,True,110.00000,120.50000,0.50000,1885,False,0,2007291,134,0.11107,-0.24652,-0.11745,-0.24354,0
10,12,244,120.00000,-4.00000,6.92820,-50,True,110.00000,120.50000,0.50000,1885,False,0,2007307,150,0.11107,-0.24652,-0.11745,-0.24354,0
10,12,244,120.00000,-4.00000,6.92820,-50,True,110.00000,120.50000,0.50000,1885,False,0,2007324,167,0.11107,-0.24652,-0.11745,-0.24354,0
10,12,244,120.00000,-4.00000,6.92820,-50,True,110.00000,120.50000,0.50000,1885,False,0,2007340,183,0.11107,-0.24652,-0.11745,-0.24354,0
10,12,244,120.00000,-4.00000,6.92820,-50,True,110.00000,120.50000,0.50000,1885,False,0,2007357,200,0.11107,-0.24652,-0.11745,-0.24354,0
