task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,0,222576,0,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222593,17,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222609,33,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222626,50,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222643,67,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222659,83,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222676,100,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222693,117,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222709,133,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222726,150,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222743,167,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222759,183,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222776,200,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222793,217,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222809,233,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222826,250,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222843,267,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222860,284,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222876,300,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222893,317,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222909,333,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,1,222926,350,-0.12958,0.12326,-0.02499,0.14170,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,222943,367,-0.12958,0.14380,-0.02850,0.16162,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,222960,384,-0.12958,0.14380,-0.02850,0.16162,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,222976,400,-0.14810,0.16434,-0.03257,0.18471,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,222993,417,-0.14810,0.16434,-0.03257,0.18471,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,223010,434,-0.14810,0.16434,-0.03257,0.18471,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,223026,450,-0.16661,0.18489,-0.03664,0.20780,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,223043,467,-0.16661,0.20543,-0.04015,0.22773,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,223060,484,-0.16661,0.22597,-0.04367,0.24765,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,223076,500,-0.18512,0.26706,-0.05125,0.29066,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,223093,517,-0.20363,0.32869,-0.06235,0.35360,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,223110,534,-0.22214,0.39032,-0.07345,0.41654,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,223126,550,-0.24065,0.43140,-0.08103,0.45955,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,223143,567,-0.25917,0.47249,-0.08862,0.50256,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,223160,584,-0.29619,0.49303,-0.09324,0.52882,0
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,223177,601,-0.31470,0.53412,-0.10083,0.57183,0
