task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,100.00000,-1.38919,7.87846,0,True,90.00000,101.00000,1.00000,4370,False,2,90280,6171,-0.25917,2.21864,-0.25917,2.21864,1,-3.33720
2,2,2,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2867,False,2,97019,2335,-1.44393,1.66398,-1.44393,1.66398,1,10.95003
2,3,3,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2254,False,2,101806,600,1.36988,1.49964,1.36988,1.49964,1,-12.41084
2,4,4,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,2139,False,2,108011,834,1.62905,1.39692,1.62905,1.39692,1,0.61328
2,5,5,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,1927,False,2,114783,2902,-1.77714,1.19149,-1.77714,1.19149,1,6.15998
2,6,6,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,2254,False,2,119336,783,-1.96226,0.55466,-1.96226,0.55466,1,4.21632
2,7,7,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,2209,False,2,124473,833,0.38875,2.03375,0.38875,2.03375,1,-0.82151
2,8,8,20.00000,7.51754,2.73616,0,True,10.00000,18.75000,-1.25000,2578,False,2,129594,834,1.86970,1.08878,1.86970,1.08878,1,10.21347
2,9,9,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,1891,False,2,134364,600,-0.48131,1.95158,-0.48131,1.95158,1,3.85414
2,10,10,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,3813,False,2,140736,817,1.70310,1.19149,1.70310,1.19149,1,-5.02334
2,11,11,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,2091,False,2,146107,834,0.70345,1.99267,0.70345,1.99267,1,-9.44399
2,12,12,140.00000,-6.12836,5.14230,0,True,130.00000,140.50000,0.50000,1975,False,2,152195,1951,-1.61054,1.33529,-1.61054,1.33529,1,0.33806
2,13,13,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,2707,False,2,157532,783,1.99929,0.92443,1.99929,0.92443,1,4.81484
2,14,14,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,2160,False,2,162436,784,-1.86970,1.12986,-1.86970,1.12986,1,-11.14458
2,15,15,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,1728,False,2,167607,1751,-1.31435,1.74615,-1.31435,1.74615,1,6.96926
2,16,16,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,2004,False,2,172677,867,1.33286,1.86941,1.33286,1.86941,1,-5.48827
2,17,17,100.00000,-1.38919,7.87846,0,True,90.00000,98.75000,-1.25000,1742,False,2,177498,884,-0.51833,1.97212,-0.51833,1.97212,1,4.72593
2,18,18,120.00000,-4.00000,6.92820,0,True,110.00000,122.00000,2.00000,1895,False,2,183069,2152,-1.12923,1.95158,-1.12923,1.95158,1,0.05468
2,19,19,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1706,False,2,186872,584,0.49982,1.97212,0.49982,1.97212,1,-4.22176
2,20,20,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,1764,False,2,191775,1851,-1.94375,1.00661,-1.94375,1.00661,1,-7.37829
2,21,21,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,1923,False,2,197213,1851,1.25881,1.68452,1.25881,1.68452,1,-6.77007
2,22,22,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,1391,False,2,200749,834,-1.57351,1.43801,-1.57351,1.43801,1,-2.42378
2,23,23,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,2676,False,2,206537,851,1.98077,0.47249,1.98077,0.47249,1,-6.58347
2,24,24,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,1745,False,2,211323,1634,1.88821,1.33529,1.88821,1.33529,1,-4.73310
3,1,25,40.00000,6.12836,5.14230,0,True,30.00000,37.00000,-3.00000,2310,False,2,215610,617,1.62905,1.27366,1.58312,1.32840,1,-1.98020
3,2,26,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2564,False,2,220181,801,-2.07333,0.71900,-2.06188,0.75046,1,0.87421
3,3,27,80.00000,1.38919,7.87846,0,True,70.00000,78.75000,-1.25000,1996,False,2,225735,2219,0.31470,2.23918,0.39241,2.22548,1,1.99991
3,4,28,100.00000,-1.38919,7.87846,0,True,90.00000,98.00000,-2.00000,1590,False,2,229638,901,-0.24065,2.13647,-0.37261,2.11320,1,-3.57334
3,5,29,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,1746,False,2,233357,784,1.55500,1.45855,1.02032,1.76725,1,-16.83315
3,6,30,140.00000,-6.12836,5.14230,0,True,130.00000,141.25000,1.25000,1758,False,2,238178,1752,-1.14774,1.76669,-1.54345,1.29511,1,-16.99001
3,7,31,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1674,False,2,242765,1502,-0.62940,2.11593,-1.07357,1.85948,1,-13.43448
3,8,32,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,2293,False,2,246884,550,2.42506,0.08217,2.16779,0.78901,1,-18.05935
3,9,33,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,1882,False,2,251471,1618,2.01780,0.36977,1.90060,0.69176,1,-9.61554
3,10,34,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,1541,False,2,255674,917,-0.77750,2.25973,-1.17286,2.03146,1,-11.01332
3,11,35,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1596,False,2,260228,1685,-0.22214,2.23918,-0.38962,2.20965,1,-4.33446
3,12,36,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2243,False,2,265899,2251,1.74012,1.58181,1.11997,1.93985,1,-17.72843
3,13,37,160.00000,-7.51754,2.73616,0,True,150.00000,160.75000,0.75000,1822,False,2,270069,917,-1.81417,1.29421,-2.01790,0.73446,1,-15.50367
3,14,38,140.00000,-6.12836,5.14230,0,True,130.00000,138.25000,-1.75000,1229,False,2,273171,717,-1.27732,1.60235,-1.53857,1.29101,1,-11.43975
3,15,39,40.00000,6.12836,5.14230,0,True,30.00000,37.75000,-2.25000,1580,False,2,278292,2436,1.79565,1.29421,1.69101,1.41892,1,-4.21792
3,16,40,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,2041,False,2,282361,884,0.88857,2.07484,0.38161,2.16423,1,-13.18349
4,1,41,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,2013,False,2,286298,734,-1.20327,1.80778,-1.20327,1.80778,1,-16.35201
4,2,42,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,1447,False,2,289584,568,-0.38875,2.21864,-0.38875,2.21864,1,-0.06153
4,3,43,20.00000,7.51754,2.73616,0,True,10.00000,21.00000,1.00000,1940,False,2,299274,4236,2.09185,0.94498,2.09185,0.94498,1,4.31077
4,4,44,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,2370,False,2,303878,1117,-1.96226,0.78063,-1.96226,0.78063,1,-1.69375
4,5,45,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1657,False,2,309032,1201,1.09220,1.68452,1.09220,1.68452,1,-2.95835
4,6,46,120.00000,-4.00000,6.92820,0,True,110.00000,118.00000,-2.00000,1407,False,2,313385,817,-0.79601,2.09538,-0.79601,2.09538,1,-9.19881
4,7,47,80.00000,1.38919,7.87846,0,True,70.00000,78.75000,-1.25000,2709,False,2,319957,1851,0.55536,2.03375,0.55536,2.03375,1,-5.27350
4,8,48,40.00000,6.12836,5.14230,0,True,30.00000,38.00000,-2.00000,1605,False,2,324694,1051,1.90673,1.21203,1.90673,1.21203,1,-7.55755
5,1,49,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,4070,False,2,359104,4287,-1.68458,1.35584,-1.68458,1.35584,1,1.17103
5,2,50,20.00000,7.51754,2.73616,0,True,10.00000,18.50000,-1.50000,2530,False,2,366193,1568,1.99929,0.45195,1.99929,0.45195,1,-7.26208
5,3,51,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,2490,False,2,372531,1635,0.53685,1.97212,0.53685,1.97212,1,-5.22805
5,4,52,160.00000,-7.51754,2.73616,0,True,150.00000,158.25000,-1.75000,1839,False,2,377501,917,-1.96226,0.53412,-1.96226,0.53412,1,4.77320
5,5,53,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,1824,False,2,383689,2118,-1.20327,1.66398,-1.20327,1.66398,1,5.87173
5,6,54,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,2673,False,2,389744,1468,1.38839,1.60235,1.38839,1.60235,1,-10.90798
5,7,55,40.00000,6.12836,5.14230,0,True,30.00000,37.25000,-2.75000,1774,False,2,395648,2068,1.77714,1.08878,1.77714,1.08878,1,-8.50593
5,8,56,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2273,False,2,401420,1785,-0.57387,1.93104,-0.57387,1.93104,1,6.55099
5,9,57,60.00000,4.00000,6.92820,0,True,50.00000,58.00000,-2.00000,1455,False,2,406640,1618,0.64792,2.11593,0.64792,2.11593,1,12.97486
5,10,58,80.00000,1.38919,7.87846,0,True,70.00000,78.25000,-1.75000,1685,False,2,414196,2485,0.48131,2.15701,0.48131,2.15701,1,-2.57878
5,11,59,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,1503,False,2,418699,917,1.94375,0.88335,1.94375,0.88335,1,4.43973
5,12,60,140.00000,-6.12836,5.14230,0,True,130.00000,141.25000,1.25000,2262,False,2,423920,1567,-1.77714,1.29421,-1.77714,1.29421,1,3.93586
5,13,61,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,1438,False,2,428957,900,-1.64756,1.39692,-1.64756,1.39692,1,19.70632
5,14,62,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,2146,False,2,433978,1535,1.31435,1.54072,1.31435,1.54072,1,9.53333
5,15,63,100.00000,-1.38919,7.87846,0,True,90.00000,98.00000,-2.00000,2003,False,2,441283,1934,-0.49982,2.11593,-0.49982,2.11593,1,3.29065
5,16,64,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,1723,False,2,445687,917,-2.11036,0.69846,-2.11036,0.69846,1,1.68715
6,1,65,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,4587,False,2,475626,1851,1.74012,1.23258,1.74012,1.23258,1,-4.68890
6,2,66,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,2707,False,2,481064,817,1.75863,1.00661,1.75863,1.00661,1,9.78609
6,3,67,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,2461,False,2,485851,633,-1.83268,0.88335,-1.83268,0.88335,1,14.26598
6,4,68,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,1509,False,2,490388,667,1.35137,1.70507,1.35137,1.70507,1,-8.39893
6,5,69,120.00000,-4.00000,6.92820,0,True,110.00000,122.25000,2.25000,1730,False,2,494491,951,-1.18476,1.74615,-1.18476,1.74615,1,4.15683
6,6,70,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1690,False,2,499295,567,-1.11071,1.93104,-1.11071,1.93104,1,19.90697
6,7,71,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2379,False,2,504132,651,0.66643,2.15701,0.66643,2.15701,1,-7.16906
6,8,72,160.00000,-7.51754,2.73616,0,True,150.00000,158.25000,-1.75000,1813,False,2,508118,734,-2.03631,1.02715,-2.03631,1.02715,1,-6.76717
6,9,73,100.00000,-1.38919,7.87846,0,True,90.00000,98.00000,-2.00000,1474,False,2,512855,634,-0.59238,2.30081,-0.59238,2.30081,1,4.43813
6,10,74,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,1942,False,2,517342,651,-1.88821,0.71900,-1.88821,0.71900,1,-0.84603
6,11,75,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,1913,False,2,524781,4070,1.99929,0.76009,1.99929,0.76009,1,0.81580
6,12,76,140.00000,-6.12836,5.14230,0,True,130.00000,138.25000,-1.75000,1702,False,2,528784,1017,-1.96226,0.96552,-1.96226,0.96552,1,13.80074
6,13,77,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2609,False,2,535389,1918,0.77750,2.01321,0.77750,2.01321,1,-11.11652
6,14,78,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,1590,False,2,540293,1902,1.25881,1.66398,1.25881,1.66398,1,-7.10771
6,15,79,120.00000,-4.00000,6.92820,0,True,110.00000,122.25000,2.25000,1873,False,2,545113,917,-0.88857,2.01321,-0.88857,2.01321,1,-6.18479
6,16,80,40.00000,6.12836,5.14230,0,True,30.00000,40.50000,0.50000,1677,False,2,549350,851,2.07333,1.12986,2.07333,1.12986,1,-11.41185
7,1,81,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,3736,False,2,633214,2018,1.03667,1.78724,1.03667,1.78724,1,-0.11543
7,2,82,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,1740,False,2,637751,784,0.46280,2.09538,0.46280,2.09538,1,-2.45478
7,3,83,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,1642,False,2,642188,767,2.01780,1.06823,2.01780,1.06823,1,7.89689
7,4,84,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1945,False,2,647542,1735,-1.98077,0.57520,-1.98077,0.57520,1,3.80712
7,5,85,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,1640,False,2,652329,1601,-1.90673,1.21203,-1.90673,1.21203,1,7.55755
7,6,86,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,1456,False,2,656599,901,-0.46280,2.11593,-0.46280,2.11593,1,2.33754
7,7,87,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1962,False,2,662253,2268,-1.25881,1.91050,-1.25881,1.91050,1,3.38050
7,8,88,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,1801,False,2,668175,1385,1.49946,1.35584,1.49946,1.35584,1,2.12048
8,1,89,160.00000,-7.51754,2.73616,-60,True,150.00000,158.25000,-1.75000,2742,False,2,673412,901,-1.92524,0.71900,-0.33994,2.02681,1,-0.47865
8,2,90,140.00000,-6.12836,5.14230,-60,True,130.00000,137.75000,-2.25000,2319,False,2,687740,1034,-1.74012,1.02715,0.01948,2.02056,1,9.44769
8,3,91,20.00000,7.51754,2.73616,-60,True,10.00000,19.75000,-0.25000,2375,False,2,698982,817,1.94375,0.67792,1.55897,-1.34438,1,-0.77281
8,4,92,40.00000,6.12836,5.14230,-60,True,30.00000,38.50000,-1.50000,33304,False,2,741548,1968,1.68458,1.60235,2.22997,-0.65772,1,3.56692
8,5,93,80.00000,1.38919,7.87846,-60,True,70.00000,79.75000,-0.25000,5059,False,2,770587,2652,0.09256,2.01321,1.78977,0.92645,1,7.36760
8,6,94,100.00000,-1.38919,7.87846,-60,True,90.00000,100.75000,0.75000,3925,False,2,786233,2118,1.42542,1.47909,1.99364,-0.49490,1,-53.94140
8,7,95,60.00000,4.00000,6.92820,-60,True,50.00000,58.75000,-1.25000,5609,False,2,802629,2135,0.48131,1.95158,1.93077,0.55896,1,16.14586
8,8,96,120.00000,-4.00000,6.92820,-60,True,110.00000,119.75000,-0.25000,2438,False,2,819942,4987,-2.66571,0.34923,-1.03041,2.48319,1,52.53629
8,9,97,20.00000,7.51754,2.73616,-60,True,10.00000,20.00000,0.00000,1970,False,2,832602,4069,1.33286,1.49964,1.96515,-0.40447,1,28.36973
8,10,98,160.00000,-7.51754,2.73616,-60,True,150.00000,159.00000,-1.00000,3440,False,2,845212,2385,-2.01780,-0.41086,-1.36471,1.54203,1,31.50911
8,11,99,100.00000,-1.38919,7.87846,-60,True,90.00000,99.50000,-0.50000,1995,False,2,855770,3486,-1.14774,1.68452,0.88497,1.83623,1,24.26838
8,12,100,140.00000,-6.12836,5.14230,-60,True,130.00000,138.75000,-1.25000,1597,False,2,862592,1434,-2.01780,0.22597,-0.81320,1.86045,1,33.61017
8,13,101,120.00000,-4.00000,6.92820,-60,True,110.00000,121.00000,1.00000,1663,False,2,872049,1801,-1.79565,1.21203,0.15183,2.16110,1,25.98139
8,14,102,40.00000,6.12836,5.14230,-60,True,30.00000,37.50000,-2.50000,1566,False,2,879438,1083,-1.16625,-1.93104,-2.25545,0.04448,1,-161.12984
8,15,103,80.00000,1.38919,7.87846,-60,True,70.00000,79.50000,-0.50000,1897,False,2,888512,1718,-0.59238,1.99267,1.42951,1.50935,1,26.55614
8,16,104,60.00000,4.00000,6.92820,-60,True,50.00000,58.50000,-1.50000,2701,False,2,896301,1401,0.03702,2.03375,1.77979,0.98481,1,28.95717
8,17,105,160.00000,-7.51754,2.73616,-60,True,150.00000,159.50000,-0.50000,2416,False,2,906175,2118,-1.98077,-0.53412,-1.45295,1.44834,1,35.09103
8,18,106,80.00000,1.38919,7.87846,-60,True,70.00000,79.00000,-1.00000,2868,False,2,913998,1467,-0.42577,2.07484,1.58398,1.40615,1,21.59646
8,19,107,20.00000,7.51754,2.73616,-60,True,10.00000,18.25000,-1.75000,1366,False,2,921388,1051,1.57351,1.25312,1.87199,-0.73614,1,18.53330
8,20,108,60.00000,4.00000,6.92820,-60,True,50.00000,60.75000,0.75000,1467,False,2,928626,1050,-0.22214,2.07484,1.68579,1.22980,1,36.11102
8,21,109,100.00000,-1.38919,7.87846,-60,True,90.00000,101.00000,1.00000,1335,False,2,935082,1051,-0.98113,1.80778,1.07502,1.75357,1,18.48985
8,22,110,140.00000,-6.12836,5.14230,-60,True,130.00000,138.50000,-1.50000,3836,False,2,945423,2035,-1.88821,1.02715,-0.05457,2.14882,1,11.45466
8,23,111,120.00000,-4.00000,6.92820,-60,True,110.00000,119.50000,-0.50000,1230,False,2,953779,1468,-1.90673,0.69846,-0.34848,2.00050,1,39.88156
8,24,112,40.00000,6.12836,5.14230,-60,True,30.00000,40.25000,0.25000,1167,False,2,959400,767,1.14774,1.70507,2.05050,-0.14144,1,16.05418
8,25,113,20.00000,7.51754,2.73616,-60,True,10.00000,19.00000,-1.00000,2494,False,2,972077,1618,1.25881,1.58181,1.99929,-0.29926,1,31.48710
8,26,114,40.00000,6.12836,5.14230,-60,True,30.00000,38.00000,-2.00000,1029,False,2,979299,1001,0.72196,1.86941,1.97994,0.30947,1,28.88360
8,27,115,160.00000,-7.51754,2.73616,-60,True,150.00000,159.50000,-0.50000,1158,False,2,991508,1517,-2.03631,0.08217,-0.94699,1.80458,1,17.68923
8,28,116,140.00000,-6.12836,5.14230,-60,True,130.00000,141.00000,1.00000,1801,False,2,999298,1301,-2.22143,-0.18489,-1.27083,1.83137,1,44.75777
8,29,117,100.00000,-1.38919,7.87846,-60,True,90.00000,99.75000,-0.25000,1305,False,2,1005502,1267,-1.83268,0.94498,-0.09797,2.05963,1,52.72313
8,30,118,120.00000,-4.00000,6.92820,-60,True,110.00000,119.50000,-0.50000,1632,False,2,1015143,2735,-6.75685,0.88335,-2.61342,6.29327,1,52.55174
8,31,119,80.00000,1.38919,7.87846,-60,True,70.00000,80.00000,0.00000,1660,False,2,1023550,1818,-1.44393,1.43801,0.52339,1.96948,1,55.11770
8,32,120,60.00000,4.00000,6.92820,-60,True,50.00000,60.00000,0.00000,1947,False,2,1033824,2718,-0.81452,1.82832,1.17611,1.61956,1,54.01306
8,33,121,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,1429,False,2,1042081,1835,-0.46280,2.05430,1.54767,1.42794,1,42.69585
8,34,122,140.00000,-6.12836,5.14230,-60,True,130.00000,138.50000,-1.50000,985,False,2,1047952,917,-2.12887,0.04109,-1.02885,1.86420,1,38.89425
8,35,123,20.00000,7.51754,2.73616,-60,True,10.00000,19.00000,-1.00000,2255,False,2,1054440,950,1.77714,1.17095,1.90264,-0.95358,1,13.38072
8,36,124,100.00000,-1.38919,7.87846,-60,True,90.00000,100.50000,0.50000,1679,False,2,1064348,1251,-1.79565,1.06823,0.02729,2.08920,1,49.25164
8,37,125,120.00000,-4.00000,6.92820,-60,True,110.00000,120.25000,0.25000,1635,False,2,1071754,1068,-1.98077,0.32869,-0.70574,1.87974,1,50.57816
8,38,126,40.00000,6.12836,5.14230,-60,True,30.00000,38.50000,-1.50000,895,False,2,1078525,1467,0.24065,2.03375,1.88161,0.80846,1,43.25167
8,39,127,80.00000,1.38919,7.87846,-60,True,70.00000,79.25000,-0.75000,2085,False,2,1086715,2101,-1.29583,1.54072,0.68639,1.89259,1,50.06568
8,40,128,160.00000,-7.51754,2.73616,-60,True,150.00000,158.00000,-2.00000,1369,False,2,1103178,3736,-6.16446,-2.30081,-5.07479,4.18818,1,40.46748
8,41,129,20.00000,7.51754,2.73616,-60,True,10.00000,18.25000,-1.75000,1276,False,2,1110267,1268,1.33286,1.52018,1.98294,-0.39420,1,28.75644
8,42,130,120.00000,-4.00000,6.92820,-60,True,110.00000,120.75000,0.75000,2424,False,2,1125178,1601,-1.99929,0.34923,-0.69720,1.90605,1,50.09171
8,43,131,160.00000,-7.51754,2.73616,-60,True,150.00000,159.50000,-0.50000,1371,False,2,1130249,901,-2.09185,-0.34923,-1.34836,1.63698,1,29.47800
8,44,132,40.00000,6.12836,5.14230,-60,True,30.00000,38.75000,-1.25000,936,False,2,1135653,1117,0.37024,1.99267,1.91082,0.67570,1,39.47442
8,45,133,60.00000,4.00000,6.92820,-60,True,50.00000,58.25000,-1.75000,1244,False,2,1144476,1150,-0.46280,1.99267,1.49430,1.39713,1,43.07521
8,46,134,80.00000,1.38919,7.87846,-60,True,70.00000,80.75000,0.75000,1482,False,2,1151916,968,-0.92560,1.78724,1.08500,1.69521,1,37.37935
8,47,135,100.00000,-1.38919,7.87846,-60,True,90.00000,101.50000,1.50000,1886,False,2,1158987,1033,-1.90673,1.02715,-0.06383,2.16485,1,51.68878
8,48,136,140.00000,-6.12836,5.14230,-60,True,130.00000,138.00000,-2.00000,1036,False,2,1164742,951,-2.12887,-0.63683,-1.61595,1.52524,1,56.65402
8,49,137,40.00000,6.12836,5.14230,-60,True,30.00000,41.25000,1.25000,2072,False,2,1171030,1167,1.12923,1.72561,2.05903,-0.11513,1,16.79948
8,50,138,20.00000,7.51754,2.73616,-60,True,10.00000,21.00000,1.00000,1601,False,2,1177302,901,0.90708,1.78724,2.00133,0.10806,1,43.09079
8,51,139,120.00000,-4.00000,6.92820,-60,True,110.00000,118.75000,-1.25000,1572,False,2,1183590,1268,-1.33286,1.52018,0.65009,1.91438,1,11.24356
8,52,140,100.00000,-1.38919,7.87846,-60,True,90.00000,98.50000,-1.50000,1400,False,2,1190178,733,-1.85119,0.86280,-0.17838,2.03458,1,55.01078
