task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360546,0,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360563,17,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360579,33,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360596,50,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360613,67,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360629,83,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360646,100,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360663,117,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360679,133,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360696,150,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360713,167,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360730,184,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360746,200,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360763,217,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360780,234,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360796,250,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360813,267,0.59238,-0.06163,0.24282,-0.54383,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360830,284,0.61089,-0.08217,0.23428,-0.57013,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360846,300,0.59238,-0.08217,0.22503,-0.55410,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360863,317,0.59238,-0.10271,0.20724,-0.56437,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360880,334,0.59238,-0.10271,0.20724,-0.56437,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360896,350,0.57387,-0.12326,0.18019,-0.55861,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360913,367,0.51833,-0.12326,0.15242,-0.51052,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360929,383,0.46280,-0.12326,0.12465,-0.46242,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360946,400,0.38875,-0.12326,0.08763,-0.39830,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360963,417,0.31470,-0.12326,0.05061,-0.33417,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360980,434,0.25917,-0.10271,0.04063,-0.27580,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1360996,450,0.22214,-0.08217,0.03991,-0.23347,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361013,467,0.16661,-0.08217,0.01214,-0.18537,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361030,484,0.16661,-0.08217,0.01214,-0.18537,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361046,500,0.16661,-0.08217,0.01214,-0.18537,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361063,517,0.16661,-0.08217,0.01214,-0.18537,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361080,534,0.18512,-0.08217,0.02140,-0.20140,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361096,550,0.18512,-0.08217,0.02140,-0.20140,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361113,567,0.20363,-0.10271,0.01286,-0.22771,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361130,584,0.22214,-0.10271,0.02212,-0.24374,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361146,600,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361163,617,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361180,634,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361197,651,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361213,667,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361230,684,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361247,701,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361263,717,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361280,734,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361297,751,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361313,767,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361330,784,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361347,801,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361363,817,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361380,834,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361397,851,0.22214,-0.12326,0.00433,-0.25401,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,0,1361413,867,0.22214,-0.10271,0.02212,-0.24374,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361430,884,0.22214,-0.10271,0.02212,-0.24374,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361447,901,0.22214,-0.10271,0.02212,-0.24374,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361463,917,0.22214,-0.10271,0.02212,-0.24374,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361480,934,0.22214,-0.10271,0.02212,-0.24374,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361497,951,0.22214,-0.10271,0.02212,-0.24374,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361513,967,0.22214,-0.10271,0.02212,-0.24374,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361530,984,0.20363,-0.10271,0.01286,-0.22771,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361547,1001,0.16661,-0.10271,-0.00565,-0.19564,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361563,1017,0.14810,-0.10271,-0.01491,-0.17961,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361580,1034,0.09256,-0.12326,-0.06046,-0.14179,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361597,1051,0.05554,-0.12326,-0.07898,-0.10972,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361614,1068,0.01851,-0.12326,-0.09749,-0.07766,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361630,1084,0.00000,-0.12326,-0.10674,-0.06163,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361647,1101,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361664,1118,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361680,1134,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361697,1151,-0.03702,-0.12326,-0.12526,-0.02957,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361714,1168,-0.03702,-0.10271,-0.10747,-0.01929,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361730,1184,-0.03702,-0.10271,-0.10747,-0.01929,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361747,1201,-0.01851,-0.10271,-0.09821,-0.03533,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,1,1361764,1218,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1361780,1234,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1361797,1251,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1361814,1268,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1361830,1284,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1361847,1301,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1361864,1318,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1361880,1334,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1361897,1351,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1361914,1368,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1361930,1384,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1361947,1401,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1361964,1418,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1361980,1434,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1361997,1451,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362014,1468,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362030,1484,-0.01851,-0.12326,-0.11600,-0.04560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362047,1501,0.00000,-0.10271,-0.08895,-0.05136,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362064,1518,0.01851,-0.08217,-0.06191,-0.05712,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362081,1535,0.03702,-0.04109,-0.01707,-0.05261,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362097,1551,0.05554,0.02054,0.04556,-0.03782,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362114,1568,0.12958,0.14380,0.18933,-0.04032,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362130,1584,0.18512,0.26706,0.32384,-0.02679,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362147,1601,0.24065,0.39032,0.45835,-0.01325,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362164,1618,0.27768,0.49303,0.56582,0.00604,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362181,1635,0.29619,0.61629,0.68182,0.05164,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362197,1651,0.27768,0.67792,0.72593,0.09848,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362214,1668,0.25917,0.76009,0.78784,0.15560,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362231,1685,0.22214,0.80118,0.80491,0.20821,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362247,1701,0.11107,0.82172,0.76716,0.31467,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362264,1718,-0.01851,0.78063,0.66679,0.40635,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362281,1735,-0.12958,0.71900,0.55788,0.47172,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362297,1751,-0.22214,0.63683,0.44044,0.51080,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362314,1768,-0.29619,0.57520,0.35005,0.54411,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362331,1785,-0.31470,0.55466,0.32300,0.54987,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362348,1802,-0.31470,0.57520,0.34079,0.56014,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362364,1818,-0.35173,0.61629,0.35786,0.61275,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362381,1835,-0.40726,0.69846,0.40125,0.70193,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362397,1851,-0.44429,0.80118,0.47170,0.78535,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362414,1868,-0.48131,0.98606,0.61330,0.90986,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362431,1885,-0.49982,1.19149,0.78195,1.02860,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362447,1901,-0.51833,1.37638,0.93281,1.13708,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362464,1918,-0.51833,1.45855,1.00398,1.17817,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362481,1935,-0.53685,1.60235,1.11925,1.26610,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362498,1952,-0.55536,1.72561,1.21674,1.34376,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362514,1968,-0.57387,1.84887,1.31423,1.42142,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362531,1985,-0.59238,1.95158,1.39393,1.48881,1
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362547,2001,-0.61089,2.05430,1.47363,1.55620,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362564,2018,-0.62940,2.15701,1.55332,1.62359,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362581,2035,-0.64792,2.23918,1.61523,1.68070,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362597,2051,-0.66643,2.36244,1.71272,1.75836,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362614,2068,-0.70345,2.46516,1.78316,1.84179,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362631,2085,-0.72196,2.58841,1.88065,1.91945,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362648,2102,-0.72196,2.71167,1.98739,1.98107,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362664,2118,-0.75899,2.79384,2.04004,2.05422,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362681,2135,-0.81452,2.81439,2.03007,2.11259,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362698,2152,-0.85155,2.81439,2.01156,2.14465,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362714,2168,-0.88857,2.83493,2.01083,2.18699,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362731,2185,-0.92560,2.89656,2.04569,2.24987,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362748,2202,-1.03667,3.04036,2.11469,2.41796,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362764,2218,-1.11071,3.14307,2.16662,2.53344,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362781,2235,-1.20327,3.22525,2.19151,2.65469,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362798,2252,-1.29583,3.32796,2.23418,2.78620,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362814,2268,-1.36988,3.53339,2.37506,2.95305,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362831,2285,-1.40690,3.82099,2.60562,3.12891,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362848,2302,-1.42542,3.94425,2.70311,3.20657,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362864,2318,-1.46244,4.02642,2.75576,3.27972,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362881,2335,-1.49946,4.10859,2.80841,3.35287,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362898,2352,-1.55500,4.19076,2.85181,3.44205,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362915,2369,-1.59202,4.25239,2.88667,3.50493,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362931,2385,-1.64756,4.31402,2.91227,3.58384,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362948,2402,-1.68458,4.37565,2.94713,3.64672,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362964,2418,-1.74012,4.45782,2.99053,3.73590,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362981,2435,-1.79565,4.58108,3.06950,3.84562,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1362998,2452,-1.85119,4.70434,3.14848,3.95535,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1363014,2468,-1.90673,4.84814,3.24525,4.07534,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1363031,2485,-1.94375,4.95085,3.31569,4.15876,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1363048,2502,-1.99929,5.05357,3.37688,4.25822,0
8,57,145,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5346,False,2,1363065,2519,-2.05482,5.13574,3.42027,4.34740,0
