task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,4537,False,2,48445,3453,1.07369,2.05430,1.07369,2.05430,1,2.40596
2,2,2,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,2157,False,2,53632,1017,-1.55500,1.39692,-1.55500,1.39692,1,-21.93465
2,3,3,140.00000,-6.12836,5.14230,0,True,130.00000,141.50000,1.50000,2274,False,2,60004,1852,-1.81417,1.23258,-1.81417,1.23258,1,5.80710
2,4,4,120.00000,-4.00000,6.92820,0,True,110.00000,121.00000,1.00000,4540,False,2,67760,868,-1.36988,1.70507,-1.36988,1.70507,1,8.77894
2,5,5,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,3192,False,2,74432,834,0.24065,2.81439,0.24065,2.81439,1,5.11270
2,6,6,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,2289,False,2,81237,1401,1.64756,1.58181,1.64756,1.58181,1,3.83362
2,7,7,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,3607,False,2,89743,2418,2.09185,1.17095,2.09185,1.17095,1,9.23869
2,8,8,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1755,False,2,94814,1351,-0.27768,2.11593,-0.27768,2.11593,1,-2.52362
2,9,9,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,2376,False,2,100001,950,-1.40690,1.82832,-1.40690,1.82832,1,7.57843
2,10,10,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,2425,False,2,105955,1334,0.99964,2.32135,0.99964,2.32135,1,6.70190
2,11,11,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,1741,False,2,112027,2352,-1.66607,1.19149,-1.66607,1.19149,1,4.42954
2,12,12,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,1755,False,2,117448,1901,2.23994,1.56127,2.23994,1.56127,1,14.87704
2,13,13,80.00000,1.38919,7.87846,0,True,70.00000,77.75000,-2.25000,4425,False,2,124920,1351,0.98113,2.54733,0.98113,2.54733,1,-11.06470
