task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455661,0,-0.37024,0.28760,0.06395,0.46444,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455678,17,-0.37024,0.28760,0.06395,0.46444,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455694,33,-0.37024,0.28760,0.06395,0.46444,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455711,50,-0.37024,0.28760,0.06395,0.46444,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455728,67,-0.37024,0.28760,0.06395,0.46444,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455744,83,-0.37024,0.28760,0.06395,0.46444,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455761,100,-0.37024,0.30814,0.08174,0.47471,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455778,117,-0.37024,0.30814,0.08174,0.47471,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455795,134,-0.37024,0.30814,0.08174,0.47471,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455811,150,-0.37024,0.30814,0.08174,0.47471,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455828,167,-0.35173,0.30814,0.09100,0.45868,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455844,183,-0.35173,0.30814,0.09100,0.45868,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455861,200,-0.35173,0.30814,0.09100,0.45868,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455878,217,-0.33321,0.30814,0.10025,0.44264,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455895,234,-0.31470,0.30814,0.10951,0.42661,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455911,250,-0.29619,0.32869,0.13656,0.42085,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455928,267,-0.27768,0.32869,0.14581,0.40482,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455945,284,-0.25917,0.32869,0.15507,0.38879,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455961,300,-0.24065,0.34923,0.18211,0.38303,0
8,87,175,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2020,False,0,1455978,317,-0.22214,0.34923,0.19137,0.36700,0
