task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,8790,False,2,65350,5987,1.01815,1.86941,1.01815,1.86941,1,1.42565
2,2,2,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,4052,False,2,73056,1701,-2.01780,0.43140,-2.01780,0.43140,1,7.93201
2,3,3,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,3201,False,2,83614,3419,1.35137,1.49964,1.35137,1.49964,1,7.97705
2,4,4,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,3702,False,2,91270,1451,-1.57351,1.33529,-1.57351,1.33529,1,-0.31814
2,5,5,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,4493,False,2,99693,2068,-1.12923,1.72561,-1.12923,1.72561,1,3.20052
2,6,6,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,2373,False,2,105681,1484,1.79565,0.92443,1.79565,0.92443,1,7.24015
2,7,7,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,2423,False,2,111069,667,-0.33321,2.03375,-0.33321,2.03375,1,-0.69532
2,8,8,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,2144,False,2,116256,750,0.35173,2.07484,0.35173,2.07484,1,0.37860
2,9,9,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,1910,False,2,121327,934,-1.22179,1.80778,-1.22179,1.80778,1,4.05284
2,10,10,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,2026,False,2,128499,2936,0.11107,2.19810,0.11107,2.19810,1,7.10730
2,11,11,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,2070,False,2,134920,2501,1.35137,1.52018,1.35137,1.52018,1,8.36438
2,12,12,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2138,False,2,139691,751,-2.05482,0.78063,-2.05482,0.78063,1,-0.80188
2,13,13,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,2092,False,2,144795,901,1.86970,1.21203,1.86970,1.21203,1,12.95326
2,14,14,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,2359,False,2,152034,2802,-0.44429,2.34190,-0.44429,2.34190,1,0.74212
2,15,15,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,1869,False,2,157805,1918,-1.64756,1.58181,-1.64756,1.58181,1,-3.83362
2,16,16,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,2137,False,2,163826,1601,0.85155,1.88995,0.85155,1.88995,1,5.74522
2,17,17,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,1991,False,2,168513,900,0.42577,1.99267,0.42577,1.99267,1,-2.06092
2,18,18,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,2126,False,2,173851,851,-1.86970,0.94498,-1.86970,0.94498,1,-6.81285
2,19,19,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,1960,False,2,178938,1318,-0.88857,1.86941,-0.88857,1.86941,1,-4.57727
2,20,20,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,1891,False,2,184909,2351,2.07333,0.71900,2.07333,0.71900,1,-0.87421
2,21,21,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1568,False,2,189563,734,-0.25917,2.19810,-0.25917,2.19810,1,-3.27551
2,22,22,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,3313,False,2,195501,851,-1.66607,1.29421,-1.66607,1.29421,1,2.15979
2,23,23,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,4312,False,2,203424,1852,1.38839,1.62289,1.38839,1.62289,1,9.45286
2,24,24,60.00000,4.00000,6.92820,0,True,50.00000,58.50000,-1.50000,1673,False,2,207910,784,1.07369,1.86941,1.07369,1.86941,1,0.12922
3,1,25,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,2644,False,2,213581,1334,-1.38839,1.45855,-1.53294,1.28629,1,-6.41171
3,2,26,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,3695,False,2,219286,850,-0.66643,1.97212,-0.35735,2.02662,1,8.67143
3,3,27,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,2781,False,2,224540,1401,1.79565,1.29421,2.00155,0.72851,1,15.78208
3,4,28,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1692,False,2,228960,1201,-1.92524,0.88335,-1.98393,0.72209,1,-4.64688
3,5,29,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2710,False,2,234364,1017,1.33286,2.01321,1.77347,1.48811,1,16.49317
3,6,30,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,1545,False,2,237884,801,-0.96262,1.80778,-1.02345,1.77266,1,-1.96526
3,7,31,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,1962,False,2,242070,734,0.61089,2.07484,1.05115,1.82065,1,13.59412
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,3414,False,2,249526,2602,-0.03702,2.23918,0.38181,2.16533,1,10.94718
3,9,33,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,1773,False,2,253763,884,-1.94375,1.35584,-2.15213,0.78331,1,-14.89725
3,10,34,40.00000,6.12836,5.14230,0,True,30.00000,40.50000,0.50000,2758,False,2,260751,2034,1.48095,1.39692,1.55691,1.30640,1,3.32751
3,11,35,100.00000,-1.38919,7.87846,0,True,90.00000,98.75000,-1.25000,2104,False,2,266155,1284,-0.25917,2.15701,-0.37669,2.13629,1,-3.14862
3,12,36,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,2026,False,2,270776,817,1.83268,1.31475,2.04085,0.74281,1,15.65536
