task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369148,0,0.20363,0.28760,0.05532,0.31375,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369164,16,0.20363,0.28760,0.05532,0.31375,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369181,33,0.20363,0.28760,0.05532,0.31375,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369197,49,0.20363,0.28760,0.05532,0.31375,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369214,66,0.20363,0.28760,0.05532,0.31375,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369231,83,0.20363,0.28760,0.05532,0.31375,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369247,99,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369264,116,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369281,133,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369297,149,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369314,166,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369331,183,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369347,199,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369364,216,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369381,233,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369397,249,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369414,266,0.20363,0.28760,0.05532,0.31375,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369431,283,0.20363,0.28760,0.05532,0.31375,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369447,299,0.20363,0.28760,0.05532,0.31375,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369464,316,0.20363,0.28760,0.05532,0.31375,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369481,333,0.20363,0.28760,0.05532,0.31375,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369497,349,0.20363,0.28760,0.05532,0.31375,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369514,366,0.20363,0.28760,0.05532,0.31375,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369531,383,0.20363,0.28760,0.05532,0.31375,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369548,400,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369564,416,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369581,433,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369597,449,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369614,466,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369631,483,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369648,500,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369664,516,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369681,533,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369698,550,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369714,566,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369731,583,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369748,600,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369764,616,0.18512,0.28760,0.05476,0.31059,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369781,633,0.16661,0.26706,0.05069,0.28750,0
9,3,211,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1393,False,0,1369798,650,0.12958,0.24652,0.04606,0.26124,0
