task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,0,360521,0,0.03702,-0.06163,-0.01743,-0.03019,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360537,16,0.03702,-0.06163,-0.01743,-0.03019,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360554,33,0.03702,-0.06163,-0.01743,-0.03019,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360571,50,0.03702,-0.06163,-0.01743,-0.03019,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360587,66,0.03702,-0.06163,-0.01743,-0.03019,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360604,83,0.03702,-0.06163,-0.01743,-0.03019,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360621,100,0.01851,-0.06163,-0.02206,-0.03821,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360637,116,0.01851,-0.06163,-0.02206,-0.03821,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360654,133,0.00000,-0.06163,-0.02669,-0.04622,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360671,150,0.00000,-0.06163,-0.02669,-0.04622,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360687,166,0.00000,-0.06163,-0.02669,-0.04622,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360704,183,0.00000,-0.04109,-0.01779,-0.03081,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360721,200,0.01851,-0.04109,-0.01316,-0.02280,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360737,216,0.01851,-0.04109,-0.01316,-0.02280,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360754,233,0.01851,-0.06163,-0.02206,-0.03821,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360771,250,0.03702,-0.06163,-0.01743,-0.03019,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360788,267,0.03702,-0.06163,-0.01743,-0.03019,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360804,283,0.03702,-0.06163,-0.01743,-0.03019,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360821,300,0.03702,-0.06163,-0.01743,-0.03019,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360838,317,0.03702,-0.06163,-0.01743,-0.03019,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360854,333,0.03702,-0.06163,-0.01743,-0.03019,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,1,360871,350,0.03702,-0.06163,-0.01743,-0.03019,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,2,360888,367,0.01851,-0.06163,-0.02206,-0.03821,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,2,360904,383,0.00000,-0.08217,-0.03558,-0.06163,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,2,360921,400,-0.01851,-0.10271,-0.04910,-0.08505,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,2,360938,417,-0.07405,-0.14380,-0.08078,-0.13991,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,2,360954,433,-0.11107,-0.16434,-0.09893,-0.17135,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,2,360971,450,-0.14810,-0.18489,-0.11708,-0.20279,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,2,360988,467,-0.18512,-0.22597,-0.14413,-0.24964,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,2,361004,483,-0.22214,-0.22597,-0.15338,-0.26567,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,2,361021,500,-0.25917,-0.26706,-0.18043,-0.31252,0
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,2,361038,517,-0.27768,-0.26706,-0.18506,-0.32053,0
