task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool
5,14,62,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,2300,False,0,699758,0,0.01851,0.10271,0.01851,0.10271,0
5,14,62,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,2300,False,1,699775,17,0.01851,0.10271,0.01851,0.10271,0
5,14,62,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,2300,False,1,699791,33,0.01851,0.10271,0.01851,0.10271,0
5,14,62,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,2300,False,1,699808,50,0.03702,0.10271,0.03702,0.10271,0
5,14,62,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,2300,False,1,699825,67,0.05554,0.10271,0.05554,0.10271,0
5,14,62,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,2300,False,1,699842,84,0.05554,0.10271,0.05554,0.10271,0
5,14,62,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,2300,False,1,699858,100,0.05554,0.10271,0.05554,0.10271,0
5,14,62,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,2300,False,1,699875,117,0.07405,0.10271,0.07405,0.10271,0
5,14,62,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,2300,False,1,699892,134,0.09256,0.10271,0.09256,0.10271,0
5,14,62,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,2300,False,1,699908,150,0.09256,0.10271,0.09256,0.10271,0
5,14,62,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,2300,False,1,699925,167,0.09256,0.10271,0.09256,0.10271,0
