task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,6588,False,2,68640,14961,1.59202,1.29421,1.59202,1.29421,1,-0.89111
2,2,2,160.00000,-7.51754,2.73616,0,True,150.00000,160.75000,0.75000,5328,False,2,80266,1351,-1.98077,0.53412,-1.98077,0.53412,1,4.90897
2,3,3,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,5316,False,2,101732,1100,-0.70345,1.93104,-0.70345,1.93104,1,10.01595
2,4,4,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2616,False,2,111490,1851,0.53685,1.95158,0.53685,1.95158,1,-5.38077
2,5,5,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,2099,False,2,120430,2168,1.11071,1.74615,1.11071,1.74615,1,-2.46007
2,6,6,20.00000,7.51754,2.73616,0,True,10.00000,17.50000,-2.50000,1436,False,2,127119,2469,1.81417,1.10932,1.81417,1.10932,1,11.44475
2,7,7,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,1485,False,2,133724,2518,-1.66607,1.27366,-1.66607,1.27366,1,2.60318
2,8,8,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,1436,False,2,138995,1017,-0.85155,2.01321,-0.85155,2.01321,1,-7.07255
2,9,9,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,1889,False,2,144832,950,-0.35173,1.97212,-0.35173,1.97212,1,0.11244
2,10,10,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,1389,False,2,150253,1017,-1.61054,1.23258,-1.61054,1.23258,1,2.57241
2,11,11,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,1815,False,2,158710,1101,0.24065,1.99267,0.24065,1.99267,1,3.11387
2,12,12,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,3058,False,2,166199,1868,1.75863,0.98606,1.75863,0.98606,1,9.27925
2,13,13,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,1450,False,2,171937,1018,1.44393,1.58181,1.44393,1.58181,1,7.60911
2,14,14,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,1486,False,2,177925,951,1.20327,1.60235,1.20327,1.60235,1,-6.90438
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1301,False,2,184029,2101,-2.05482,0.63683,-2.05482,0.63683,1,2.78074
2,16,16,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,1452,False,2,189100,734,-1.05518,1.74615,-1.05518,1.74615,1,1.14413
2,17,17,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1340,False,2,193787,684,-1.86970,0.71900,-1.86970,0.71900,1,-1.03443
2,18,18,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1291,False,2,199208,1618,1.16625,1.78724,1.16625,1.78724,1,-3.12615
2,19,19,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,1573,False,2,203678,767,1.85119,0.92443,1.85119,0.92443,1,6.53620
2,20,20,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,1342,False,2,209499,1985,-1.55500,1.29421,-1.55500,1.29421,1,0.22975
2,21,21,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,1386,False,2,214670,984,0.68494,2.07484,0.68494,2.07484,1,-8.26894
2,22,22,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,1490,False,2,219490,934,1.51798,1.33529,1.51798,1.33529,1,1.33645
2,23,23,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1558,False,2,224511,1085,-1.09220,1.91050,-1.09220,1.91050,1,-0.24414
2,24,24,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1487,False,2,229798,934,-0.25917,2.09538,-0.25917,2.09538,1,-2.94910
3,1,25,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,1488,False,2,235119,934,-1.98077,0.59575,-1.94054,0.70630,1,3.26045
3,2,26,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,1324,False,2,240106,951,0.61089,2.09538,0.37675,2.13667,1,-6.25359
3,3,27,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,1440,False,2,245143,1034,1.25881,1.66398,1.03523,1.79307,1,-7.10771
3,4,28,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,1572,False,2,250330,917,-0.75899,2.07484,-0.37770,2.14207,1,10.09285
3,5,29,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,1291,False,2,254684,734,-1.64756,1.21203,-1.56364,1.31205,1,3.65989
3,6,30,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,1291,False,2,259454,867,2.01780,0.51357,1.94682,0.70858,1,-5.72029
3,7,31,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,1375,False,2,263741,917,-1.31435,1.56127,-1.00463,1.74008,1,10.09224
3,8,32,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1426,False,2,267894,901,1.57351,1.27366,1.55053,1.30105,1,-1.01195
3,9,33,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,1560,False,2,272264,934,1.59202,1.23258,1.54116,1.29319,1,-2.25211
3,10,34,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,1443,False,2,276167,700,-1.75863,1.12986,-1.58836,1.33279,1,7.28063
3,11,35,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,1594,False,2,281388,1718,1.29583,1.60235,1.01780,1.76288,1,-8.96267
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2390,False,2,286992,984,-0.35173,2.01321,-0.35489,2.01265,1,-0.08982
3,13,37,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,1492,False,2,291729,950,0.59238,1.95158,0.35160,1.99404,1,-6.88507
3,14,38,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,1440,False,2,296916,1100,-2.05482,0.61629,-2.01252,0.73250,1,3.30475
3,15,39,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,3076,False,2,303338,950,1.98077,0.69846,1.97355,0.71831,1,-0.57631
3,16,40,120.00000,-4.00000,6.92820,0,True,110.00000,121.00000,1.00000,1708,False,2,308142,717,-0.98113,1.78724,-1.01918,1.76527,1,-1.23481
4,1,41,160.00000,-7.51754,2.73616,0,True,150.00000,160.75000,0.75000,2026,False,2,313746,1501,-1.86970,0.92443,-1.86970,0.92443,1,-6.30903
4,2,42,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,1506,False,2,318216,717,-1.09220,1.74615,-1.09220,1.74615,1,2.02558
4,3,43,80.00000,1.38919,7.87846,0,True,70.00000,81.00000,1.00000,1627,False,2,323136,1133,0.51833,1.99267,0.51833,1.99267,1,-4.58057
4,4,44,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,1741,False,2,327807,717,0.96262,1.76669,0.96262,1.76669,1,1.41527
4,5,45,140.00000,-6.12836,5.14230,0,True,130.00000,141.00000,1.00000,2309,False,2,333444,883,-1.74012,1.12986,-1.74012,1.12986,1,7.00433
4,6,46,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1508,False,2,339516,2485,-0.22214,2.13647,-0.22214,2.13647,1,-4.06399
4,7,47,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,1954,False,2,344970,1634,1.99929,0.61629,1.99929,0.61629,1,-2.86785
