task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2768,False,2,39651,4620,-0.55536,2.13647,-0.55536,2.13647,1,4.57115
2,2,2,80.00000,1.38919,7.87846,0,True,70.00000,81.00000,1.00000,2643,False,2,46673,2001,0.35173,1.99267,0.35173,1.99267,1,-0.01028
2,3,3,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,2187,False,2,54096,2452,-1.55500,1.27366,-1.55500,1.27366,1,0.67999
2,4,4,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,2538,False,2,60384,1601,1.98077,0.69846,1.98077,0.69846,1,-0.57631
2,5,5,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,2338,False,2,67490,2102,2.03631,0.90389,2.03631,0.90389,1,-16.06422
2,6,6,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,2353,False,2,74612,2035,-1.96226,0.78063,-1.96226,0.78063,1,-1.69375
2,7,7,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,2554,False,2,81317,1785,1.57351,1.43801,1.57351,1.43801,1,-17.57622
2,8,8,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,2221,False,2,87622,1501,-0.64792,1.91050,-0.64792,1.91050,1,-11.26633
2,9,9,40.00000,6.12836,5.14230,0,True,30.00000,40.50000,0.50000,2391,False,2,93810,1751,0.87006,1.82832,0.87006,1.82832,1,24.55118
2,10,10,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,2904,False,2,103634,3819,2.01780,0.39032,2.01780,0.39032,1,-9.05201
2,11,11,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,3183,False,2,112358,2185,1.70310,1.41746,1.70310,1.41746,1,-20.22999
2,12,12,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2553,False,2,119280,1802,-0.64792,1.91050,-0.64792,1.91050,1,-11.26633
2,13,13,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,2205,False,2,125951,2434,1.03667,1.78724,1.03667,1.78724,1,-20.11543
2,14,14,100.00000,-1.38919,7.87846,0,True,90.00000,101.25000,1.25000,2401,False,2,132590,1418,-0.64792,2.17755,-0.64792,2.17755,1,6.57013
2,15,15,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,2072,False,2,139212,2319,-1.57351,1.49964,-1.57351,1.49964,1,-3.62303
2,16,16,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,3420,False,2,146367,1417,-1.94375,1.08878,-1.94375,1.08878,1,-9.25511
2,17,17,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,2686,False,2,153790,1418,1.77714,1.33529,1.77714,1.33529,1,16.92011
2,18,18,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,3201,False,2,163581,1618,-1.96226,1.06823,-1.96226,1.06823,1,-8.56332
