task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2152,False,2,43787,2668,-1.31435,1.68452,-1.31435,1.68452,1,7.96320
2,2,2,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1865,False,2,50042,1651,-0.25917,2.11593,-0.25917,2.11593,1,-3.01690
2,3,3,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,1723,False,2,54695,1033,1.94375,0.76009,1.94375,0.76009,1,1.35764
2,4,4,80.00000,1.38919,7.87846,0,True,70.00000,78.75000,-1.25000,2476,False,2,62752,3603,0.49982,2.13647,0.49982,2.13647,1,-3.16734
2,5,5,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1800,False,2,67622,1000,0.99964,1.91050,0.99964,1.91050,1,2.37987
2,6,6,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,1802,False,2,71876,584,-2.14738,0.57520,-2.14738,0.57520,1,5.00470
2,7,7,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1774,False,2,77446,817,1.36988,1.47909,1.36988,1.47909,1,7.19525
2,8,8,140.00000,-6.12836,5.14230,0,True,130.00000,137.50000,-2.50000,1612,False,2,81416,767,-1.75863,0.96552,-1.75863,0.96552,1,11.23241
2,9,9,20.00000,7.51754,2.73616,0,True,10.00000,18.50000,-1.50000,1790,False,2,88772,2852,2.01780,0.80118,2.01780,0.80118,1,1.65586
2,10,10,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1805,False,2,93009,701,-0.40726,2.13647,-0.40726,2.13647,1,0.79241
2,11,11,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,1477,False,2,96928,650,0.99964,1.84887,0.99964,1.84887,1,1.60097
2,12,12,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,1845,False,2,101265,667,-1.86970,1.10932,-1.86970,1.10932,1,9.31873
2,13,13,160.00000,-7.51754,2.73616,0,True,150.00000,157.25000,-2.75000,1726,False,2,106285,1084,-2.03631,0.92443,-2.03631,0.92443,1,-4.41677
2,14,14,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,1755,False,2,111940,1034,0.48131,2.13647,0.48131,2.13647,1,-2.69581
2,15,15,40.00000,6.12836,5.14230,0,True,30.00000,40.50000,0.50000,1658,False,2,118178,2552,1.66607,1.49964,1.66607,1.49964,1,1.99058
2,16,16,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,1888,False,2,122448,951,-1.07369,1.70507,-1.07369,1.70507,1,2.19880
2,17,17,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,1657,False,2,127552,817,1.36988,1.49964,1.36988,1.49964,1,7.58916
2,18,18,60.00000,4.00000,6.92820,0,True,50.00000,58.50000,-1.50000,1592,False,2,132222,734,0.98113,1.84887,0.98113,1.84887,1,2.04669
2,19,19,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,1492,False,2,136559,817,-2.11036,0.41086,-2.11036,0.41086,1,8.98306
2,20,20,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,1815,False,2,145833,1452,-1.14774,1.88995,-1.14774,1.88995,1,1.26972
2,21,21,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1907,False,2,150553,834,-0.51833,2.17755,-0.51833,2.17755,1,3.38915
2,22,22,140.00000,-6.12836,5.14230,0,True,130.00000,140.25000,0.25000,1557,False,2,155190,784,-1.72161,1.41746,-1.72161,1.41746,1,0.53421
2,23,23,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,1711,False,2,159493,884,2.11036,0.76009,2.11036,0.76009,1,-0.19246
2,24,24,80.00000,1.38919,7.87846,0,True,70.00000,78.00000,-2.00000,1557,False,2,164530,1050,0.46280,1.99267,0.46280,1.99267,1,-3.07521
3,1,25,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2076,False,2,169384,717,0.24065,2.21864,0.38667,2.19289,1,3.80948
3,2,26,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,1927,False,2,173787,717,-1.99929,0.47249,-1.91727,0.69783,1,6.70331
3,3,27,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,1912,False,2,178608,1235,1.57351,1.37638,1.60111,1.34349,1,1.17682
3,4,28,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,2443,False,2,183878,1134,1.99929,1.19149,2.14835,0.78194,1,10.79311
3,5,29,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,1393,False,2,187681,750,-1.79565,1.00661,-1.54939,1.30009,1,10.72577
3,6,30,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2126,False,2,193036,1351,1.12923,1.88995,1.10068,1.90643,1,-0.85798
3,7,31,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,1425,False,2,196922,801,-1.24030,1.68452,-1.03949,1.80046,1,6.36395
