task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,3119,False,2,66935,5854,1.29583,1.68452,1.29583,1.68452,1,-7.56956
2,2,2,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,3568,False,2,76776,3286,1.94375,0.71900,1.94375,0.71900,1,0.29961
2,3,3,160.00000,-7.51754,2.73616,0,True,150.00000,160.50000,0.50000,2617,False,2,84432,2352,-2.03631,0.57520,-2.03631,0.57520,1,4.22651
2,4,4,80.00000,1.38919,7.87846,0,True,70.00000,78.75000,-1.25000,4385,False,2,94373,1935,0.79601,1.95158,0.79601,1.95158,1,-12.18955
2,5,5,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,2137,False,2,101561,2201,1.75863,1.23258,1.75863,1.23258,1,-4.97434
2,6,6,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2288,False,2,107566,1534,-0.03702,2.03375,-0.03702,2.03375,1,-8.95717
2,7,7,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,2322,False,2,113721,1284,-1.57351,1.35584,-1.57351,1.35584,1,-0.75036
2,8,8,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,1954,False,2,119792,1284,-1.18476,1.66398,-1.18476,1.66398,1,5.45101
2,9,9,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,2874,False,2,125964,701,-1.62905,1.27366,-1.62905,1.27366,1,1.98020
2,10,10,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,5677,False,2,135805,1768,1.55500,1.31475,1.55500,1.31475,1,0.21447
2,11,11,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,3841,False,2,143928,1819,-0.90708,1.97212,-0.90708,1.97212,1,-5.29985
2,12,12,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,3568,False,2,153785,2468,2.01780,0.69846,2.01780,0.69846,1,-0.90674
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1936,False,2,159289,1417,0.05554,2.03375,0.05554,2.03375,1,-11.56431
2,14,14,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2205,False,2,166061,1751,1.42542,1.68452,1.42542,1.68452,1,-10.23749
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,3153,False,2,174201,1434,-1.88821,0.78063,-1.88821,0.78063,1,-2.46134
2,16,16,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,1654,False,2,180022,884,0.24065,2.07484,0.24065,2.07484,1,3.38412
2,17,17,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,1656,False,2,186210,1385,0.94411,1.84887,0.94411,1.84887,1,2.94925
2,18,18,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1837,False,2,192448,1618,-1.96226,0.71900,-1.96226,0.71900,1,-0.12355
2,19,19,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,1622,False,2,198119,1034,1.90673,0.94498,1.90673,0.94498,1,-13.63687
2,20,20,140.00000,-6.12836,5.14230,0,True,130.00000,141.25000,1.25000,3042,False,2,204657,1234,-1.68458,1.23258,-1.68458,1.23258,1,3.80767
2,21,21,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,2290,False,2,211079,1468,0.48131,1.95158,0.48131,1.95158,1,-3.85414
2,22,22,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,1956,False,2,216817,1284,1.96226,0.69846,1.96226,0.69846,1,-0.40698
2,23,23,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2490,False,2,222938,1084,-0.87006,1.99267,-0.87006,1.99267,1,-6.41246
2,24,24,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,3225,False,2,229744,1251,-0.33321,2.03375,-0.33321,2.03375,1,-0.69532
3,1,25,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,2471,False,2,237149,1084,-1.48095,1.37638,-1.54679,1.29791,1,-2.90408
3,2,26,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,2153,False,2,244088,1785,2.01780,0.36977,1.90060,0.69176,1,-9.61554
3,3,27,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,1606,False,2,249325,1417,1.38839,1.91050,1.17437,2.03406,1,-6.00649
3,4,28,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1689,False,2,254429,1168,-0.98113,1.84887,-1.04587,1.81149,1,-2.04669
3,5,29,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1702,False,2,260818,1318,-0.40726,2.11593,-0.37412,2.12177,1,0.89468
3,6,30,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2040,False,2,265888,767,0.79601,1.99267,0.36477,2.06871,1,-11.77518
3,7,31,40.00000,6.12836,5.14230,0,True,30.00000,40.75000,0.75000,2125,False,2,272276,1601,1.99929,1.21203,1.77004,1.48524,1,-8.77449
3,8,32,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,1675,False,2,278231,2602,-1.98077,0.78063,-1.99996,0.72793,1,-1.50961
3,9,33,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,2151,False,2,284302,1234,1.64756,1.23258,1.57375,1.32054,1,-3.19894
3,10,34,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2205,False,2,290224,884,1.27732,1.78724,1.09323,1.89352,1,-5.55296
3,11,35,120.00000,-4.00000,6.92820,0,True,110.00000,118.50000,-1.50000,1942,False,2,295078,801,-0.79601,1.86941,-1.00848,1.74674,1,-6.93530
3,12,36,160.00000,-7.51754,2.73616,0,True,150.00000,160.75000,0.75000,2038,False,2,301699,1468,-1.99929,0.65737,-1.97669,0.71946,1,1.79905
3,13,37,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,2671,False,2,308321,1401,1.98077,0.71900,1.98015,0.72072,1,-0.04960
3,14,38,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2391,False,2,317411,4887,0.68494,2.01321,0.36493,2.06964,1,-8.78948
