task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,6655,False,2,52782,3752,1.09220,1.84887,1.09220,1.84887,1,-0.57201
2,2,2,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,5534,False,2,63057,2485,0.29619,2.11593,0.29619,2.11593,1,2.03146
2,3,3,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,3870,False,2,72615,2352,-0.27768,2.15701,-0.27768,2.15701,1,-2.66444
2,4,4,160.00000,-7.51754,2.73616,0,True,150.00000,157.50000,-2.50000,3604,False,2,82222,3402,-2.20292,0.30814,-2.20292,0.30814,1,12.03725
2,5,5,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,5463,False,2,95449,2852,1.59202,1.27366,1.59202,1.27366,1,18.66077
2,6,6,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,4187,False,2,105557,3519,-1.27732,1.64344,-1.27732,1.64344,1,7.85519
2,7,7,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,4618,False,2,117199,4503,-1.68458,1.25312,-1.68458,1.25312,1,3.35530
2,8,8,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,3314,False,2,127974,4820,1.51798,1.45855,1.51798,1.45855,1,3.85617
2,9,9,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,3480,False,2,137398,2569,-0.57387,1.99267,-0.57387,1.99267,1,6.06590
2,10,10,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,3601,False,2,147489,3486,1.86970,0.84226,1.86970,0.84226,1,4.25055
2,11,11,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,3552,False,2,156346,2518,-1.24030,1.66398,-1.24030,1.66398,1,6.70017
2,12,12,160.00000,-7.51754,2.73616,0,True,150.00000,158.25000,-1.75000,3722,False,2,165219,2585,-1.88821,1.06823,-1.88821,1.06823,1,-9.49844
2,13,13,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,3020,False,2,172775,2135,-2.01780,0.80118,-2.01780,0.80118,1,18.34414
2,14,14,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,3870,False,2,180948,1418,0.25917,2.28027,0.25917,2.28027,1,3.51573
2,15,15,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,4120,False,2,189121,1517,1.07369,1.97212,1.07369,1.97212,1,1.43461
2,16,16,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,3574,False,2,197261,2118,1.57351,1.52018,1.57351,1.52018,1,4.01242
2,17,17,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,3272,False,2,206168,3152,-1.96226,0.90389,-1.96226,0.90389,1,-4.73256
2,18,18,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,4087,False,2,216459,3586,1.98077,0.88335,1.98077,0.88335,1,4.03510
2,19,19,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,3201,False,2,225549,3302,-0.38875,2.07484,-0.38875,2.07484,1,0.61212
2,20,20,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,3435,False,2,233589,1718,0.37024,2.15701,0.37024,2.15701,1,0.26037
2,21,21,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2822,False,2,241011,1968,1.42542,1.60235,1.42542,1.60235,1,-11.65568
2,22,22,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,3605,False,2,249501,2135,1.64756,1.29421,1.64756,1.29421,1,-1.84926
2,23,23,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,3255,False,2,257391,2135,-1.85119,1.08878,-1.85119,1.08878,1,9.53803
2,24,24,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,3719,False,2,266998,2185,-1.36988,1.68452,-1.36988,1.68452,1,9.11859
3,1,25,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,3955,False,2,274454,901,-2.77679,-0.49303,-2.29351,0.83477,1,30.06817
3,2,26,140.00000,-6.12836,5.14230,0,True,130.00000,140.25000,0.25000,3775,False,2,281526,801,-2.72125,0.00000,-1.59690,1.33995,1,40.00000
3,3,27,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,4245,False,2,289816,1952,1.64756,1.58181,1.74572,1.46483,1,3.83362
3,4,28,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,3175,False,2,296120,1534,-0.64792,1.99267,-0.36030,2.04338,1,8.01202
3,5,29,120.00000,-4.00000,6.92820,0,True,110.00000,118.25000,-1.75000,3425,False,2,304377,2852,-1.38839,1.72561,-1.09431,1.89540,1,8.81943
3,6,30,20.00000,7.51754,2.73616,0,True,10.00000,18.50000,-1.50000,4189,False,2,312817,2269,1.72161,1.12986,1.88335,0.68548,1,13.27613
3,7,31,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,3173,False,2,320956,3069,1.46244,1.62289,1.06834,1.85043,1,-12.02306
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,3170,False,2,327311,1134,0.87006,1.88995,0.34944,1.98175,1,-14.71952
3,9,33,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,3342,False,2,333849,850,1.98077,0.88335,1.59733,1.34032,1,-15.96490
3,10,34,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,3377,False,2,341088,1784,1.98077,1.04769,2.08579,0.75917,1,7.87574
3,11,35,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,3125,False,2,347110,917,1.09220,1.88995,0.35613,2.01974,1,-20.02357
3,12,36,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,3592,False,2,354466,1418,-0.55536,2.15701,-1.07285,1.85823,1,-15.56178
3,13,37,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,3526,False,2,362038,1851,-0.33321,2.19810,-0.38594,2.18880,1,-1.38016
3,14,38,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,3190,False,2,368977,1802,-1.92524,0.63683,-1.90470,0.69325,1,1.69684
3,15,39,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,3723,False,2,376799,1584,-1.27732,1.64344,-1.55880,1.30799,1,-12.14481
