task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,1851,False,2,12281,3035,-0.37024,1.99267,-0.37024,1.99267,1,0.52558
2,2,2,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,1972,False,2,17736,1284,1.01815,2.05430,1.01815,2.05430,1,3.63611
2,3,3,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1359,False,2,21272,734,-1.99929,0.55466,-1.99929,0.55466,1,4.49447
2,4,4,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,1359,False,2,25508,850,0.29619,2.03375,0.29619,2.03375,1,1.71385
2,5,5,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,1576,False,2,29995,683,1.35137,1.49964,1.35137,1.49964,1,7.97705
2,6,6,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,1343,False,2,33832,701,-1.79565,1.23258,-1.79565,1.23258,1,5.53330
2,7,7,20.00000,7.51754,2.73616,0,True,10.00000,18.50000,-1.50000,1377,False,2,37734,650,1.79565,1.08878,1.79565,1.08878,1,11.23024
2,8,8,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,1560,False,2,42054,783,-1.20327,1.70507,-1.20327,1.70507,1,5.21067
2,9,9,80.00000,1.38919,7.87846,0,True,70.00000,78.75000,-1.25000,1409,False,2,46174,650,0.40726,1.97212,0.40726,1.97212,1,-1.66806
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1293,False,2,50377,683,-1.03667,1.80778,-1.03667,1.80778,1,-0.16792
2,11,11,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,1244,False,2,54297,684,1.88821,0.90389,1.88821,0.90389,1,5.58053
2,12,12,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1590,False,2,59001,701,1.64756,1.21203,1.64756,1.21203,1,-3.65989
2,13,13,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,1259,False,2,63421,1101,1.16625,1.64344,1.16625,1.64344,1,-5.36102
2,14,14,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1258,False,2,67390,733,-0.27768,2.11593,-0.27768,2.11593,1,-2.52362
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,1175,False,2,71493,650,-2.11036,0.57520,-2.11036,0.57520,1,4.75380
2,16,16,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,1528,False,2,75396,567,-1.88821,1.17095,-1.88821,1.17095,1,8.19539
