task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,4787,False,2,49449,10741,0.33321,2.01321,0.33321,2.01321,1,0.60207
2,2,2,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,2557,False,2,57538,2268,1.68458,1.12986,1.68458,1.12986,1,13.85004
2,3,3,140.00000,-6.12836,5.14230,0,True,130.00000,141.25000,1.25000,5938,False,2,69130,2735,-1.72161,1.27366,-1.72161,1.27366,1,3.50569
2,4,4,60.00000,4.00000,6.92820,0,True,50.00000,58.50000,-1.50000,5537,False,2,80455,2701,1.31435,1.66398,1.31435,1.66398,1,-8.30462
2,5,5,160.00000,-7.51754,2.73616,0,True,150.00000,163.50000,3.50000,4883,False,2,98819,9957,-2.03631,0.24652,-2.03631,0.24652,1,13.09724
2,6,6,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,5018,False,2,112947,2935,-1.29583,1.60235,-1.29583,1.60235,1,8.96267
2,7,7,40.00000,6.12836,5.14230,0,True,30.00000,37.25000,-2.75000,2216,False,2,120736,2451,1.49946,1.45855,1.49946,1.45855,1,4.20764
2,8,8,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,3071,False,2,128342,2168,-0.44429,2.11593,-0.44429,2.11593,1,1.85834
2,9,9,100.00000,-1.38919,7.87846,0,True,90.00000,101.00000,1.00000,3538,False,2,136165,2002,-0.55536,2.13647,-0.55536,2.13647,1,4.57115
2,10,10,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,2788,False,2,143754,2452,1.07369,1.93104,1.07369,1.93104,1,0.92522
2,11,11,80.00000,1.38919,7.87846,0,True,70.00000,82.00000,2.00000,6205,False,2,155847,2870,0.61089,2.03375,0.61089,2.03375,1,-6.71901
2,12,12,120.00000,-4.00000,6.92820,0,True,110.00000,129.25000,9.25000,4619,False,2,167956,3937,-0.83304,2.01321,-0.83304,2.01321,1,-7.52087
2,13,13,140.00000,-6.12836,5.14230,0,True,130.00000,141.00000,1.00000,2548,False,2,175544,2401,-1.72161,1.39692,-1.72161,1.39692,1,0.94401
2,14,14,160.00000,-7.51754,2.73616,0,True,150.00000,164.00000,4.00000,8040,False,2,189305,2969,-1.83268,0.82172,-1.83268,0.82172,1,-4.15007
2,15,15,40.00000,6.12836,5.14230,0,True,30.00000,43.00000,3.00000,2901,False,2,198245,3118,1.72161,1.41746,1.72161,1.41746,1,-0.53421
2,16,16,20.00000,7.51754,2.73616,0,True,10.00000,21.50000,1.50000,2635,False,2,206151,2819,1.72161,1.08878,1.72161,1.08878,1,12.31006
2,17,17,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,2085,False,2,213557,2602,-1.94375,0.57520,-1.94375,0.57520,1,3.51531
2,18,18,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,3854,False,2,222164,2769,-1.24030,1.62289,-1.24030,1.62289,1,7.38901
2,19,19,80.00000,1.38919,7.87846,0,True,70.00000,82.00000,2.00000,1938,False,2,227984,2134,0.64792,2.03375,0.64792,2.03375,1,-7.67104
2,20,20,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2537,False,2,236441,3569,0.90708,1.88995,0.90708,1.88995,1,4.36136
2,21,21,140.00000,-6.12836,5.14230,0,True,130.00000,140.25000,0.25000,1966,False,2,242813,2002,-0.79601,2.03375,-0.79601,2.03375,1,-28.62462
2,22,22,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,2069,False,2,250468,3018,1.86970,1.19149,1.86970,1.19149,1,12.50784
2,23,23,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,5870,False,2,262127,2668,-0.20363,2.19810,-0.20363,2.19810,1,-4.70728
2,24,24,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,6371,False,2,273786,2302,1.64756,1.37638,1.64756,1.37638,1,-0.12445
3,1,25,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,5906,False,2,284761,2485,0.98113,1.76669,1.01028,1.74986,1,0.95443
3,2,26,140.00000,-6.12836,5.14230,0,True,130.00000,141.50000,1.50000,6274,False,2,295870,2585,-1.62905,1.33529,-1.61347,1.35386,1,0.65942
3,3,27,100.00000,-1.38919,7.87846,0,True,90.00000,103.25000,3.25000,5790,False,2,306845,3052,-0.59238,2.03375,-0.36565,2.07373,1,6.23951
3,4,28,40.00000,6.12836,5.14230,0,True,30.00000,41.25000,1.25000,4402,False,2,315652,1952,1.62905,1.27366,1.58312,1.32840,1,-1.98020
3,5,29,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,3891,False,2,323891,2385,2.07333,0.32869,1.93644,0.70481,1,-10.99173
3,6,30,120.00000,-4.00000,6.92820,0,True,110.00000,123.25000,3.25000,4471,False,2,333465,2719,-0.44429,2.09538,-1.01840,1.76392,1,-18.02870
3,7,31,160.00000,-7.51754,2.73616,0,True,150.00000,160.50000,0.50000,2686,False,2,340687,2185,-2.77679,-0.96552,-2.14165,0.77950,1,39.17312
3,8,32,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,3673,False,2,348826,1934,0.77750,2.01321,0.36772,2.08546,1,-11.11652
3,9,33,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2656,False,2,355632,2068,1.79565,1.45855,1.77193,1.48683,1,-0.91413
3,10,34,120.00000,-4.00000,6.92820,0,True,110.00000,121.75000,1.75000,3173,False,2,362771,2102,-1.03667,1.82832,-1.05085,1.82013,1,-0.44647
3,11,35,160.00000,-7.51754,2.73616,0,True,150.00000,161.25000,1.25000,4106,False,2,370777,1718,-2.25845,-0.28760,-1.90183,0.69221,1,27.25721
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,101.00000,1.00000,3258,False,2,377915,2101,-0.62940,1.95158,-0.35272,2.00037,1,7.87492
3,13,37,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,3606,False,2,386572,2535,0.66643,2.03375,0.36789,2.08639,1,-8.14321
3,14,38,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,5540,False,2,397180,2651,1.77714,1.45855,2.03803,0.74178,1,19.37671
3,15,39,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,5521,False,2,407372,2269,1.05518,1.86941,1.07327,1.85896,1,0.55764
3,16,40,140.00000,-6.12836,5.14230,0,True,130.00000,141.50000,1.50000,3239,False,2,414661,2252,-1.62905,1.31475,-1.60335,1.34537,1,1.09420
4,1,41,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,4056,False,2,423618,2569,0.72196,2.01321,0.72196,2.01321,1,-9.72841
4,2,42,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,5136,False,2,434109,2385,-0.92560,1.88995,-0.92560,1.88995,1,-3.90677
4,3,43,140.00000,-6.12836,5.14230,0,True,130.00000,140.75000,0.75000,4101,False,2,444151,2803,-1.62905,1.45855,-1.62905,1.45855,1,-1.83929
4,4,44,100.00000,-1.38919,7.87846,0,True,90.00000,101.00000,1.00000,2555,False,2,450522,2185,-0.46280,2.03375,-0.46280,2.03375,1,2.81991
4,5,45,40.00000,6.12836,5.14230,0,True,30.00000,41.75000,1.75000,3472,False,2,458712,2569,1.74012,1.41746,1.74012,1.41746,1,-0.83457
4,6,46,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,3803,False,2,468086,2669,1.86970,0.88335,1.86970,0.88335,1,5.28865
4,7,47,60.00000,4.00000,6.92820,0,True,50.00000,63.00000,3.00000,2435,False,2,475641,2084,1.05518,1.86941,1.05518,1.86941,1,0.55764
4,8,48,160.00000,-7.51754,2.73616,0,True,150.00000,161.75000,1.75000,3206,False,2,485299,4286,-1.72161,1.08878,-1.72161,1.08878,1,-12.31006
5,1,49,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,4370,False,2,529917,9924,-1.57351,1.35584,-1.57351,1.35584,1,-0.75036
5,2,50,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,4310,False,2,542860,3469,1.85119,0.96552,1.85119,0.96552,1,-12.45493
5,3,51,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,3066,False,2,550633,2502,0.70345,1.97212,0.70345,1.97212,1,-9.63118
5,4,52,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,4163,False,2,565228,5054,0.99964,1.80778,0.99964,1.80778,1,1.05892
5,5,53,160.00000,-7.51754,2.73616,0,True,150.00000,165.50000,5.50000,3312,False,2,575586,3803,-2.01780,0.63683,-2.01780,0.63683,1,2.48399
5,6,54,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,2381,False,2,584643,3603,-0.35173,2.05430,-0.35173,2.05430,1,-20.28423
5,7,55,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2550,False,2,592282,2018,-0.40726,2.09538,-0.40726,2.09538,1,0.99893
5,8,56,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,4456,False,2,603057,3853,2.11036,-0.24652,2.11036,-0.24652,1,-26.66276
5,9,57,140.00000,-6.12836,5.14230,0,True,130.00000,141.75000,1.75000,6619,False,2,615233,2368,-1.53649,1.49964,-1.53649,1.49964,1,-4.30463
5,10,58,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,5540,False,2,625691,2819,-2.03631,0.98606,-2.03631,0.98606,1,-5.83806
5,11,59,20.00000,7.51754,2.73616,0,True,10.00000,21.00000,1.00000,5420,False,2,637784,3536,2.03631,0.80118,2.03631,0.80118,1,1.47701
5,12,60,40.00000,6.12836,5.14230,0,True,30.00000,43.00000,3.00000,2817,False,2,646524,3052,1.68458,1.17095,1.68458,1.17095,1,-5.19687
5,13,61,100.00000,-1.38919,7.87846,0,True,90.00000,107.25000,7.25000,5285,False,2,658566,4086,-0.27768,2.11593,-0.27768,2.11593,1,-2.52362
5,14,62,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,6036,False,2,669191,2184,1.22179,1.62289,1.22179,1.62289,1,-6.97420
5,15,63,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,5436,False,2,680934,2752,0.22214,2.11593,0.22214,2.11593,1,4.00678
5,16,64,120.00000,-4.00000,6.92820,0,True,110.00000,121.75000,1.75000,3469,False,2,689357,2469,-1.14774,2.01321,-1.14774,2.01321,1,-0.31234
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,121.00000,1.00000,6539,False,2,718129,2552,-0.90708,1.82832,-0.90708,1.82832,1,-3.61272
6,2,66,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,4406,False,2,726335,1884,1.64756,1.66398,1.64756,1.66398,1,5.28409
6,3,67,140.00000,-6.12836,5.14230,0,True,130.00000,141.75000,1.75000,4525,False,2,736993,4019,-1.44393,1.52018,-1.44393,1.52018,1,-6.47358
6,4,68,20.00000,7.51754,2.73616,0,True,10.00000,21.00000,1.00000,5134,False,2,748402,3986,2.18440,0.78063,2.18440,0.78063,1,-0.33484
6,5,69,80.00000,1.38919,7.87846,0,True,70.00000,81.50000,1.50000,3367,False,2,755708,1768,0.20363,2.19810,0.20363,2.19810,1,4.70728
6,6,70,160.00000,-7.51754,2.73616,0,True,150.00000,162.00000,2.00000,1974,False,2,761396,2085,-0.53685,1.97212,-0.53685,1.97212,1,-54.77195
