task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,5888,False,2,15427,2736,-0.98113,1.74615,-0.98113,1.74615,1,-0.66916
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,2205,False,2,26635,1601,-1.36988,1.45855,-1.36988,1.45855,1,-6.79561
2,3,3,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,3245,False,2,38111,1068,1.96226,0.49303,1.96226,0.49303,1,-5.89604
2,4,4,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,2761,False,2,50387,1201,-1.90673,0.65737,-1.90673,0.65737,1,0.97770
2,5,5,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,2706,False,2,65332,1117,0.49982,1.95158,0.49982,1.95158,1,-4.36527
2,6,6,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2262,False,2,75857,1568,1.55500,1.35584,1.55500,1.35584,1,1.08592
2,7,7,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,3461,False,2,90134,2852,-0.40726,1.97212,-0.40726,1.97212,1,1.66806
2,8,8,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,3189,False,2,104312,2685,1.11071,1.66398,1.11071,1.66398,1,-3.72319
2,9,9,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,4938,False,2,121892,2918,1.61054,1.19149,1.61054,1.19149,1,-3.50568
2,10,10,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,4926,False,2,138422,2486,-0.16661,2.01321,-0.16661,2.01321,1,-5.26908
2,11,11,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,2423,False,2,150381,1284,1.94375,0.67792,1.94375,0.67792,1,-0.77281
2,12,12,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,4794,False,2,167611,2185,-0.99964,1.76669,-0.99964,1.76669,1,-0.49767
2,13,13,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,6244,False,2,183440,1885,0.46280,1.97212,0.46280,1.97212,1,-3.20670
2,14,14,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,3127,False,2,196900,1834,-1.62905,1.19149,-1.62905,1.19149,1,3.81820
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,4224,False,2,211695,1401,-1.92524,0.65737,-1.92524,0.65737,1,1.14761
2,16,16,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2412,False,2,222720,1568,1.12923,1.70507,1.12923,1.70507,1,-3.51562
2,17,17,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,1811,False,2,233512,1785,0.42577,1.99267,0.42577,1.99267,1,-2.06092
2,18,18,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,4628,False,2,247639,2235,1.96226,0.51357,1.96226,0.51357,1,-5.33331
2,19,19,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,3792,False,2,260683,1501,-1.55500,1.33529,-1.55500,1.33529,1,-0.65293
2,20,20,160.00000,-7.51754,2.73616,0,True,150.00000,160.50000,0.50000,3712,False,2,273776,1751,-1.86970,0.80118,-1.86970,0.80118,1,-3.19548
2,21,21,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,2777,False,2,286319,1984,-1.20327,1.62289,-1.20327,1.62289,1,6.55459
2,22,22,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,3541,False,2,299096,1568,-0.48131,1.95158,-0.48131,1.95158,1,3.85414
2,23,23,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2827,False,2,312940,2919,1.57351,1.27366,1.57351,1.27366,1,-1.01195
2,24,24,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,2555,False,2,326667,2101,1.18476,1.68452,1.18476,1.68452,1,-5.11956
3,1,25,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2660,False,2,338893,1668,-1.83268,0.96552,-1.92861,0.70196,1,-7.78183
3,2,26,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,6030,False,2,354672,2369,1.16625,1.68452,1.02098,1.76839,1,-4.69616
3,3,27,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,4859,False,2,368866,1834,-1.25881,1.60235,-1.00854,1.74684,1,8.15326
3,4,28,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,4427,False,2,384362,3186,-0.37024,1.99267,-0.35193,1.99590,1,0.52558
3,5,29,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,4059,False,2,396521,1668,0.72196,1.91050,0.34848,1.97635,1,-10.70111
3,6,30,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,2309,False,2,408564,1551,1.38839,1.45855,1.53294,1.28629,1,6.41171
3,7,31,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,4610,False,2,422291,1334,-1.36988,1.47909,-1.53219,1.28566,1,-7.19525
3,8,32,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,5145,False,2,438186,2968,1.99929,0.47249,1.91727,0.69783,1,-6.70331
3,9,33,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,2792,False,2,450813,2435,-1.68458,1.10932,-1.53479,1.28784,1,6.63453
3,10,34,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,4275,False,2,464740,2051,1.36988,1.54072,1.00962,1.74872,1,-11.64083
3,11,35,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,5778,False,2,479602,1284,2.07333,0.16434,1.88362,0.68558,1,-15.46799
3,12,36,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,3562,False,2,492061,1501,1.99929,0.80118,1.56773,1.31548,1,-18.16243
3,13,37,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,2459,False,2,506673,3503,1.05518,1.86941,0.35151,1.99349,1,-19.44236
3,14,38,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,2277,False,2,519249,2151,-1.83268,0.84226,-1.88899,0.68754,1,-4.68249
3,15,39,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,2128,False,2,530308,1335,-1.25881,1.62289,-1.01744,1.76225,1,7.79928
3,16,40,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1980,False,2,540482,1017,-0.57387,1.95158,-0.35104,1.99087,1,6.38619
4,1,41,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,2295,False,2,550306,1050,1.96226,0.59575,1.96226,0.59575,1,-3.11150
4,2,42,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,2544,False,2,560815,1134,-1.96226,0.57520,-1.96226,0.57520,1,3.66248
4,3,43,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,2579,False,2,574875,4420,0.48131,1.99267,0.48131,1.99267,1,-3.57915
4,4,44,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,2224,False,2,584483,1318,-0.22214,1.99267,-0.22214,1.99267,1,-3.63901
4,5,45,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,2410,False,2,595124,1601,1.68458,1.08878,1.68458,1.08878,1,-7.12455
4,6,46,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,2007,False,2,605582,1067,-1.72161,1.04769,-1.72161,1.04769,1,8.67729
4,7,47,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2096,False,2,615457,1285,-1.01815,1.72561,-1.01815,1.72561,1,0.54159
4,8,48,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,3980,False,2,627015,1550,1.03667,1.76669,1.03667,1.76669,1,-0.40384
5,1,49,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,9040,False,2,688513,14511,1.98077,0.34923,1.98077,0.34923,1,-10.00093
5,2,50,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,2924,False,2,701523,1218,1.57351,1.29421,1.57351,1.29421,1,-0.56275
5,3,51,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,2023,False,2,714132,1567,0.37024,1.99267,0.37024,1.99267,1,-0.52558
5,4,52,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,5192,False,2,729961,1100,-1.09220,1.72561,-1.09220,1.72561,1,2.33118
5,5,53,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,2058,False,2,742087,1117,1.09220,1.72561,1.09220,1.72561,1,-2.33118
5,6,54,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1972,False,2,752846,951,-0.20363,2.01321,-0.20363,2.01321,1,-4.22435
5,7,55,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,3883,False,2,764121,1201,-1.66607,1.19149,-1.66607,1.19149,1,4.42954
5,8,56,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,3179,False,2,775296,1084,-1.74012,0.98606,-1.74012,0.98606,1,-9.53858
5,9,57,140.00000,-6.12836,5.14230,0,True,130.00000,140.50000,0.50000,6299,False,2,792726,4420,-1.72161,1.06823,-1.72161,1.06823,1,8.18110
5,10,58,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,3060,False,2,801516,783,-0.59238,1.97212,-0.59238,1.97212,1,6.71907
5,11,59,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1898,False,2,809773,1001,1.81417,0.98606,1.81417,0.98606,1,-11.47449
5,12,60,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,3851,False,2,819814,1334,-0.90708,1.82832,-0.90708,1.82832,1,-3.61272
5,13,61,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2209,False,2,830889,1401,1.12923,1.66398,1.12923,1.66398,1,-4.16207
5,14,62,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,2530,False,2,842498,2535,-1.96226,0.51357,-1.96226,0.51357,1,5.33331
5,15,63,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,4861,False,2,854741,884,0.48131,2.01321,0.48131,2.01321,1,-3.44566
5,16,64,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,3133,False,2,864448,1251,1.99929,0.63683,1.99929,0.63683,1,-2.33186
6,1,65,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,3569,False,2,898758,2702,-1.05518,1.74615,-1.05518,1.74615,1,1.14413
6,2,66,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,2230,False,2,906497,1050,1.88821,0.67792,1.88821,0.67792,1,-0.25045
6,3,67,140.00000,-6.12836,5.14230,0,True,130.00000,140.25000,0.25000,2531,False,2,915771,1034,-1.62905,1.19149,-1.62905,1.19149,1,3.81820
6,4,68,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,4314,False,2,927430,1034,-0.38875,2.05430,-0.38875,2.05430,1,0.71578
