task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,3786,False,2,52822,5804,1.92524,0.71900,1.92524,0.71900,1,0.47865
2,2,2,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,1541,False,2,57392,884,-1.98077,0.51357,-1.98077,0.51357,1,5.46454
2,3,3,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,1508,False,2,62596,1517,0.61089,2.13647,0.61089,2.13647,1,-5.95705
2,4,4,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,2157,False,2,68517,1817,-0.94411,1.82832,-0.94411,1.82832,1,-2.68902
2,5,5,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1387,False,2,74038,1651,1.48095,1.35584,1.48095,1.35584,1,2.47474
2,6,6,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1221,False,2,79142,1501,-0.53685,2.01321,-0.53685,2.01321,1,4.93126
2,7,7,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,1406,False,2,84180,1285,0.99964,1.91050,0.99964,1.91050,1,2.37987
2,8,8,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,1342,False,2,88950,1401,-1.48095,1.47909,-1.48095,1.47909,1,-4.96400
2,9,9,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,1322,False,2,94087,1618,1.18476,1.72561,1.18476,1.72561,1,-4.47250
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1218,False,2,98007,867,-0.98113,1.93104,-0.98113,1.93104,1,-3.06562
2,11,11,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,1292,False,2,102594,1334,0.29619,2.01321,0.29619,2.01321,1,1.63050
2,12,12,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1193,False,2,106614,1301,-1.83268,1.06823,-1.83268,1.06823,1,-10.23699
2,13,13,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,1340,False,2,111250,1284,1.98077,1.04769,1.98077,1.04769,1,7.87574
2,14,14,100.00000,-1.38919,7.87846,0,True,90.00000,98.75000,-1.25000,1288,False,2,116971,2018,-0.44429,2.03375,-0.44429,2.03375,1,2.32315
2,15,15,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,1456,False,2,122209,1818,1.44393,1.54072,1.44393,1.54072,1,6.85741
2,16,16,140.00000,-6.12836,5.14230,0,True,130.00000,137.75000,-2.25000,1190,False,2,126345,1300,-1.51798,1.56127,-1.51798,1.56127,1,-5.80545
2,17,17,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1240,False,2,130232,817,1.14774,1.72561,1.14774,1.72561,1,-3.62873
2,18,18,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,1327,False,2,134952,1551,0.55536,2.13647,0.55536,2.13647,1,-4.57115
2,19,19,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,1306,False,2,139005,817,1.74012,0.98606,1.74012,0.98606,1,9.53858
2,20,20,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1308,False,2,143442,867,-1.11071,1.80778,-1.11071,1.80778,1,1.56680
2,21,21,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1335,False,2,148646,1335,1.59202,1.60235,1.59202,1.60235,1,5.18528
2,22,22,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,1390,False,2,153449,1601,-2.11036,0.51357,-2.11036,0.51357,1,6.32256
2,23,23,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1372,False,2,158170,1351,-0.64792,1.93104,-0.64792,1.93104,1,8.54810
2,24,24,140.00000,-6.12836,5.14230,0,True,130.00000,137.75000,-2.25000,1289,False,2,163240,1484,-1.46244,1.58181,-1.46244,1.58181,1,-7.24551
3,1,25,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,1339,False,2,168361,1451,1.83268,0.86280,1.89560,0.68994,1,5.21040
3,2,26,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,1456,False,2,174733,2719,0.14810,2.01321,0.34874,1.97783,1,5.79267
3,3,27,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,1318,False,2,179503,901,1.35137,1.62289,1.04058,1.80233,1,-9.78393
3,4,28,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,1326,False,2,184557,1685,-1.92524,0.76009,-1.94432,0.70767,1,-1.54424
3,5,29,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,1339,False,2,188793,884,1.55500,1.41746,1.61048,1.35135,1,2.35073
3,6,30,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,1260,False,2,192946,1000,-1.86970,1.19149,-1.68388,1.41294,1,7.49216
3,7,31,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,1408,False,2,197450,1001,-0.77750,2.07484,-0.37826,2.14524,1,10.54237
3,8,32,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,1326,False,2,201420,951,-1.25881,1.68452,-1.04412,1.80847,1,6.77007
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,1260,False,2,205872,1500,1.12923,1.68452,1.01173,1.75236,1,-3.83621
3,10,34,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,1240,False,2,210043,867,-0.37024,2.15701,-0.38003,2.15528,1,-0.26037
3,11,35,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,1410,False,2,214697,1518,0.25917,2.05430,0.35912,2.03667,1,2.80957
3,12,36,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,1208,False,2,218516,834,-1.31435,1.68452,-1.05801,1.83252,1,7.96320
