task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,4520,False,2,44053,2719,-1.64756,1.52018,-1.64756,1.52018,1,17.30272
2,2,2,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,2918,False,2,50391,2001,0.66643,2.21864,0.66643,2.21864,1,-6.71910
2,3,3,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,3307,False,2,57630,1785,1.68458,1.54072,1.68458,1.54072,1,2.44609
2,4,4,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,3340,False,2,64352,901,-1.83268,0.86280,-1.83268,0.86280,1,-5.21040
2,5,5,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,4446,False,2,72074,1434,2.03631,1.06823,2.03631,1.06823,1,7.68110
2,6,6,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,3123,False,2,78579,783,-1.88821,1.17095,-1.88821,1.17095,1,8.19539
2,7,7,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,2761,False,2,84617,1551,1.24030,1.82832,1.24030,1.82832,1,-4.15228
2,8,8,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,5461,False,2,93891,2051,-0.03702,2.19810,-0.03702,2.19810,1,-9.03513
2,9,9,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,2956,False,2,99846,985,-0.59238,2.11593,-0.59238,2.11593,1,5.64023
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,4063,False,2,107335,1701,-1.22179,2.09538,-1.22179,2.09538,1,0.24593
2,11,11,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,2824,False,2,113373,1535,1.90673,0.94498,1.90673,0.94498,1,6.36313
2,12,12,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,2875,False,2,119411,1384,0.68494,2.05430,0.68494,2.05430,1,-8.43930
2,13,13,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,2825,False,2,125866,1351,1.64756,1.68452,1.64756,1.68452,1,-14.36449
2,14,14,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,4008,False,2,133722,1418,-1.42542,1.45855,-1.42542,1.45855,1,-5.65816
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,161.25000,1.25000,2992,False,2,140677,1984,-2.35101,-0.10271,-2.35101,-0.10271,1,22.50152
2,16,16,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,2555,False,2,147332,1734,1.79565,1.00661,1.79565,1.00661,1,-10.72577
2,17,17,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2869,False,2,153621,1752,-1.36988,1.72561,-1.36988,1.72561,1,8.44440
2,18,18,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2605,False,2,160225,1884,1.96226,1.27366,1.96226,1.27366,1,-7.01328
2,19,19,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2806,False,2,166864,1718,-2.22143,-0.28760,-2.22143,-0.28760,1,27.37683
2,20,20,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,2609,False,2,174186,3202,-0.57387,2.25973,-0.57387,2.25973,1,4.24933
2,21,21,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,2805,False,2,180308,1702,1.99929,0.39032,1.99929,0.39032,1,-8.95313
2,22,22,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,2608,False,2,186913,2268,-1.05518,-1.78724,-1.05518,-1.78724,1,179.44255
2,23,23,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,3088,False,2,198972,6705,-0.44429,-1.95158,-0.44429,-1.95158,1,177.17482
2,24,24,140.00000,-6.12836,5.14230,0,True,130.00000,140.75000,0.75000,3162,False,2,206378,2035,-2.07333,0.84226,-2.07333,0.84226,1,17.89127
3,1,25,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,3040,False,2,213066,1584,0.49982,2.30081,0.40853,2.31691,1,-2.25631
3,2,26,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,2744,False,2,218370,1234,-2.42506,-0.26706,-2.05555,0.74816,1,26.28438
3,3,27,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2880,False,2,223724,1334,-2.36952,1.15041,-1.09052,1.88884,1,34.10327
3,4,28,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,3269,False,2,230063,1852,-0.77750,1.95158,-0.35718,2.02569,1,11.72210
3,5,29,40.00000,6.12836,5.14230,0,True,30.00000,40.75000,0.75000,3710,False,2,236651,1468,-0.77750,-2.23918,-1.55884,-1.30802,1,-149.14830
3,6,30,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,2608,False,2,242756,1418,2.09185,0.26706,1.93298,0.70355,1,-12.72458
3,7,31,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,3174,False,2,249127,917,2.16589,1.39692,1.14636,1.98555,1,-27.17946
3,8,32,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,3427,False,2,256766,1934,-2.25845,0.47249,-1.55797,1.30729,1,28.18359
3,9,33,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,2592,False,2,262521,1784,-2.46208,0.28760,-1.58643,1.33117,1,33.33737
