task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,2802,False,2,48488,3970,-2.03631,0.57520,-2.03631,0.57520,1,4.22651
2,2,2,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,2028,False,2,55893,2802,1.90673,0.86280,1.90673,0.86280,1,4.34687
2,3,3,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,3119,False,2,64550,3086,-0.42577,2.07484,-0.42577,2.07484,1,1.59646
2,4,4,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2054,False,2,69287,684,0.51833,1.99267,0.51833,1.99267,1,-4.58057
2,5,5,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,2423,False,2,76793,2235,1.24030,1.76669,1.24030,1.76669,1,-5.07067
2,6,6,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,1806,False,2,82047,1718,-1.53649,1.39692,-1.53649,1.39692,1,-2.27595
2,7,7,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,2557,False,2,87217,616,-1.12923,1.78724,-1.12923,1.78724,1,2.28588
2,8,8,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,1761,False,2,91754,1284,1.53649,1.37638,1.53649,1.37638,1,1.85382
2,9,9,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1743,False,2,97725,2802,-0.31470,2.23918,-0.31470,2.23918,1,-1.99991
2,10,10,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,1270,False,2,103513,3052,-1.66607,1.64344,-1.66607,1.64344,1,-4.60822
2,11,11,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1786,False,2,107767,851,0.62940,2.25973,0.62940,2.25973,1,-5.56405
2,12,12,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,1909,False,2,112604,851,-0.75899,1.93104,-0.75899,1.93104,1,-8.54283
2,13,13,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,1411,False,2,116557,867,-1.94375,0.80118,-1.94375,0.80118,1,-2.40061
2,14,14,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,1775,False,2,121044,784,2.25845,1.02715,2.25845,1.02715,1,4.45619
2,15,15,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,2150,False,2,129400,750,1.72161,1.31475,1.72161,1.31475,1,-2.63194
2,16,16,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,1459,False,2,133770,767,1.25881,1.60235,1.25881,1.60235,1,-8.15326
2,17,17,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,1625,False,2,138440,883,-1.75863,1.21203,-1.75863,1.21203,1,-14.57422
2,18,18,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,1442,False,2,142844,851,0.66643,1.97212,0.66643,1.97212,1,-8.67143
