task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,160.00000,-7.51754,2.73616,0,True,150.00000,157.75000,-2.25000,4086,False,2,54207,2735,-1.96226,0.55466,-1.96226,0.55466,1,4.21632
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,2051,False,2,58878,801,-1.81417,1.04769,-1.81417,1.04769,1,9.99340
2,3,3,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,2145,False,2,63898,1467,1.61054,1.31475,1.61054,1.31475,1,-0.77382
2,4,4,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,2792,False,2,68919,751,1.94375,1.06823,1.94375,1.06823,1,8.79195
2,5,5,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2060,False,2,73689,884,0.27768,2.09538,0.27768,2.09538,1,2.45114
2,6,6,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,2262,False,2,78393,918,-1.22179,1.70507,-1.22179,1.70507,1,5.62398
2,7,7,100.00000,-1.38919,7.87846,0,True,90.00000,101.50000,1.50000,2093,False,2,85848,3352,-0.64792,2.11593,-0.64792,2.11593,1,7.02514
2,8,8,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,2351,False,2,92053,1934,0.94411,1.93104,0.94411,1.93104,1,3.94540
2,9,9,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,2141,False,2,97541,1735,-1.55500,1.35584,-1.55500,1.35584,1,-1.08592
2,10,10,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1940,False,2,102461,1000,1.90673,1.29421,1.90673,1.29421,1,-5.83295
2,11,11,20.00000,7.51754,2.73616,0,True,10.00000,18.50000,-1.50000,1944,False,2,107082,968,1.96226,0.88335,1.96226,0.88335,1,4.23583
2,12,12,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1994,False,2,111802,868,-1.92524,0.63683,-1.92524,0.63683,1,1.69684
2,13,13,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,1874,False,2,116872,917,-1.27732,1.74615,-1.27732,1.74615,1,6.18571
2,14,14,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2093,False,2,121576,867,1.12923,2.01321,1.12923,2.01321,1,0.71149
2,15,15,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,2378,False,2,126496,850,-0.40726,2.28027,-0.40726,2.28027,1,0.12635
2,16,16,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,1879,False,2,130550,884,0.42577,2.34190,0.42577,2.34190,1,-0.30414
2,17,17,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,2213,False,2,134769,834,0.25917,2.07484,0.25917,2.07484,1,2.88001
2,18,18,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,2078,False,2,139690,1268,1.07369,1.91050,1.07369,1.91050,1,0.66426
2,19,19,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,1760,False,2,143593,750,-1.01815,2.17755,-1.01815,2.17755,1,-4.94077
2,20,20,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,3529,False,2,149698,834,1.92524,1.04769,1.92524,1.04769,1,8.55444
2,21,21,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,2111,False,2,154051,600,1.49946,1.68452,1.49946,1.68452,1,8.32642
2,22,22,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,1813,False,2,158070,833,-0.35173,2.36244,-0.35173,2.36244,1,-1.53177
2,23,23,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1830,False,2,161957,800,-2.01780,0.82172,-2.01780,0.82172,1,-2.15790
2,24,24,140.00000,-6.12836,5.14230,0,True,130.00000,138.25000,-1.75000,1745,False,2,166227,834,-1.59202,1.21203,-1.59202,1.21203,1,2.71741
3,1,25,80.00000,1.38919,7.87846,0,True,70.00000,82.25000,2.25000,2379,False,2,170947,783,0.27768,2.13647,0.37373,2.11953,1,2.59470
3,2,26,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,3831,False,2,178236,2134,1.36988,1.52018,1.55242,1.30264,1,7.97703
