task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,120.00000,-4.00000,6.92820,0,True,110.00000,121.25000,1.25000,3953,False,2,52939,4686,-1.53649,1.56127,-1.53649,1.56127,1,14.54168
2,2,2,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,2689,False,2,62463,2085,0.92560,1.80778,0.92560,1.80778,1,2.88714
2,3,3,160.00000,-7.51754,2.73616,0,True,150.00000,160.75000,0.75000,2671,False,2,69869,2402,-1.72161,1.08878,-1.72161,1.08878,1,-12.31006
2,4,4,140.00000,-6.12836,5.14230,0,True,130.00000,141.00000,1.00000,2619,False,2,76824,1434,-1.86970,0.92443,-1.86970,0.92443,1,13.69097
2,5,5,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,4088,False,2,85598,2018,0.68494,2.17755,0.68494,2.17755,1,-7.46077
2,6,6,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,4374,False,2,93721,2002,-1.07369,1.78724,-1.07369,1.78724,1,20.99547
2,7,7,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2087,False,2,99692,1434,0.70345,2.03375,0.70345,2.03375,1,30.92010
2,8,8,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,1968,False,2,108015,1217,1.51798,1.37638,1.51798,1.37638,1,22.19917
2,9,9,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2470,False,2,116055,1651,-1.38839,1.64344,-1.38839,1.64344,1,10.19137
2,10,10,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,3439,False,2,123177,1434,-0.48131,1.95158,-0.48131,1.95158,1,63.85414
2,11,11,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,2339,False,2,129699,1718,-1.96226,1.21203,-1.96226,1.21203,1,8.29760
