task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,5221,False,2,50337,3536,1.22179,1.76669,1.22179,1.76669,1,-4.66658
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,3432,False,2,57976,1734,-1.61054,1.31475,-1.61054,1.31475,1,0.77382
2,3,3,40.00000,6.12836,5.14230,0,True,30.00000,37.75000,-2.25000,2436,False,2,65582,1918,1.57351,1.31475,1.57351,1.31475,1,-0.11948
2,4,4,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2885,False,2,73655,1167,-1.96226,0.43140,-1.96226,0.43140,1,7.60086
2,5,5,20.00000,7.51754,2.73616,0,True,10.00000,18.75000,-1.25000,3238,False,2,83079,2034,2.01780,0.65737,2.01780,0.65737,1,-1.95514
2,6,6,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2187,False,2,89351,1251,0.37024,2.21864,0.37024,2.21864,1,0.52595
2,7,7,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,3292,False,2,96206,884,-0.42577,2.01321,-0.42577,2.01321,1,1.94142
2,8,8,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,2307,False,2,103461,2351,-0.94411,1.80778,-0.94411,1.80778,1,-2.42426
2,9,9,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,2919,False,2,110317,968,-1.68458,1.29421,-1.68458,1.29421,1,2.46606
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,121.00000,1.00000,3176,False,2,117406,1601,-1.27732,1.78724,-1.27732,1.78724,1,5.55296
2,11,11,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,2557,False,2,122810,834,1.44393,1.43801,1.44393,1.43801,1,4.88230
2,12,12,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,2440,False,2,129248,851,1.33286,1.54072,1.33286,1.54072,1,-10.86272
2,13,13,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,2507,False,2,136370,1901,2.01780,0.65737,2.01780,0.65737,1,-1.95514
2,14,14,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2371,False,2,142575,900,0.59238,2.03375,0.59238,2.03375,1,-6.23951
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2439,False,2,148913,884,-2.07333,0.90389,-2.07333,0.90389,1,-3.55530
2,16,16,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,2339,False,2,155435,1251,-0.64792,1.91050,-0.64792,1.91050,1,8.73367
2,17,17,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,2689,False,2,161506,717,-1.90673,0.63683,-1.90673,0.63683,1,1.53116
2,18,18,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2424,False,2,168595,1851,1.42542,1.41746,1.42542,1.41746,1,-15.16043
2,19,19,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,2837,False,2,175567,1217,1.94375,0.84226,1.94375,0.84226,1,3.42791
2,20,20,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,2789,False,2,182256,834,1.75863,1.27366,1.75863,1.27366,1,-4.08666
