task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,4971,False,2,77064,8140,-1.11071,1.70507,-1.11071,1.70507,1,3.08087
2,2,2,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,4723,False,2,86454,1434,-1.88821,0.76009,-1.88821,0.76009,1,-1.92702
2,3,3,140.00000,-6.12836,5.14230,0,True,130.00000,140.25000,0.25000,4756,False,2,96078,1317,-1.70310,1.21203,-1.70310,1.21203,1,4.56202
2,4,4,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,3473,False,2,103834,1284,0.42577,2.01321,0.42577,2.01321,1,-1.94142
2,5,5,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,3986,False,2,113075,1351,-0.20363,1.99267,-0.20363,1.99267,1,-4.16523
2,6,6,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,3321,False,2,121114,1367,1.05518,1.70507,1.05518,1.70507,1,-1.75123
2,7,7,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,5939,False,2,131489,1284,1.92524,0.67792,1.92524,0.67792,1,-0.60170
2,8,8,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,5552,False,2,142815,1318,1.64756,1.17095,1.64756,1.17095,1,-4.59792
2,9,9,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,3622,False,2,151421,1551,-1.94375,0.69846,-1.94375,0.69846,1,0.23479
2,10,10,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,9443,False,2,166916,3085,1.20327,1.62289,1.20327,1.62289,1,-6.55459
2,11,11,140.00000,-6.12836,5.14230,0,True,130.00000,140.50000,0.50000,8053,False,2,179643,1318,-1.72161,1.15041,-1.72161,1.15041,1,6.24846
2,12,12,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,7359,False,2,191452,1451,-0.55536,1.93104,-0.55536,1.93104,1,6.04504
2,13,13,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,6609,False,2,201860,1134,0.64792,1.91050,0.64792,1.91050,1,-8.73367
2,14,14,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,4621,False,2,211200,1117,1.61054,1.25312,1.61054,1.25312,1,-2.11443
2,15,15,120.00000,-4.00000,6.92820,0,True,110.00000,121.00000,1.00000,10595,False,2,226195,1217,-1.11071,1.78724,-1.11071,1.78724,1,1.85957
2,16,16,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,3224,False,2,233434,1301,1.85119,0.92443,1.85119,0.92443,1,6.53620
