task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,3035,False,2,51458,5621,1.74012,1.08878,1.74012,1.08878,1,-7.96609
2,2,2,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,2736,False,2,68955,3236,1.42542,-1.54072,1.42542,-1.54072,1,152.77392
2,3,3,20.00000,7.51754,2.73616,0,True,10.00000,21.00000,1.00000,3002,False,2,76694,1518,1.96226,0.71900,1.96226,0.71900,1,0.12355
2,4,4,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,3573,False,2,83783,917,-0.38875,1.97212,-0.38875,1.97212,1,1.15134
2,5,5,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,3526,False,2,94224,3903,-1.38839,1.56127,-1.38839,1.56127,1,11.64572
2,6,6,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,2699,False,2,100779,1167,1.11071,1.78724,1.11071,1.78724,1,-1.85957
2,7,7,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,4123,False,2,108785,1167,0.46280,1.99267,0.46280,1.99267,1,-3.07521
2,8,8,140.00000,-6.12836,5.14230,0,True,130.00000,138.25000,-1.75000,3756,False,2,117292,2235,-1.57351,1.33529,-1.57351,1.33529,1,-0.31814
2,9,9,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,3170,False,2,124230,1100,-0.14810,2.05430,-0.14810,2.05430,1,-5.87653
2,10,10,160.00000,-7.51754,2.73616,0,True,150.00000,157.75000,-2.25000,2522,False,2,130619,1251,-1.98077,0.36977,-1.98077,0.36977,1,9.42574
2,11,11,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2705,False,2,137090,1134,1.05518,1.86941,1.05518,1.86941,1,0.55764
2,12,12,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,4076,False,2,144246,1084,0.40726,2.11593,0.40726,2.11593,1,-0.89468
2,13,13,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,2708,False,2,150300,1184,1.57351,1.31475,1.57351,1.31475,1,-0.11948
2,14,14,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2475,False,2,157006,2369,-1.24030,1.62289,-1.24030,1.62289,1,7.38901
2,15,15,20.00000,7.51754,2.73616,0,True,10.00000,21.75000,1.75000,3455,False,2,164128,1168,1.90673,0.71900,1.90673,0.71900,1,0.66073
2,16,16,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,2941,False,2,171533,2168,-1.83268,0.96552,-1.83268,0.96552,1,12.21817
2,17,17,20.00000,7.51754,2.73616,0,True,10.00000,21.50000,1.50000,2503,False,2,177821,1500,1.98077,0.71900,1.98077,0.71900,1,-0.04960
2,18,18,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,2208,False,2,183142,1117,-1.36988,1.49964,-1.36988,1.49964,1,12.41084
2,19,19,160.00000,-7.51754,2.73616,0,True,150.00000,158.25000,-1.75000,2342,False,2,188980,1084,-1.94375,0.59575,-1.94375,0.59575,1,2.95995
2,20,20,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2625,False,2,195385,1818,-0.49982,2.05430,-0.49982,2.05430,1,3.67461
2,21,21,60.00000,4.00000,6.92820,0,True,50.00000,58.50000,-1.50000,3341,False,2,202007,1235,1.24030,1.58181,1.24030,1.58181,1,-8.10006
2,22,22,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,3274,False,2,209479,1318,1.61054,1.25312,1.61054,1.25312,1,-2.11443
2,23,23,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,3225,False,2,216151,1184,0.35173,1.97212,0.35173,1.97212,1,-0.11244
